elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5230063616,26256531456,0,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
103,9.0,5230063616,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
206,6.7,5230063616,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
309,7.9,5230063616,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
413,13.3,5230063616,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
516,7.3,5229805568,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
619,7.9,5229805568,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
722,9.0,5229805568,26256531456,2,27262976,1410793472,17102733312,0,25165824,1231945728,6442319872
835,15.3,5263515648,26256531456,2,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
938,16.8,5267300352,26256531456,13,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
1041,17.7,5267816448,26256531456,13,58720256,1417084928,17102733312,72,62914560,1095630848,6442319872
1143,53.5,5269364736,26256531456,31,58720256,1417084928,17102733312,72,121634816,1152253952,6442319872
1247,56.5,5269364736,26256531456,31,58720256,1417084928,17102733312,61,186646528,1217265664,6442319872
1350,54.7,5269364736,26256531456,35,58720256,1417084928,17102733312,61,251658240,1284374528,6442319872
1453,59.9,5269622784,26256531456,35,58720256,1417084928,17102733312,65,322961408,1355677696,6442319872
1555,58.1,5269622784,26256531456,33,58720256,1417084928,17102733312,69,406847488,1437466624,6442319872
1659,51.6,5269622784,26256531456,33,58720256,1417084928,17102733312,69,473956352,1504575488,6442319872
1761,54.8,5275299840,26256531456,29,58720256,1417084928,17102733312,69,534773760,1567490048,6442319872
1865,55.2,5275299840,26256531456,27,58720256,1417084928,17102733312,69,601882624,1634598912,6442319872
1967,22.6,5275299840,26256531456,27,58720256,1417084928,17102733312,66,601882624,1634598912,6442319872
2069,13.5,5275299840,26256531456,29,58720256,1417084928,17102733312,77,601882624,1634598912,6442319872
2173,13.6,5275815936,26256531456,29,31457280,1389821952,17102733312,77,467664896,1567490048,6442319872
2280,12.8,5275815936,26256531456,29,58720256,1417084928,17102733312,71,467664896,1500381184,6442319872
2384,17.0,5277880320,26256531456,29,58720256,1417084928,17102733312,73,467664896,1500381184,6442319872
2487,19.3,5292589056,26256531456,41,58720256,1417084928,17102733312,73,467664896,1500381184,6442319872
2589,18.0,5293592576,26256531456,41,31457280,1389821952,17102733312,60,291504128,1489895424,6442319872
2707,13.2,5293584384,26256531456,35,58720256,1417084928,17102733312,60,291504128,1324220416,6442319872
2809,12.3,5282775040,26256531456,35,31457280,1389821952,17102733312,69,199229440,1263403008,6442319872
