elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5214375936,26256531456,0,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
101,6.8,5214375936,26256531456,0,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
203,9.1,5214892032,26256531456,2,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
305,8.6,5214892032,26256531456,2,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
407,6.7,5214892032,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
509,10.3,5214892032,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
611,8.5,5214892032,26256531456,1,260046848,1618411520,17102733312,0,234881024,1265500160,6442319872
714,9.7,5216948224,26256531456,1,50331648,1387724800,17102733312,0,50331648,1080950784,6442319872
817,13.8,5262622720,26256531456,2,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
920,16.2,5265461248,26256531456,2,58720256,1417084928,17102733312,24,56623104,1089339392,6442319872
1022,15.3,5265461248,26256531456,38,58720256,1417084928,17102733312,61,56623104,1089339392,6442319872
1125,46.9,5266493440,26256531456,38,58720256,1417084928,17102733312,61,115343360,1148059648,6442319872
1227,59.9,5267009536,26256531456,36,58720256,1417084928,17102733312,63,192937984,1223557120,6442319872
1330,57.0,5268041728,26256531456,36,58720256,1417084928,17102733312,69,264241152,1296957440,6442319872
1432,55.0,5271138304,26256531456,32,58720256,1417084928,17102733312,69,327155712,1357774848,6442319872
1535,56.7,5274234880,26256531456,32,58720256,1417084928,17102733312,66,387973120,1420689408,6442319872
1636,21.8,5275525120,26256531456,30,58720256,1417084928,17102733312,66,381681664,1414397952,6442319872
1739,15.9,5276041216,26256531456,30,58720256,1417084928,17102733312,73,381681664,1414397952,6442319872
1841,13.9,5276041216,26256531456,34,58720256,1417084928,17102733312,76,381681664,1414397952,6442319872
1944,16.9,5276815360,26256531456,40,58720256,1417084928,17102733312,76,381681664,1414397952,6442319872
2046,14.5,5276958720,26256531456,40,58720256,1417084928,17102733312,76,381681664,1414397952,6442319872
2148,20.0,5277732864,26256531456,30,58720256,1417084928,17102733312,76,381681664,1414397952,6442319872
2250,13.9,5277732864,26256531456,30,58720256,1417084928,17102733312,74,31457280,1303248896,6442319872
2374,44.9,5270638592,26256531456,31,58720256,1417084928,17102733312,56,119537664,1150156800,6442319872
2482,49.4,5270638592,26256531456,31,58720256,1417084928,17102733312,56,171966464,1215168512,6442319872
2587,13.3,5270638592,26256531456,33,58720256,1417084928,17102733312,66,171966464,1204682752,6442319872
2692,14.4,5270638592,26256531456,33,58720256,1417084928,17102733312,77,171966464,1204682752,6442319872
2797,30.7,5270638592,26256531456,42,58720256,1417084928,17102733312,77,88080384,1120796672,6442319872
2899,20.2,5270638592,26256531456,42,58720256,1417084928,17102733312,69,60817408,1093533696,6442319872
3001,60.5,5270638592,26256531456,34,58720256,1417084928,17102733312,65,146800640,1179516928,6442319872
3103,56.8,5270638592,26256531456,34,58720256,1417084928,17102733312,65,222298112,1255014400,6442319872
3205,50.3,5270634496,26256531456,32,58720256,1417084928,17102733312,65,262144000,1294860288,6442319872
3308,32.9,5270634496,26256531456,32,58720256,1417084928,17102733312,65,262144000,1294860288,6442319872
3412,37.7,5270634496,26256531456,36,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
3516,29.5,5270634496,26256531456,36,58720256,1417084928,17102733312,77,262144000,1294860288,6442319872
3620,35.5,5270634496,26256531456,34,58720256,1417084928,17102733312,77,262144000,1294860288,6442319872
3722,38.0,5270634496,26256531456,34,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
3826,38.1,5270634496,26256531456,32,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
3927,37.7,5271666688,26256531456,35,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
4029,35.2,5271666688,26256531456,35,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
4132,48.5,5272182784,26256531456,34,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
4234,38.5,5272182784,26256531456,34,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
4336,26.5,5272477696,26256531456,34,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
4439,13.0,5272477696,26256531456,34,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
4541,16.8,5272477696,26256531456,38,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
4643,15.4,5272477696,26256531456,38,58720256,1417084928,17102733312,68,262144000,1294860288,6442319872
4746,13.4,5272469504,26256531456,40,58720256,1417084928,17102733312,68,262144000,1294860288,6442319872
4849,7.5,5272469504,26256531456,40,58720256,1417084928,17102733312,45,262144000,1294860288,6442319872
4952,7.3,5272469504,26256531456,45,58720256,1417084928,17102733312,45,262144000,1294860288,6442319872
5054,18.5,5272469504,26256531456,45,58720256,1417084928,17102733312,0,73400320,1106116608,6442319872
5157,60.7,5272469504,26256531456,36,58720256,1417084928,17102733312,45,140509184,1173225472,6442319872
5259,56.7,5272727552,26256531456,36,58720256,1417084928,17102733312,45,222298112,1255014400,6442319872
5362,48.8,5272727552,26256531456,34,58720256,1417084928,17102733312,69,262144000,1294860288,6442319872
5465,36.1,5272727552,26256531456,34,58720256,1417084928,17102733312,69,262144000,1294860288,6442319872
5569,36.9,5272612864,26256531456,35,58720256,1417084928,17102733312,77,262144000,1294860288,6442319872
5676,38.1,5272612864,26256531456,35,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
5778,36.0,5272612864,26256531456,35,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
5880,33.7,5272612864,26256531456,35,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
5983,40.6,5272604672,26256531456,36,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
6086,39.9,5272604672,26256531456,36,58720256,1417084928,17102733312,77,262144000,1294860288,6442319872
6189,41.5,5272604672,26256531456,31,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
6291,38.8,5272604672,26256531456,31,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
6395,38.3,5272604672,26256531456,32,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
6499,28.7,5272604672,26256531456,32,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
6603,15.2,5272604672,26256531456,39,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
6705,14.7,5272604672,26256531456,39,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
6808,12.9,5272604672,26256531456,39,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
6912,12.7,5272604672,26256531456,39,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
7014,11.4,5272604672,26256531456,43,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
7117,8.5,5272604672,26256531456,43,58720256,1417084928,17102733312,16,262144000,1294860288,6442319872
7219,22.8,5272604672,26256531456,48,58720256,1417084928,17102733312,0,73400320,1104019456,6442319872
7322,50.9,5272604672,26256531456,48,58720256,1417084928,17102733312,0,121634816,1154351104,6442319872
7424,57.2,5272604672,26256531456,33,58720256,1417084928,17102733312,70,182452224,1215168512,6442319872
7527,53.4,5272231936,26256531456,33,58720256,1417084928,17102733312,69,262144000,1294860288,6442319872
7631,39.9,5272231936,26256531456,33,58720256,1417084928,17102733312,69,262144000,1294860288,6442319872
7734,35.2,5272231936,26256531456,33,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
7837,36.0,5272231936,26256531456,34,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
7940,36.3,5272231936,26256531456,34,58720256,1417084928,17102733312,64,262144000,1294860288,6442319872
8042,39.8,5272231936,26256531456,38,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
8146,29.2,5272616960,26256531456,38,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
8249,42.4,5272875008,26256531456,36,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
8353,31.4,5272875008,26256531456,36,58720256,1417084928,17102733312,74,262144000,1294860288,6442319872
8456,35.4,5273649152,26256531456,32,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
8559,29.6,5291196416,26256531456,32,58720256,1417084928,17102733312,66,262144000,1294860288,6442319872
8661,13.9,5291196416,26256531456,34,58720256,1417084928,17102733312,66,262144000,1294860288,6442319872
8764,16.8,5291712512,26256531456,37,58720256,1417084928,17102733312,65,262144000,1294860288,6442319872
8867,13.9,5280530432,26256531456,37,58720256,1417084928,17102733312,65,262144000,1294860288,6442319872
8969,14.5,5279240192,26256531456,43,58720256,1417084928,17102733312,67,262144000,1294860288,6442319872
9072,18.2,5280100352,26256531456,43,58720256,1417084928,17102733312,62,262144000,1294860288,6442319872
9174,13.5,5278121984,26256531456,45,58720256,1417084928,17102733312,62,262144000,1294860288,6442319872
9276,8.0,5277777920,26256531456,45,58720256,1417084928,17102733312,1,262144000,1294860288,6442319872
9378,9.5,5277777920,26256531456,42,58720256,1417084928,17102733312,1,65011712,1097728000,6442319872
9481,57.5,5277519872,26256531456,42,58720256,1417084928,17102733312,4,119537664,1152253952,6442319872
9583,55.5,5278035968,26256531456,36,58720256,1417084928,17102733312,71,192937984,1223557120,6442319872
9685,55.2,5278035968,26256531456,36,58720256,1417084928,17102733312,71,262144000,1294860288,6442319872
9788,33.3,5278035968,26256531456,27,58720256,1417084928,17102733312,73,262144000,1294860288,6442319872
9891,34.0,5278035968,26256531456,27,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
9993,39.5,5278035968,26256531456,28,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
10095,38.7,5278552064,26256531456,28,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
10197,44.2,5278810112,26256531456,30,58720256,1417084928,17102733312,75,262144000,1294860288,6442319872
10301,42.6,5278810112,26256531456,30,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
10404,37.9,5274537984,26256531456,37,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
10507,34.4,5274681344,26256531456,37,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
10610,19.4,5274939392,26256531456,34,58720256,1417084928,17102733312,72,262144000,1294860288,6442319872
10712,16.0,5274681344,26256531456,34,58720256,1417084928,17102733312,72,262144000,1294860288,6442319872
10815,15.3,5274681344,26256531456,33,58720256,1417084928,17102733312,76,262144000,1294860288,6442319872
10920,14.4,5274681344,26256531456,33,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
11022,14.4,5274423296,26256531456,41,58720256,1417084928,17102733312,78,262144000,1294860288,6442319872
11125,10.3,5274423296,26256531456,41,58720256,1417084928,17102733312,28,262144000,1294860288,6442319872
11227,18.9,5274939392,26256531456,44,58720256,1417084928,17102733312,28,262144000,1294860288,6442319872
11329,7.4,5275197440,26256531456,44,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
11432,9.7,5275197440,26256531456,47,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
11534,6.8,5275197440,26256531456,47,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
11636,9.3,5274681344,26256531456,45,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
