elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5212090368,26256531456,1,260046848,1618411520,17102733312,22,241172480,1271791616,6442319872
102,9.1,5212090368,26256531456,1,260046848,1618411520,17102733312,22,241172480,1271791616,6442319872
204,13.6,5212090368,26256531456,2,260046848,1618411520,17102733312,0,241172480,1271791616,6442319872
307,8.6,5212090368,26256531456,2,260046848,1618411520,17102733312,0,241172480,1271791616,6442319872
409,10.2,5212090368,26256531456,2,260046848,1618411520,17102733312,0,241172480,1271791616,6442319872
511,11.4,5212090368,26256531456,2,260046848,1618411520,17102733312,0,241172480,1271791616,6442319872
613,9.1,5212090368,26256531456,2,260046848,1618411520,17102733312,0,241172480,1271791616,6442319872
716,11.2,5213630464,26256531456,2,27262976,1385627648,17102733312,0,25165824,1085145088,6442319872
826,15.1,5265981440,26256531456,2,58720256,1417084928,17102733312,6,56623104,1089339392,6442319872
930,19.4,5270118400,26256531456,14,58720256,1417084928,17102733312,6,56623104,1089339392,6442319872
1033,20.5,5269487616,26256531456,14,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
1135,24.4,5273726976,26256531456,22,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
1237,21.1,5276794880,26256531456,22,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
1342,20.5,5275672576,26256531456,21,58720256,1417084928,17102733312,38,56623104,1089339392,6442319872
1444,19.0,5280804864,26256531456,21,58720256,1417084928,17102733312,38,56623104,1089339392,6442319872
1547,18.9,5276532736,26256531456,22,58720256,1417084928,17102733312,36,56623104,1089339392,6442319872
1650,23.4,5273018368,26256531456,22,58720256,1417084928,17102733312,36,56623104,1089339392,6442319872
1753,19.1,5272604672,26256531456,20,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
1857,18.5,5273755648,26256531456,20,58720256,1417084928,17102733312,41,56623104,1089339392,6442319872
1959,20.4,5277425664,26256531456,19,58720256,1417084928,17102733312,41,56623104,1089339392,6442319872
2061,20.7,5275033600,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2165,24.1,5268271104,26256531456,20,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2267,19.4,5274173440,26256531456,20,58720256,1417084928,17102733312,42,56623104,1089339392,6442319872
2370,21.2,5273915392,26256531456,19,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
2472,22.0,5276123136,26256531456,19,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
2575,22.6,5279506432,26256531456,18,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2677,20.7,5281513472,26256531456,18,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2779,22.3,5276397568,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2882,17.5,5272072192,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
2985,24.0,5276545024,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
3088,28.7,5276192768,26256531456,19,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
3190,21.1,5282930688,26256531456,19,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
3292,23.4,5280497664,26256531456,19,58720256,1417084928,17102733312,41,56623104,1089339392,6442319872
3395,19.9,5281955840,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
3497,19.8,5283360768,26256531456,19,58720256,1417084928,17102733312,43,56623104,1089339392,6442319872
3600,23.5,5280845824,26256531456,20,58720256,1417084928,17102733312,41,56623104,1089339392,6442319872
3703,21.2,5280903168,26256531456,20,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
3806,20.4,5280903168,26256531456,20,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
3908,20.0,5280169984,26256531456,20,58720256,1417084928,17102733312,42,56623104,1089339392,6442319872
4011,28.9,5280800768,26256531456,19,58720256,1417084928,17102733312,42,56623104,1089339392,6442319872
4114,20.0,5280858112,26256531456,19,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
4216,20.6,5285203968,26256531456,17,58720256,1417084928,17102733312,38,56623104,1089339392,6442319872
4318,19.3,5290795008,26256531456,17,58720256,1417084928,17102733312,38,56623104,1089339392,6442319872
4421,20.1,5280628736,26256531456,18,58720256,1417084928,17102733312,37,56623104,1089339392,6442319872
4524,17.1,5277790208,26256531456,18,58720256,1417084928,17102733312,37,56623104,1089339392,6442319872
4627,22.2,5272436736,26256531456,21,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
4729,20.4,5270630400,26256531456,21,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
4832,19.8,5272035328,26256531456,18,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
4934,18.1,5270282240,26256531456,18,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
5036,21.8,5268815872,26256531456,17,58720256,1417084928,17102733312,39,56623104,1089339392,6442319872
5139,22.0,5269237760,26256531456,17,58720256,1417084928,17102733312,38,56623104,1089339392,6442319872
5241,23.6,5268647936,26256531456,20,58720256,1417084928,17102733312,42,56623104,1089339392,6442319872
5344,17.7,5271375872,26256531456,20,58720256,1417084928,17102733312,42,56623104,1089339392,6442319872
5448,17.3,5274816512,26256531456,18,58720256,1417084928,17102733312,40,56623104,1089339392,6442319872
5550,11.7,5273804800,26256531456,18,58720256,1417084928,17102733312,51,56623104,1089339392,6442319872
5655,12.2,5273804800,26256531456,11,58720256,1417084928,17102733312,51,56623104,1089339392,6442319872
5757,38.3,5273546752,26256531456,11,58720256,1417084928,17102733312,61,140509184,1173225472,6442319872
5860,43.0,5273796608,26256531456,9,58720256,1417084928,17102733312,61,249561088,1282277376,6442319872
5962,39.6,5272502272,26256531456,9,58720256,1417084928,17102733312,42,356515840,1389232128,6442319872
6064,41.3,5275369472,26256531456,15,58720256,1417084928,17102733312,44,459276288,1491992576,6442319872
6166,40.6,5282709504,26256531456,15,58720256,1417084928,17102733312,44,557842432,1588461568,6442319872
6269,36.8,5283078144,26256531456,15,58720256,1417084928,17102733312,43,601882624,1634598912,6442319872
6371,19.8,5285429248,26256531456,16,58720256,1417084928,17102733312,43,601882624,1634598912,6442319872
6473,24.6,5285228544,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
6575,23.1,5284855808,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
6679,23.4,5285367808,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
6781,24.7,5287088128,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
6883,25.5,5286400000,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
6985,21.8,5281910784,26256531456,16,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
7087,23.5,5283028992,26256531456,16,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
7190,26.2,5282652160,26256531456,17,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
7292,17.8,5283254272,26256531456,17,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
7399,21.6,5281902592,26256531456,17,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
7502,26.3,5284483072,26256531456,17,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
7604,23.8,5287489536,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
7707,25.4,5286572032,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
7813,22.4,5289037824,26256531456,15,58720256,1417084928,17102733312,30,601882624,1634598912,6442319872
7915,24.1,5290409984,26256531456,15,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8017,20.4,5289893888,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8118,22.3,5286498304,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8221,22.4,5287530496,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8323,23.2,5288562688,26256531456,16,58720256,1417084928,17102733312,34,601882624,1634598912,6442319872
8425,23.4,5288075264,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8527,25.9,5288075264,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
8629,19.2,5288132608,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
8732,13.8,5289193472,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
8835,13.9,5287067648,26256531456,17,58720256,1417084928,17102733312,34,601882624,1634598912,6442319872
8938,12.8,5287096320,26256531456,17,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
9040,13.6,5284347904,26256531456,17,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
9142,12.9,5285855232,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
9244,18.2,5287546880,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
9346,12.8,5287260160,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
9449,14.5,5287403520,26256531456,18,58720256,1417084928,17102733312,36,601882624,1634598912,6442319872
9551,11.7,5287456768,26256531456,18,58720256,1417084928,17102733312,36,601882624,1634598912,6442319872
9653,13.4,5287141376,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
9755,15.1,5287313408,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
9858,11.9,5286510592,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
9960,12.5,5286481920,26256531456,17,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
10062,13.7,5289091072,26256531456,16,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
10166,15.1,5289062400,26256531456,16,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
10268,16.5,5289746432,26256531456,16,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
10371,14.8,5286334464,26256531456,17,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
10474,15.2,5284597760,26256531456,17,58720256,1417084928,17102733312,33,601882624,1634598912,6442319872
10576,12.2,5282934784,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
10678,16.3,5279371264,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
10780,13.4,5283696640,26256531456,16,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
10884,13.6,5283803136,26256531456,16,58720256,1417084928,17102733312,35,601882624,1634598912,6442319872
10986,13.9,5286236160,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
11089,13.9,5287784448,26256531456,17,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
11191,16.2,5289218048,26256531456,15,58720256,1417084928,17102733312,31,601882624,1634598912,6442319872
11293,15.1,5289902080,26256531456,15,58720256,1417084928,17102733312,32,601882624,1634598912,6442319872
11395,7.4,5289500672,26256531456,11,31457280,1389821952,17102733312,32,31457280,1462632448,6442319872
11529,9.4,5284950016,26256531456,11,58720256,1417084928,17102733312,51,56623104,1089339392,6442319872
11632,15.1,5285408768,26256531456,12,58720256,1417084928,17102733312,29,56623104,1089339392,6442319872
11734,13.7,5284577280,26256531456,12,58720256,1417084928,17102733312,29,56623104,1089339392,6442319872
11836,13.5,5283229696,26256531456,16,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
11939,13.3,5286526976,26256531456,16,58720256,1417084928,17102733312,31,56623104,1089339392,6442319872
12041,13.9,5291171840,26256531456,16,58720256,1417084928,17102733312,31,56623104,1089339392,6442319872
12143,12.8,5294297088,26256531456,16,58720256,1417084928,17102733312,32,56623104,1089339392,6442319872
12247,18.2,5290885120,26256531456,15,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
12349,14.1,5289136128,26256531456,15,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
12451,12.3,5290168320,26256531456,17,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
12554,13.4,5269950464,26256531456,17,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
12656,15.1,5269921792,26256531456,16,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
12758,12.9,5271339008,26256531456,16,58720256,1417084928,17102733312,32,56623104,1089339392,6442319872
12860,12.4,5269962752,26256531456,15,58720256,1417084928,17102733312,32,56623104,1089339392,6442319872
12962,15.0,5270994944,26256531456,17,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
13066,18.3,5271969792,26256531456,17,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
13168,10.8,5272875008,26256531456,15,58720256,1417084928,17102733312,30,56623104,1089339392,6442319872
13270,17.7,5273391104,26256531456,15,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
13372,15.7,5273862144,26256531456,16,58720256,1417084928,17102733312,34,56623104,1089339392,6442319872
13474,11.9,5275295744,26256531456,16,58720256,1417084928,17102733312,35,56623104,1089339392,6442319872
13576,16.3,5275578368,26256531456,17,58720256,1417084928,17102733312,36,56623104,1089339392,6442319872
13680,13.1,5274202112,26256531456,17,58720256,1417084928,17102733312,36,56623104,1089339392,6442319872
13782,13.0,5269958656,26256531456,17,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
13884,16.1,5269815296,26256531456,17,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
13986,12.9,5266034688,26256531456,16,58720256,1417084928,17102733312,33,56623104,1089339392,6442319872
