elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
103,6.7,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
205,9.6,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
308,7.9,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
410,6.7,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
513,7.9,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
616,7.3,7114567680,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
719,7.9,7115083776,26256531456,1,25165824,1503068160,17102733312,0,23068672,1089339392,6442319872
822,7.5,7115857920,26256531456,1,25165824,1503068160,17102733312,0,23068672,1089339392,6442319872
933,8.6,7117111296,26256531456,1,25165824,1503068160,17102733312,0,23068672,1091436544,6442319872
1044,14.2,7165022208,26256531456,2,58720256,1553399808,17102733312,0,56623104,1141768192,6442319872
1146,16.6,7201636352,26256531456,2,58720256,1553399808,17102733312,24,56623104,1141768192,6442319872
1249,14.2,7202152448,26256531456,31,58720256,1553399808,17102733312,24,56623104,1141768192,6442319872
1352,41.2,7210151936,26256531456,31,58720256,1553399808,17102733312,67,100663296,1185808384,6442319872
1455,57.2,7210536960,26256531456,42,58720256,1553399808,17102733312,71,184549376,1269694464,6442319872
1557,58.6,7210536960,26256531456,42,58720256,1553399808,17102733312,71,283115520,1368260608,6442319872
1660,58.2,7211053056,26256531456,55,58720256,1553399808,17102733312,66,375390208,1460535296,6442319872
1762,57.4,7211053056,26256531456,55,58720256,1553399808,17102733312,67,444596224,1527644160,6442319872
1865,60.4,7211814912,26256531456,48,58720256,1553399808,17102733312,67,507510784,1590558720,6442319872
1970,57.3,7214395392,26256531456,48,58720256,1553399808,17102733312,64,578813952,1661861888,6442319872
2072,52.1,7214395392,26256531456,43,58720256,1553399808,17102733312,64,658505728,1743650816,6442319872
2175,14.1,7214395392,26256531456,43,58720256,1553399808,17102733312,67,658505728,1743650816,6442319872
2277,14.0,7214653440,26256531456,52,58720256,1553399808,17102733312,74,580911104,1666056192,6442319872
2381,12.9,7214653440,26256531456,43,58720256,1553399808,17102733312,74,580911104,1666056192,6442319872
2483,15.7,7214653440,26256531456,43,58720256,1553399808,17102733312,80,580911104,1666056192,6442319872
2586,13.5,7214653440,26256531456,56,58720256,1553399808,17102733312,80,580911104,1666056192,6442319872
2688,15.4,7214653440,26256531456,56,58720256,1553399808,17102733312,67,580911104,1666056192,6442319872
2791,11.4,7214653440,26256531456,43,58720256,1553399808,17102733312,67,339738624,1424883712,6442319872
2893,17.5,7214653440,26256531456,43,58720256,1553399808,17102733312,67,339738624,1424883712,6442319872
2997,15.1,7215169536,26256531456,44,58720256,1553399808,17102733312,74,234881024,1320026112,6442319872
3102,9.5,7215169536,26256531456,44,58720256,1553399808,17102733312,73,224395264,1309540352,6442319872
3206,7.3,7215935488,26256531456,8,58720256,1553399808,17102733312,73,224395264,1309540352,6442319872
3309,7.4,7215935488,26256531456,8,58720256,1553399808,17102733312,80,224395264,1309540352,6442319872
