elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5806624768,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
102,7.9,5806624768,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
205,7.9,5806624768,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
308,8.5,5806882816,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
411,11.3,5807915008,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
514,6.7,5807915008,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
617,9.5,5807656960,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
721,8.9,5809717248,26256531456,1,260046848,1737949184,17102733312,0,234881024,1301151744,6442319872
917,7.6,5807296512,26256531456,1,260046848,1737949184,17102733312,0,234881024,1303248896,6442319872
1022,11.5,5839306752,26256531456,2,58720256,1553399808,17102733312,0,56623104,1141768192,6442319872
1125,16.1,5878730752,26256531456,2,58720256,1553399808,17102733312,24,56623104,1141768192,6442319872
1228,15.2,5879504896,26256531456,26,58720256,1553399808,17102733312,59,56623104,1141768192,6442319872
1331,42.5,5886988288,26256531456,26,58720256,1553399808,17102733312,59,92274688,1177419776,6442319872
1433,65.8,5887504384,26256531456,39,58720256,1553399808,17102733312,68,150994944,1236140032,6442319872
1537,62.7,5886672896,26256531456,29,58720256,1553399808,17102733312,68,213909504,1299054592,6442319872
1642,56.6,5886668800,26256531456,29,58720256,1553399808,17102733312,63,297795584,1382940672,6442319872
1744,57.9,5886668800,26256531456,35,58720256,1553399808,17102733312,70,369098752,1454243840,6442319872
1848,60.7,5886660608,26256531456,35,58720256,1553399808,17102733312,70,440401920,1525547008,6442319872
1951,57.1,5886660608,26256531456,36,58720256,1553399808,17102733312,72,507510784,1592655872,6442319872
2054,21.1,5886660608,26256531456,36,58720256,1553399808,17102733312,73,517996544,1603141632,6442319872
2157,15.3,5886660608,26256531456,42,58720256,1553399808,17102733312,73,517996544,1603141632,6442319872
2259,16.4,5886660608,26256531456,42,58720256,1553399808,17102733312,78,517996544,1603141632,6442319872
2363,14.0,5886660608,26256531456,42,58720256,1553399808,17102733312,78,517996544,1603141632,6442319872
2467,13.9,5887692800,26256531456,42,31457280,1526136832,17102733312,77,278921216,1366163456,6442319872
2569,13.6,5887692800,26256531456,37,58720256,1553399808,17102733312,69,281018368,1366163456,6442319872
2672,13.0,5887692800,26256531456,37,58720256,1553399808,17102733312,69,281018368,1366163456,6442319872
2775,15.2,5887692800,26256531456,42,58720256,1553399808,17102733312,79,281018368,1366163456,6442319872
2877,14.5,5887692800,26256531456,42,31457280,1526136832,17102733312,79,73400320,1366163456,6442319872
3001,21.1,5887692800,26256531456,38,58720256,1553399808,17102733312,74,65011712,1150156800,6442319872
3103,33.1,5887692800,26256531456,38,58720256,1553399808,17102733312,63,73400320,1158545408,6442319872
3206,55.6,5891563520,26256531456,34,58720256,1553399808,17102733312,63,144703488,1229848576,6442319872
3308,51.3,5891563520,26256531456,34,58720256,1553399808,17102733312,66,209715200,1294860288,6442319872
3411,37.4,5892595712,26256531456,35,58720256,1553399808,17102733312,74,209715200,1294860288,6442319872
3514,38.0,5892595712,26256531456,35,58720256,1553399808,17102733312,74,209715200,1294860288,6442319872
3616,33.1,5892595712,26256531456,36,58720256,1553399808,17102733312,75,209715200,1294860288,6442319872
