elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5003468800,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
102,11.5,5003984896,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
204,7.4,5003984896,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
307,9.7,5004242944,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
409,7.4,5004242944,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
511,8.4,5004759040,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
613,11.0,5004759040,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
716,9.2,5015339008,26256531456,2,216006656,1561788416,17102733312,0,0,988676096,6442319872
819,9.5,5017919488,26256531456,2,216006656,1561788416,17102733312,0,0,988676096,6442319872
922,8.9,5017919488,26256531456,37,216006656,1561788416,17102733312,0,0,988676096,6442319872
1024,10.4,5017919488,26256531456,37,216006656,1561788416,17102733312,0,0,988676096,6442319872
1125,6.8,5017919488,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
1227,12.9,5018177536,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
1329,9.0,5018177536,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
1431,11.9,5018435584,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
1534,9.7,5018431488,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
1636,12.9,5018574848,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
1738,11.4,5018832896,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
1840,9.0,5018832896,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
1942,11.3,5018832896,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
2043,10.7,5018832896,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
2146,9.2,5019090944,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
2248,9.3,5019607040,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
2350,8.4,5019607040,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
2453,10.3,5020381184,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
2555,10.7,5020639232,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
2657,8.6,5020381184,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
2759,7.4,5020639232,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
2861,11.4,5021155328,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
2963,7.3,5021155328,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
3066,9.8,5021413376,26256531456,51,216006656,1561788416,17102733312,0,0,988676096,6442319872
3168,11.4,5026201600,26256531456,51,216006656,1561788416,17102733312,0,0,988676096,6442319872
3270,11.7,5028323328,26256531456,43,216006656,1561788416,17102733312,0,0,988676096,6442319872
3373,10.2,5028323328,26256531456,43,216006656,1561788416,17102733312,0,0,988676096,6442319872
3474,8.6,5028065280,26256531456,36,216006656,1561788416,17102733312,0,0,988676096,6442319872
3576,7.5,5028065280,26256531456,36,216006656,1561788416,17102733312,0,0,988676096,6442319872
3678,7.5,5026000896,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
3780,8.0,5026000896,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
3883,6.7,5026000896,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
3985,9.0,5024882688,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
4087,7.9,5024882688,26256531456,51,216006656,1561788416,17102733312,0,0,988676096,6442319872
4189,10.2,5024882688,26256531456,51,216006656,1561788416,17102733312,0,0,988676096,6442319872
4291,7.3,5024874496,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
4393,9.6,5024874496,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
4495,6.7,5024874496,26256531456,46,216006656,1561788416,17102733312,0,0,988676096,6442319872
4597,9.8,5025390592,26256531456,46,216006656,1561788416,17102733312,0,0,988676096,6442319872
4699,10.4,5025390592,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
4801,6.7,5025390592,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
4903,9.6,5025390592,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
5005,7.4,5025386496,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
5108,6.7,5025386496,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
5209,7.4,5025386496,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
5311,9.7,5025386496,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
5413,8.5,5025386496,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
5515,8.6,5025386496,26256531456,39,216006656,1561788416,17102733312,0,0,988676096,6442319872
5617,10.9,5027192832,26256531456,39,216006656,1561788416,17102733312,0,0,988676096,6442319872
5719,8.5,5025902592,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
5822,7.3,5025902592,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
5924,7.4,5025902592,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
6026,7.9,5025157120,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
6128,8.5,5025157120,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
6229,13.2,5024899072,26256531456,43,216006656,1561788416,17102733312,0,0,988676096,6442319872
6334,11.9,5025157120,26256531456,43,216006656,1561788416,17102733312,0,0,988676096,6442319872
6436,8.6,5025669120,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
6538,14.1,5025669120,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
6640,13.5,5026684928,26256531456,45,216006656,1561788416,17102733312,0,0,988676096,6442319872
6742,14.3,5028417536,26256531456,45,216006656,1561788416,17102733312,0,0,988676096,6442319872
6843,10.3,5028417536,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
6945,7.3,5028417536,26256531456,44,216006656,1561788416,17102733312,0,0,988676096,6442319872
7047,9.8,5028417536,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
7148,13.5,5028417536,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
7250,9.1,5028417536,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
7352,8.1,5028417536,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
7454,8.0,5028417536,26256531456,47,216006656,1561788416,17102733312,0,0,988676096,6442319872
7556,10.4,5028933632,26256531456,47,216006656,1561788416,17102733312,0,0,988676096,6442319872
7658,18.0,5022220288,26256531456,46,216006656,1561788416,17102733312,0,0,988676096,6442319872
7760,9.2,5022736384,26256531456,46,216006656,1561788416,17102733312,0,0,988676096,6442319872
7862,7.4,5022736384,26256531456,47,216006656,1561788416,17102733312,0,0,988676096,6442319872
7963,6.8,5018636288,26256531456,47,216006656,1561788416,17102733312,0,0,988676096,6442319872
8065,6.8,5018607616,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
8167,10.8,5018234880,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
8269,7.4,5018091520,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
8371,7.9,5017833472,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
8473,7.4,5017833472,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
8575,8.1,5018349568,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
8677,7.9,5018091520,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
8779,7.5,5018091520,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
8881,6.2,5018091520,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
8983,8.1,5018091520,26256531456,48,216006656,1561788416,17102733312,0,0,988676096,6442319872
9084,6.2,5018091520,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
9186,8.6,5018091520,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
9288,6.8,5018091520,26256531456,49,216006656,1561788416,17102733312,0,0,988676096,6442319872
