elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4741832704,26256531456,1,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
102,9.1,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
204,6.7,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
307,8.5,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
409,6.7,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
512,10.2,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
614,8.5,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
716,9.7,4741832704,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
884,10.9,4742656000,26256531456,1,226492416,1691811840,17102733312,0,157286400,1213071360,6442319872
992,11.0,4797530112,26256531456,1,226492416,1708589056,17102733312,1,157286400,1227751424,6442319872
1096,12.4,4799975424,26256531456,15,226492416,1708589056,17102733312,1,157286400,1227751424,6442319872
1198,8.5,4799975424,26256531456,15,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
1301,10.8,4799975424,26256531456,40,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
1404,7.8,4799975424,26256531456,40,226492416,1708589056,17102733312,43,157286400,1227751424,6442319872
1507,8.6,4799975424,26256531456,36,226492416,1708589056,17102733312,39,157286400,1227751424,6442319872
1609,10.8,4799975424,26256531456,36,226492416,1708589056,17102733312,39,157286400,1227751424,6442319872
1711,10.4,4799975424,26256531456,34,226492416,1708589056,17102733312,38,157286400,1227751424,6442319872
1813,9.1,4799975424,26256531456,34,226492416,1708589056,17102733312,41,157286400,1227751424,6442319872
1919,11.1,4800491520,26256531456,36,226492416,1708589056,17102733312,41,157286400,1227751424,6442319872
2021,9.3,4800491520,26256531456,36,226492416,1708589056,17102733312,38,157286400,1227751424,6442319872
2123,12.7,4800491520,26256531456,31,226492416,1708589056,17102733312,38,157286400,1227751424,6442319872
2225,8.5,4800491520,26256531456,31,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
2327,9.4,4800749568,26256531456,29,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
2430,9.1,4800749568,26256531456,29,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
2532,8.6,4800749568,26256531456,33,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
2637,9.0,4801265664,26256531456,33,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
2739,7.9,4801265664,26256531456,31,226492416,1708589056,17102733312,31,157286400,1227751424,6442319872
2841,12.7,4801781760,26256531456,31,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
2944,12.0,4801781760,26256531456,33,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
3047,8.6,4801781760,26256531456,33,226492416,1708589056,17102733312,30,157286400,1227751424,6442319872
3149,10.3,4801781760,26256531456,32,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
3252,9.6,4801781760,26256531456,32,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
3354,9.2,4801781760,26256531456,34,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
3456,7.4,4801781760,26256531456,34,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
3559,13.7,4802297856,26256531456,33,226492416,1708589056,17102733312,31,157286400,1227751424,6442319872
3661,7.9,4802297856,26256531456,33,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
3764,9.8,4802297856,26256531456,34,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
3866,10.8,4803330048,26256531456,34,226492416,1708589056,17102733312,30,157286400,1227751424,6442319872
3968,13.3,4819329024,26256531456,33,226492416,1708589056,17102733312,30,157286400,1227751424,6442319872
4070,12.0,4819845120,26256531456,33,226492416,1708589056,17102733312,30,157286400,1227751424,6442319872
4172,10.9,4819845120,26256531456,32,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
4276,7.9,4819845120,26256531456,32,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
4379,8.6,4816490496,26256531456,36,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
4482,7.9,4809035776,26256531456,33,226492416,1708589056,17102733312,33,157286400,1227751424,6442319872
4585,8.6,4809035776,26256531456,33,226492416,1708589056,17102733312,30,157286400,1227751424,6442319872
4687,6.8,4809035776,26256531456,34,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
4792,11.2,4809035776,26256531456,34,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
4896,12.6,4808835072,26256531456,34,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
4998,9.9,4808835072,26256531456,34,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
5100,8.0,4808835072,26256531456,35,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
5202,8.7,4808835072,26256531456,35,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
5304,9.8,4808835072,26256531456,35,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
5406,13.8,4808826880,26256531456,35,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
5508,10.9,4808826880,26256531456,35,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
5610,9.2,4808826880,26256531456,35,226492416,1708589056,17102733312,32,157286400,1227751424,6442319872
5712,10.4,4808826880,26256531456,31,226492416,1708589056,17102733312,29,157286400,1227751424,6442319872
5815,8.6,4809342976,26256531456,31,226492416,1708589056,17102733312,29,157286400,1227751424,6442319872
5917,10.4,4810375168,26256531456,35,226492416,1708589056,17102733312,31,157286400,1227751424,6442319872
6020,12.4,4810375168,26256531456,35,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
6123,8.5,4810375168,26256531456,35,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
6226,8.6,4810375168,26256531456,35,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
6329,8.6,4810375168,26256531456,34,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
6431,9.9,4810088448,26256531456,34,226492416,1708589056,17102733312,34,157286400,1227751424,6442319872
6535,8.6,4810088448,26256531456,36,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
6637,11.5,4810088448,26256531456,36,226492416,1708589056,17102733312,35,157286400,1227751424,6442319872
