elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2788335616,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
102,11.0,2788335616,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
204,9.1,2788335616,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
306,8.6,2790256640,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
408,9.1,2861477888,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
510,9.7,2922119168,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
612,9.1,2975277056,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
714,8.1,3029983232,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
816,10.8,3084689408,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
918,8.0,3139653632,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1021,11.0,3195908096,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1123,9.7,3251130368,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1224,9.8,3305320448,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1326,9.1,3358994432,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1428,8.5,3414990848,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1530,10.3,3469697024,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1632,7.9,3524919296,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1734,10.2,3579101184,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1836,8.6,3633291264,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1938,9.1,3685675008,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2040,12.1,3740897280,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2146,8.9,3796119552,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2248,7.4,3851341824,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2349,9.1,3905789952,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2452,9.6,3960496128,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2553,9.7,4013654016,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2655,8.5,4067844096,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2757,8.6,4122550272,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2859,12.4,4139524096,26256531456,2,41943040,1398210560,17102733312,0,41943040,1070465024,6442319872
3024,9.8,4205125632,26256531456,2,60817408,1417084928,17102733312,1,58720256,1087242240,6442319872
3126,14.6,4306538496,26256531456,3,161480704,1517748224,17102733312,0,117440512,1145962496,6442319872
3227,14.5,4436078592,26256531456,3,161480704,1517748224,17102733312,3,117440512,1148059648,6442319872
3335,14.3,4482527232,26256531456,4,163577856,1521942528,17102733312,3,163577856,1194196992,6442319872
3438,18.6,4487172096,26256531456,63,163577856,1521942528,17102733312,55,163577856,1194196992,6442319872
3540,15.2,4488204288,26256531456,63,163577856,1521942528,17102733312,82,163577856,1194196992,6442319872
3643,14.0,4488204288,26256531456,65,163577856,1521942528,17102733312,82,163577856,1194196992,6442319872
3747,16.8,4488204288,26256531456,65,163577856,1521942528,17102733312,90,163577856,1194196992,6442319872
3849,20.1,4490784768,26256531456,70,163577856,1521942528,17102733312,90,182452224,1213071360,6442319872
3951,34.7,4494655488,26256531456,70,163577856,1521942528,17102733312,87,203423744,1234042880,6442319872
4059,30.6,4499042304,26256531456,59,163577856,1521942528,17102733312,92,245366784,1275985920,6442319872
4168,28.8,4499042304,26256531456,59,163577856,1521942528,17102733312,92,266338304,1275985920,6442319872
4274,41.9,4494082048,26256531456,66,163577856,1521942528,17102733312,92,287309824,1317928960,6442319872
4378,28.6,4493881344,26256531456,66,163577856,1521942528,17102733312,92,308281344,1338900480,6442319872
4486,27.4,4493623296,26256531456,63,163577856,1521942528,17102733312,92,329252864,1359872000,6442319872
4593,29.1,4472246272,26256531456,63,163577856,1521942528,17102733312,93,350224384,1380843520,6442319872
4703,30.5,4472246272,26256531456,68,163577856,1521942528,17102733312,93,371195904,1401815040,6442319872
4812,27.6,4472246272,26256531456,68,163577856,1521942528,17102733312,93,392167424,1422786560,6442319872
4918,27.6,4472762368,26256531456,68,163577856,1521942528,17102733312,92,434110464,1464729600,6442319872
5022,15.8,4473794560,26256531456,68,163577856,1521942528,17102733312,92,434110464,1464729600,6442319872
5130,14.6,4473794560,26256531456,62,163577856,1521942528,17102733312,91,434110464,1464729600,6442319872
5238,12.9,4473794560,26256531456,68,163577856,1521942528,17102733312,87,417333248,1447952384,6442319872
5342,14.5,4473794560,26256531456,68,163577856,1521942528,17102733312,87,417333248,1447952384,6442319872
5444,13.0,4473794560,26256531456,72,163577856,1521942528,17102733312,89,417333248,1447952384,6442319872
5546,14.9,4474310656,26256531456,72,163577856,1521942528,17102733312,86,417333248,1447952384,6442319872
5649,12.9,4474310656,26256531456,71,163577856,1521942528,17102733312,86,417333248,1447952384,6442319872
5758,15.3,4474310656,26256531456,71,163577856,1521942528,17102733312,88,367001600,1397620736,6442319872
5860,13.5,4474310656,26256531456,56,163577856,1521942528,17102733312,88,346030080,1376649216,6442319872
5968,10.5,4474310656,26256531456,56,163577856,1521942528,17102733312,90,346030080,1376649216,6442319872
6074,13.9,4474556416,26256531456,17,163577856,1521942528,17102733312,92,346030080,1376649216,6442319872
6181,10.3,4474556416,26256531456,17,163577856,1521942528,17102733312,92,346030080,1376649216,6442319872
6286,6.6,4474556416,26256531456,2,163577856,1521942528,17102733312,93,346030080,1376649216,6442319872
6390,7.8,4474556416,26256531456,2,163577856,1521942528,17102733312,94,346030080,1376649216,6442319872
6494,16.3,4475072512,26256531456,1,163577856,1521942528,17102733312,94,186646528,1217265664,6442319872
6596,31.7,4475330560,26256531456,1,163577856,1521942528,17102733312,85,207618048,1238237184,6442319872
6698,28.2,4475330560,26256531456,47,163577856,1521942528,17102733312,85,249561088,1259208704,6442319872
6806,38.4,4477931520,26256531456,47,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
6915,25.3,4477931520,26256531456,56,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7025,22.1,4478189568,26256531456,67,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7133,22.5,4478189568,26256531456,67,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7241,19.0,4478705664,26256531456,67,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
7349,23.1,4478705664,26256531456,67,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
7458,20.9,4478705664,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7565,22.7,4478705664,26256531456,69,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
7672,19.9,4478963712,26256531456,69,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
7774,22.6,4478963712,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7879,20.6,4478963712,26256531456,67,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
7985,23.3,4479107072,26256531456,67,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
8090,22.8,4479213568,26256531456,65,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8192,20.8,4479213568,26256531456,65,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8299,23.4,4479213568,26256531456,59,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8401,21.3,4479471616,26256531456,59,163577856,1521942528,17102733312,90,249561088,1280180224,6442319872
8510,20.8,4479471616,26256531456,71,163577856,1521942528,17102733312,90,249561088,1280180224,6442319872
8617,17.1,4479471616,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8722,15.8,4479471616,26256531456,70,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
8827,16.7,4479471616,26256531456,66,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
8930,14.4,4479471616,26256531456,66,163577856,1521942528,17102733312,89,249561088,1280180224,6442319872
9032,12.7,4479729664,26256531456,72,163577856,1521942528,17102733312,89,249561088,1280180224,6442319872
9134,8.6,4479729664,26256531456,72,163577856,1521942528,17102733312,30,249561088,1280180224,6442319872
9236,14.3,4481277952,26256531456,75,163577856,1521942528,17102733312,0,186646528,1217265664,6442319872
9338,31.5,4481277952,26256531456,75,163577856,1521942528,17102733312,0,207618048,1238237184,6442319872
9444,31.2,4481277952,26256531456,61,163577856,1521942528,17102733312,77,228589568,1259208704,6442319872
9546,25.6,4481277952,26256531456,61,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
9652,22.1,4481277952,26256531456,56,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
9760,23.9,4481277952,26256531456,56,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
9867,18.9,4481277952,26256531456,59,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
9975,25.4,4481019904,26256531456,59,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
10081,24.0,4481277952,26256531456,71,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
10188,21.5,4482052096,26256531456,71,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
10297,21.6,4481679360,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10405,24.3,4481536000,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10513,23.7,4482052096,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10621,22.1,4482052096,26256531456,68,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
10730,21.1,4482052096,26256531456,68,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10837,20.7,4482052096,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10945,21.5,4482052096,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
11052,21.1,4482052096,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
11160,14.5,4482052096,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
11266,14.7,4482306048,26256531456,72,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
11372,13.7,4482306048,26256531456,72,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
11476,12.0,4482822144,26256531456,73,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
11577,11.9,4482822144,26256531456,73,163577856,1521942528,17102733312,41,249561088,1280180224,6442319872
11679,8.6,4482822144,26256531456,72,163577856,1521942528,17102733312,41,249561088,1280180224,6442319872
11781,8.4,4482822144,26256531456,74,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
11883,9.3,4482822144,26256531456,74,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
11986,10.3,4483080192,26256531456,75,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
12087,31.1,4482895872,26256531456,75,163577856,1521942528,17102733312,17,207618048,1238237184,6442319872
12191,22.5,4482895872,26256531456,67,163577856,1521942528,17102733312,17,207618048,1238237184,6442319872
12298,32.8,4483670016,26256531456,67,163577856,1521942528,17102733312,91,228589568,1259208704,6442319872
12400,24.2,4483670016,26256531456,69,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
12503,24.1,4483670016,26256531456,69,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
12605,21.6,4483670016,26256531456,67,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
12711,20.8,4483670016,26256531456,67,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
12819,20.7,4483670016,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
12926,23.0,4483928064,26256531456,70,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
13033,23.0,4483928064,26256531456,62,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13143,21.5,4483928064,26256531456,62,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13251,23.6,4483670016,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13358,18.6,4483670016,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13463,21.2,4483670016,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13565,24.1,4483670016,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
13672,22.4,4483928064,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
13781,19.3,4483928064,26256531456,69,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
13888,16.5,4483928064,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
13995,14.8,4484444160,26256531456,70,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
14099,15.0,4484444160,26256531456,70,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
14204,16.1,4484444160,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
14311,7.1,4484444160,26256531456,69,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
14413,9.8,4484444160,26256531456,74,163577856,1521942528,17102733312,12,249561088,1280180224,6442319872
14515,9.7,4484444160,26256531456,74,163577856,1521942528,17102733312,12,249561088,1280180224,6442319872
14617,7.4,4484444160,26256531456,69,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
14719,10.4,4484444160,26256531456,69,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
14821,22.6,4484960256,26256531456,70,163577856,1521942528,17102733312,0,186646528,1217265664,6442319872
14922,28.6,4485734400,26256531456,70,163577856,1521942528,17102733312,53,207618048,1238237184,6442319872
15025,28.7,4485472256,26256531456,60,163577856,1521942528,17102733312,53,228589568,1259208704,6442319872
15130,27.5,4486246400,26256531456,60,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
15234,22.5,4486246400,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
15336,20.0,4486246400,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
15443,20.6,4486246400,26256531456,68,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
