elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2782216192,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
103,9.0,2782216192,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
206,8.4,2782216192,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
309,7.3,2789302272,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
412,6.7,2863104000,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
515,6.8,2938454016,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
617,6.7,2982322176,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
720,8.0,3029286912,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
823,7.3,3074187264,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
926,12.0,3112894464,26256531456,3,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1029,7.3,3153666048,26256531456,3,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1132,9.0,3196502016,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1235,6.7,3239337984,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1338,9.1,3290431488,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1440,6.7,3344621568,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1543,6.1,3396231168,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1646,9.5,3449905152,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1749,6.1,3501514752,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1852,12.3,3549990912,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
1954,8.0,3601084416,26256531456,3,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2057,10.2,3653726208,26256531456,3,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2160,7.5,3705851904,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2262,8.5,3757977600,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2365,7.9,3811135488,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2467,8.0,3862745088,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2570,7.3,3915386880,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2673,8.0,3968028672,26256531456,2,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2775,10.2,4021186560,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2877,10.6,4073226240,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
2980,9.3,4127416320,26256531456,1,50331648,1406599168,17102733312,0,140509184,1169031168,6442319872
3082,10.2,4137947136,26256531456,1,41943040,1398210560,17102733312,0,41943040,1070465024,6442319872
3234,7.8,4190625792,26256531456,3,60817408,1417084928,17102733312,0,58720256,1087242240,6442319872
3336,12.9,4296110080,26256531456,2,77594624,1433862144,17102733312,0,96468992,1104019456,6442319872
3447,14.0,4408102912,26256531456,2,161480704,1517748224,17102733312,2,117440512,1145962496,6442319872
3587,14.3,4483518464,26256531456,2,163577856,1521942528,17102733312,1,163577856,1194196992,6442319872
3689,18.1,4485582848,26256531456,2,163577856,1521942528,17102733312,1,163577856,1194196992,6442319872
3794,13.3,4485582848,26256531456,59,163577856,1521942528,17102733312,81,159383552,1190002688,6442319872
3901,15.8,4486615040,26256531456,58,163577856,1521942528,17102733312,88,159383552,1190002688,6442319872
4004,13.1,4486615040,26256531456,58,163577856,1521942528,17102733312,88,159383552,1190002688,6442319872
4106,28.3,4487065600,26256531456,56,163577856,1521942528,17102733312,89,186646528,1217265664,6442319872
4209,28.2,4489129984,26256531456,56,163577856,1521942528,17102733312,86,203423744,1234042880,6442319872
4311,30.1,4489129984,26256531456,63,163577856,1521942528,17102733312,86,224395264,1255014400,6442319872
4418,28.5,4489129984,26256531456,63,163577856,1521942528,17102733312,93,245366784,1275985920,6442319872
4527,33.0,4492713984,26256531456,63,163577856,1521942528,17102733312,93,266338304,1296957440,6442319872
4631,27.7,4492713984,26256531456,63,163577856,1521942528,17102733312,91,287309824,1317928960,6442319872
4739,25.8,4493230080,26256531456,67,163577856,1521942528,17102733312,92,329252864,1338900480,6442319872
4842,32.5,4493230080,26256531456,67,163577856,1521942528,17102733312,92,350224384,1380843520,6442319872
4944,32.1,4493746176,26256531456,60,163577856,1521942528,17102733312,92,371195904,1401815040,6442319872
5047,28.5,4491137024,26256531456,60,163577856,1521942528,17102733312,91,392167424,1422786560,6442319872
5153,32.8,4492169216,26256531456,60,163577856,1521942528,17102733312,91,413138944,1443758080,6442319872
5255,20.5,4492169216,26256531456,60,163577856,1521942528,17102733312,92,413138944,1443758080,6442319872
5358,18.0,4490567680,26256531456,62,163577856,1521942528,17102733312,92,413138944,1443758080,6442319872
5460,15.0,4491083776,26256531456,62,163577856,1521942528,17102733312,92,413138944,1443758080,6442319872
5567,16.6,4491083776,26256531456,72,163577856,1521942528,17102733312,91,413138944,1443758080,6442319872
5674,17.2,4491599872,26256531456,72,163577856,1521942528,17102733312,91,387973120,1418592256,6442319872
5776,15.3,4491599872,26256531456,65,163577856,1521942528,17102733312,91,387973120,1418592256,6442319872
5879,20.2,4492632064,26256531456,65,163577856,1521942528,17102733312,92,387973120,1418592256,6442319872
5989,21.6,4493148160,26256531456,66,163577856,1521942528,17102733312,92,387973120,1418592256,6442319872
6096,20.6,4493148160,26256531456,63,163577856,1521942528,17102733312,91,387973120,1418592256,6442319872
6204,13.6,4493148160,26256531456,63,163577856,1521942528,17102733312,91,304087040,1334706176,6442319872
6312,15.9,4493148160,26256531456,56,62914560,1402404864,17102733312,91,262144000,1292763136,6442319872
6416,8.5,4493148160,26256531456,56,163577856,1521942528,17102733312,91,262144000,1292763136,6442319872
6518,8.7,4493148160,26256531456,7,163577856,1521942528,17102733312,91,262144000,1292763136,6442319872
6625,8.9,4492775424,26256531456,7,163577856,1521942528,17102733312,92,262144000,1292763136,6442319872
6733,27.4,4492775424,26256531456,13,163577856,1521942528,17102733312,87,186646528,1217265664,6442319872
6839,29.2,4492775424,26256531456,13,163577856,1521942528,17102733312,87,207618048,1238237184,6442319872
6943,34.7,4492918784,26256531456,55,163577856,1521942528,17102733312,91,228589568,1259208704,6442319872
7046,35.1,4492918784,26256531456,55,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7152,25.1,4492918784,26256531456,63,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7261,24.1,4492918784,26256531456,63,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7364,19.4,4492918784,26256531456,66,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7472,23.0,4492918784,26256531456,66,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
7580,23.6,4492918784,26256531456,65,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
7689,25.7,4492918784,26256531456,68,163577856,1521942528,17102733312,94,249561088,1280180224,6442319872
7797,21.8,4493434880,26256531456,68,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
7899,27.6,4493950976,26256531456,59,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
8008,22.2,4494409728,26256531456,59,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
8119,26.8,4494409728,26256531456,53,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
8229,25.1,4495183872,26256531456,53,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
8331,21.9,4495183872,26256531456,66,163577856,1521942528,17102733312,91,249561088,1280180224,6442319872
8438,16.6,4496216064,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8546,14.6,4496216064,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
8652,14.8,4496732160,26256531456,66,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
8760,15.6,4496732160,26256531456,71,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
8866,17.5,4496732160,26256531456,71,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
8968,9.2,4496732160,26256531456,67,163577856,1521942528,17102733312,75,249561088,1280180224,6442319872
9070,9.6,4496732160,26256531456,67,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
9172,8.6,4496732160,26256531456,74,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
9274,6.8,4496732160,26256531456,74,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
9376,9.8,4496732160,26256531456,75,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
9478,7.9,4496732160,26256531456,75,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
9580,10.2,4496732160,26256531456,76,163577856,1459027968,17102733312,0,140509184,1129185280,6442319872
9684,32.5,4496732160,26256531456,66,163577856,1521942528,17102733312,0,228589568,1259208704,6442319872
9790,33.3,4497248256,26256531456,66,163577856,1521942528,17102733312,72,249561088,1280180224,6442319872
9896,25.7,4498280448,26256531456,62,163577856,1521942528,17102733312,89,249561088,1280180224,6442319872
10001,22.0,4499312640,26256531456,62,163577856,1521942528,17102733312,89,249561088,1280180224,6442319872
10108,21.4,4499742720,26256531456,66,163577856,1521942528,17102733312,89,249561088,1280180224,6442319872
10214,20.1,4499742720,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10316,23.8,4500746240,26256531456,66,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10425,22.4,4500746240,26256531456,66,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
10532,17.9,4501319680,26256531456,57,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
10640,24.4,4501319680,26256531456,57,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
10742,21.7,4501835776,26256531456,68,163577856,1521942528,17102733312,90,249561088,1280180224,6442319872
10852,23.0,4501835776,26256531456,68,163577856,1521942528,17102733312,90,249561088,1280180224,6442319872
10959,24.7,4502609920,26256531456,57,163577856,1521942528,17102733312,92,249561088,1280180224,6442319872
11061,24.2,4502609920,26256531456,57,163577856,1521942528,17102733312,93,249561088,1280180224,6442319872
