elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2925797376,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
102,9.2,2925797376,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
204,8.0,2925797376,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
306,7.5,2925797376,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
408,9.1,2925797376,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
510,7.4,2972762112,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
612,10.2,3025920000,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
715,9.8,3079593984,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
817,9.2,3134042112,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
919,7.9,3188748288,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1021,8.6,3246034944,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1123,7.9,3301773312,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1225,6.8,3359059968,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1327,9.6,3415830528,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1429,7.9,3473117184,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1534,7.2,3531436032,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1637,9.1,3587690496,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1739,9.2,3645235200,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1841,9.3,3698135040,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
1943,8.6,3752841216,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2046,8.6,3809611776,26256531456,4,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2147,8.5,3866640384,26256531456,4,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2249,6.9,3922894848,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2352,8.5,3979149312,26256531456,1,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2454,9.7,4036435968,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2556,9.6,4092690432,26256531456,2,50331648,1406599168,17102733312,0,230686720,1259208704,6442319872
2658,9.6,4108296192,26256531456,3,41943040,1398210560,17102733312,0,41943040,1070465024,6442319872
2857,5.6,4120711168,26256531456,3,41943040,1398210560,17102733312,0,41943040,1070465024,6442319872
2959,5.6,4131958784,26256531456,3,41943040,1398210560,17102733312,0,41943040,1070465024,6442319872
3061,10.5,4214476800,26256531456,3,60817408,1417084928,17102733312,0,58720256,1087242240,6442319872
3162,12.2,4305760256,26256531456,3,161480704,1517748224,17102733312,0,117440512,1145962496,6442319872
3264,10.7,4407283712,26256531456,9,161480704,1517748224,17102733312,3,117440512,1145962496,6442319872
