elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4626505728,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
102,7.9,4626505728,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
204,6.8,4626505728,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
306,7.3,4635795456,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
410,9.6,4710629376,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
512,8.0,4784947200,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
614,8.6,4859265024,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
716,10.4,4916035584,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
818,9.8,4972032000,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
920,7.4,5028802560,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1023,9.7,5085315072,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1125,8.1,5141053440,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1227,11.8,5198598144,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1329,9.1,5255368704,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1432,7.5,5312532480,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1534,9.3,5368270848,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1636,10.2,5424783360,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1738,11.0,5481811968,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1840,7.9,5538324480,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1943,7.4,5595611136,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2046,9.5,5651349504,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2150,9.5,5706829824,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2253,8.5,5763084288,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2357,7.3,5819338752,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2461,7.2,5875077120,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2564,7.9,5930815488,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2668,7.4,5968650240,26256531456,0,25165824,1496776704,17102733312,0,23068672,1085145088,6442319872
2870,12.5,6008569856,26256531456,1,25165824,1496776704,17102733312,0,23068672,1087242240,6442319872
3011,6.8,6045274112,26256531456,1,41943040,1530331136,17102733312,0,58720256,1137573888,6442319872
3162,12.8,6238605312,26256531456,2,159383552,1649868800,17102733312,1,117440512,1196294144,6442319872
3275,12.4,6330707968,26256531456,2,274726912,1767309312,17102733312,3,163577856,1244528640,6442319872
3382,15.4,6334320640,26256531456,34,276824064,1769406464,17102733312,3,163577856,1244528640,6442319872
3486,17.1,6374559744,26256531456,34,276824064,1769406464,17102733312,65,163577856,1244528640,6442319872
3589,14.7,6374559744,26256531456,57,276824064,1769406464,17102733312,74,163577856,1244528640,6442319872
3691,14.6,6374559744,26256531456,57,276824064,1769406464,17102733312,74,163577856,1244528640,6442319872
3794,17.9,6376108032,26256531456,63,276824064,1769406464,17102733312,89,163577856,1244528640,6442319872
3896,29.5,6378659840,26256531456,63,276824064,1769406464,17102733312,89,186646528,1267597312,6442319872
4002,27.4,6381215744,26256531456,62,276824064,1769406464,17102733312,84,207618048,1288568832,6442319872
4105,31.7,6380957696,26256531456,62,276824064,1769406464,17102733312,93,249561088,1330511872,6442319872
4207,32.9,6380957696,26256531456,71,276824064,1769406464,17102733312,93,270532608,1351483392,6442319872
4314,45.5,6382247936,26256531456,71,276824064,1769406464,17102733312,93,312475648,1393426432,6442319872
4416,31.4,6380011520,26256531456,70,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
4524,36.0,6381985792,26256531456,70,276824064,1769406464,17102733312,94,375390208,1456340992,6442319872
4627,21.5,6381985792,26256531456,72,276824064,1769406464,17102733312,92,396361728,1477312512,6442319872
4729,15.7,6381985792,26256531456,72,276824064,1769406464,17102733312,92,396361728,1477312512,6442319872
4832,18.4,6374633472,26256531456,75,276824064,1769406464,17102733312,90,396361728,1477312512,6442319872
4941,15.9,6374117376,26256531456,72,276824064,1769406464,17102733312,88,396361728,1477312512,6442319872
5043,15.6,6373859328,26256531456,72,276824064,1769406464,17102733312,88,396361728,1477312512,6442319872
5146,15.7,6372052992,26256531456,75,276824064,1769406464,17102733312,89,396361728,1477312512,6442319872
5255,14.0,6371794944,26256531456,75,276824064,1769406464,17102733312,89,396361728,1477312512,6442319872
5364,14.4,6371794944,26256531456,75,276824064,1769406464,17102733312,90,396361728,1477312512,6442319872
5467,12.3,6371794944,26256531456,75,276824064,1769406464,17102733312,89,329252864,1410203648,6442319872
5571,15.1,6372306944,26256531456,73,276824064,1769406464,17102733312,89,329252864,1410203648,6442319872
5677,13.6,6372306944,26256531456,73,276824064,1769406464,17102733312,91,329252864,1410203648,6442319872
5779,19.9,6372306944,26256531456,77,276824064,1769406464,17102733312,88,329252864,1410203648,6442319872
5883,19.5,6372048896,26256531456,77,276824064,1769406464,17102733312,88,329252864,1410203648,6442319872
5990,21.4,6372048896,26256531456,72,276824064,1769406464,17102733312,91,186646528,1267597312,6442319872
6092,13.2,6372048896,26256531456,72,276824064,1654063104,17102733312,91,25165824,1267597312,6442319872
6199,17.8,6372048896,26256531456,72,276824064,1769406464,17102733312,83,186646528,1267597312,6442319872
6306,16.3,6372048896,26256531456,72,276824064,1769406464,17102733312,83,182452224,1263403008,6442319872
6411,14.8,6373081088,26256531456,68,276824064,1769406464,17102733312,83,186646528,1267597312,6442319872
6514,33.7,6373081088,26256531456,68,276824064,1769406464,17102733312,85,228589568,1309540352,6442319872
6617,34.8,6375632896,26256531456,61,276824064,1769406464,17102733312,85,270532608,1351483392,6442319872
6720,35.4,6375632896,26256531456,61,276824064,1769406464,17102733312,89,312475648,1393426432,6442319872
6827,26.7,6375890944,26256531456,71,276824064,1769406464,17102733312,89,333447168,1414397952,6442319872
6931,24.0,6375632896,26256531456,71,276824064,1769406464,17102733312,89,333447168,1414397952,6442319872
7034,20.6,6375628800,26256531456,69,276824064,1769406464,17102733312,90,333447168,1414397952,6442319872
7141,22.4,6375370752,26256531456,69,276824064,1769406464,17102733312,91,333447168,1414397952,6442319872
7244,21.3,6375354368,26256531456,71,276824064,1769406464,17102733312,91,333447168,1414397952,6442319872
7353,21.7,6375354368,26256531456,73,276824064,1769406464,17102733312,90,333447168,1414397952,6442319872
7463,20.7,6375354368,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
7571,21.4,6375354368,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
7678,19.5,6375354368,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
7785,14.9,6375739392,26256531456,75,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
7891,14.7,6375739392,26256531456,75,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
7998,16.2,6375739392,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8104,13.3,6375739392,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8210,15.4,6375481344,26256531456,75,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8316,13.8,6375481344,26256531456,75,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8422,15.1,6375481344,26256531456,76,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8527,16.6,6375481344,26256531456,76,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8635,8.8,6375481344,26256531456,74,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
8737,8.6,6375481344,26256531456,74,276824064,1769406464,17102733312,55,333447168,1414397952,6442319872
8839,12.2,6375997440,26256531456,76,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
8941,11.9,6375997440,26256531456,76,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
9043,7.4,6375997440,26256531456,74,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
9145,9.8,6375997440,26256531456,74,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
9247,7.9,6375739392,26256531456,77,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
9349,10.2,6375739392,26256531456,77,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
9451,20.6,6376513536,26256531456,76,276824064,1769406464,17102733312,0,207618048,1288568832,6442319872
9559,32.7,6376513536,26256531456,70,276824064,1769406464,17102733312,40,228589568,1309540352,6442319872
9661,35.6,6376513536,26256531456,70,276824064,1769406464,17102733312,93,270532608,1351483392,6442319872
9768,33.3,6377029632,26256531456,63,276824064,1769406464,17102733312,93,291504128,1372454912,6442319872
9871,34.8,6377545728,26256531456,63,276824064,1769406464,17102733312,91,312475648,1393426432,6442319872
9979,23.8,6377545728,26256531456,67,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10087,23.4,6377287680,26256531456,67,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10195,22.9,6377287680,26256531456,69,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10303,22.7,6377287680,26256531456,69,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10405,19.9,6377287680,26256531456,64,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
10509,22.0,6377287680,26256531456,64,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10617,19.4,6377287680,26256531456,70,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10724,16.9,6377287680,26256531456,70,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
10832,14.8,6377803776,26256531456,69,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
10938,14.7,6377803776,26256531456,69,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
11044,15.2,6377803776,26256531456,73,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
11152,16.9,6377803776,26256531456,73,276824064,1769406464,17102733312,90,333447168,1414397952,6442319872
11254,15.2,6377803776,26256531456,60,276824064,1769406464,17102733312,90,333447168,1414397952,6442319872
11358,14.5,6378061824,26256531456,68,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
11464,13.1,6378061824,26256531456,68,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
11570,14.3,6377803776,26256531456,73,276824064,1769406464,17102733312,92,333447168,1414397952,6442319872
11672,7.5,6377803776,26256531456,73,276824064,1769406464,17102733312,46,333447168,1414397952,6442319872
11774,10.4,6377803776,26256531456,58,276824064,1769406464,17102733312,46,333447168,1414397952,6442319872
11876,11.2,6378061824,26256531456,58,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
11979,7.9,6378061824,26256531456,52,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12080,9.8,6377545728,26256531456,52,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12182,7.4,6377545728,26256531456,66,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12284,8.6,6377545728,26256531456,66,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12386,8.0,6377545728,26256531456,68,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12488,8.1,6377545728,26256531456,68,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12590,8.0,6377545728,26256531456,65,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12692,9.2,6377545728,26256531456,65,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12793,8.8,6378319872,26256531456,68,276824064,1769406464,17102733312,0,333447168,1414397952,6442319872
12895,24.8,6378319872,26256531456,68,276824064,1769406464,17102733312,0,207618048,1288568832,6442319872
12998,31.5,6378319872,26256531456,66,276824064,1769406464,17102733312,84,228589568,1309540352,6442319872
13106,31.0,6378319872,26256531456,66,276824064,1769406464,17102733312,84,270532608,1351483392,6442319872
13215,32.4,6378053632,26256531456,69,276824064,1769406464,17102733312,92,291504128,1372454912,6442319872
13324,31.2,6378049536,26256531456,69,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
13426,21.9,6378049536,26256531456,68,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
13531,21.6,6378049536,26256531456,68,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
13639,21.2,6378049536,26256531456,64,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
13741,25.1,6378049536,26256531456,64,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
13846,28.2,6385270784,26256531456,71,276824064,1769406464,17102733312,91,333447168,1414397952,6442319872
13949,23.0,6385270784,26256531456,71,276824064,1769406464,17102733312,91,333447168,1414397952,6442319872
14054,22.5,6385270784,26256531456,71,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
14161,23.8,6398660608,26256531456,72,276824064,1769406464,17102733312,94,333447168,1414397952,6442319872
14268,22.0,6396882944,26256531456,72,276824064,1769406464,17102733312,94,333447168,1414397952,6442319872
14376,19.2,6396882944,26256531456,67,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
14482,14.7,6393012224,26256531456,67,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
14587,15.9,6383722496,26256531456,65,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
14692,14.7,6383722496,26256531456,65,276824064,1769406464,17102733312,93,333447168,1414397952,6442319872
