elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3411329024,26256531456,2,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
105,8.9,3411329024,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
208,7.9,3411329024,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
310,7.3,3411329024,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
412,9.0,3411329024,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
514,8.0,3458809856,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
616,7.9,3510935552,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
718,7.9,3559964672,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
821,10.3,3609509888,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
923,6.7,3662667776,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1026,7.9,3715825664,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1129,7.4,3767951360,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1232,6.7,3822141440,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1334,7.4,3875815424,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1436,6.8,3928973312,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1539,7.3,3981615104,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1641,12.4,4035805184,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1743,7.4,4091027456,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1846,8.6,4145475584,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
1948,8.0,4200181760,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2050,8.5,4253339648,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2153,8.0,4305465344,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2255,9.0,4360171520,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2357,9.6,4413845504,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2459,7.4,4468551680,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2562,8.0,4522741760,26256531456,0,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2664,9.7,4576931840,26256531456,0,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2767,11.0,4598349824,26256531456,1,50331648,1521942528,17102733312,0,153092096,1215168512,6442319872
2934,9.4,4665167872,26256531456,2,50331648,1521942528,17102733312,0,153092096,1217265664,6442319872
3068,6.1,4670828544,26256531456,2,41943040,1530331136,17102733312,0,41943040,1120796672,6442319872
3195,9.8,4718157824,26256531456,3,60817408,1551302656,17102733312,1,41943040,1120796672,6442319872
3297,15.1,4817764352,26256531456,3,77594624,1568079872,17102733312,1,96468992,1154351104,6442319872
3421,13.1,4951416832,26256531456,3,161480704,1651965952,17102733312,1,117440512,1196294144,6442319872
3546,14.4,5017219072,26256531456,10,163577856,1656160256,17102733312,3,163577856,1244528640,6442319872
3649,16.0,5017194496,26256531456,10,163577856,1656160256,17102733312,53,163577856,1244528640,6442319872
3758,18.0,5057908736,26256531456,94,163577856,1656160256,17102733312,69,163577856,1244528640,6442319872
3860,16.5,5060190208,26256531456,94,163577856,1656160256,17102733312,69,163577856,1244528640,6442319872
3963,20.7,5060935680,26256531456,48,163577856,1656160256,17102733312,88,163577856,1244528640,6442319872
4065,19.9,5061967872,26256531456,48,163577856,1656160256,17102733312,88,186646528,1267597312,6442319872
4170,30.1,5064290304,26256531456,66,163577856,1656160256,17102733312,87,207618048,1288568832,6442319872
4279,29.1,5066584064,26256531456,66,163577856,1656160256,17102733312,91,228589568,1309540352,6442319872
4380,34.0,5066584064,26256531456,60,163577856,1656160256,17102733312,91,270532608,1351483392,6442319872
4483,34.3,5066584064,26256531456,60,163577856,1656160256,17102733312,92,291504128,1372454912,6442319872
4591,25.7,5066584064,26256531456,61,163577856,1656160256,17102733312,92,312475648,1393426432,6442319872
4698,16.9,5066584064,26256531456,67,163577856,1656160256,17102733312,93,312475648,1393426432,6442319872
4803,17.5,5067616256,26256531456,67,163577856,1656160256,17102733312,93,312475648,1393426432,6442319872
4909,17.5,5067616256,26256531456,71,163577856,1656160256,17102733312,93,312475648,1393426432,6442319872
5015,14.9,5067874304,26256531456,71,163577856,1656160256,17102733312,93,287309824,1368260608,6442319872
5122,18.5,5067874304,26256531456,67,163577856,1656160256,17102733312,92,287309824,1368260608,6442319872
5228,16.6,5067870208,26256531456,67,163577856,1656160256,17102733312,92,287309824,1368260608,6442319872
5334,15.6,5067870208,26256531456,71,163577856,1656160256,17102733312,92,287309824,1368260608,6442319872
5439,20.6,5067870208,26256531456,71,163577856,1656160256,17102733312,90,186646528,1267597312,6442319872
5543,27.5,5067870208,26256531456,65,163577856,1656160256,17102733312,90,207618048,1288568832,6442319872
5651,14.5,5067870208,26256531456,65,163577856,1656160256,17102733312,93,207618048,1288568832,6442319872
5756,24.7,5068386304,26256531456,67,163577856,1656160256,17102733312,93,186646528,1267597312,6442319872
5859,22.9,5068386304,26256531456,67,163577856,1656160256,17102733312,91,207618048,1288568832,6442319872
5967,21.6,5068386304,26256531456,63,165675008,1658257408,17102733312,92,186646528,1267597312,6442319872
6074,19.0,5068386304,26256531456,63,165675008,1658257408,17102733312,92,186646528,1267597312,6442319872
6180,20.5,5068386304,26256531456,54,165675008,1658257408,17102733312,90,186646528,1267597312,6442319872
6286,17.5,5068386304,26256531456,57,163577856,1656160256,17102733312,89,186646528,1267597312,6442319872
6389,20.2,5068386304,26256531456,57,163577856,1656160256,17102733312,89,140509184,1221459968,6442319872
6491,18.9,5068386304,26256531456,57,163577856,1656160256,17102733312,88,157286400,1238237184,6442319872
6594,23.7,5068898304,26256531456,57,163577856,1656160256,17102733312,83,186646528,1267597312,6442319872
6702,24.6,5068898304,26256531456,54,163577856,1656160256,17102733312,83,207618048,1288568832,6442319872
6809,31.4,5069672448,26256531456,54,163577856,1656160256,17102733312,93,228589568,1309540352,6442319872
6917,28.1,5069672448,26256531456,69,163577856,1656160256,17102733312,93,249561088,1330511872,6442319872
7023,27.2,5069672448,26256531456,69,163577856,1656160256,17102733312,94,270532608,1351483392,6442319872
7130,26.6,5069672448,26256531456,61,163577856,1656160256,17102733312,93,270532608,1351483392,6442319872
7237,28.8,5069672448,26256531456,61,163577856,1656160256,17102733312,93,291504128,1372454912,6442319872
7344,24.4,5069672448,26256531456,69,163577856,1656160256,17102733312,93,312475648,1393426432,6442319872
7453,35.0,5071736832,26256531456,69,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
7561,25.9,5072252928,26256531456,69,163577856,1656160256,17102733312,92,375390208,1456340992,6442319872
7667,21.3,5072252928,26256531456,69,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
7773,16.6,5072769024,26256531456,56,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
7879,14.2,5072769024,26256531456,57,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
7985,15.8,5072769024,26256531456,57,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
8090,13.7,5072769024,26256531456,72,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
8196,15.5,5072769024,26256531456,72,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
8301,14.3,5072769024,26256531456,71,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
8406,12.7,5072769024,26256531456,71,163577856,1656160256,17102733312,93,375390208,1456340992,6442319872
8511,15.6,5072769024,26256531456,72,163577856,1656160256,17102733312,92,375390208,1456340992,6442319872
8616,15.6,5072769024,26256531456,72,163577856,1656160256,17102733312,92,375390208,1456340992,6442319872
8724,16.2,5072769024,26256531456,70,163577856,1656160256,17102733312,92,375390208,1456340992,6442319872
8830,16.4,5073801216,26256531456,70,163577856,1656160256,17102733312,92,375390208,1456340992,6442319872
8936,8.9,5074059264,26256531456,63,163577856,1656160256,17102733312,48,375390208,1456340992,6442319872
9038,6.8,5074059264,26256531456,63,163577856,1656160256,17102733312,48,375390208,1456340992,6442319872
9140,8.6,5074059264,26256531456,76,163577856,1656160256,17102733312,0,375390208,1456340992,6442319872
9241,8.6,5074059264,26256531456,76,163577856,1656160256,17102733312,0,375390208,1456340992,6442319872
9343,14.1,5075091456,26256531456,74,163577856,1656160256,17102733312,0,186646528,1267597312,6442319872
9445,24.8,5075091456,26256531456,74,163577856,1656160256,17102733312,52,207618048,1288568832,6442319872
9550,27.9,5075091456,26256531456,70,163577856,1656160256,17102733312,52,228589568,1309540352,6442319872
9658,30.8,5075091456,26256531456,68,163577856,1656160256,17102733312,93,249561088,1330511872,6442319872
9766,31.4,5075607552,26256531456,68,163577856,1656160256,17102733312,93,270532608,1351483392,6442319872
9872,25.3,5075865600,26256531456,57,163577856,1656160256,17102733312,93,291504128,1372454912,6442319872
9974,29.9,5076123648,26256531456,57,163577856,1656160256,17102733312,92,312475648,1393426432,6442319872
10081,31.7,5076123648,26256531456,59,163577856,1656160256,17102733312,92,333447168,1414397952,6442319872
10188,27.3,5076123648,26256531456,59,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
10295,21.6,5076123648,26256531456,59,163577856,1656160256,17102733312,94,354418688,1435369472,6442319872
10401,21.1,5076123648,26256531456,59,163577856,1656160256,17102733312,94,354418688,1435369472,6442319872
10509,14.8,5076123648,26256531456,54,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
10615,16.9,5076123648,26256531456,54,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
10720,16.7,5076381696,26256531456,58,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
10825,17.4,5077413888,26256531456,58,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
10932,14.6,5077413888,26256531456,57,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
11037,14.8,5077413888,26256531456,57,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
11144,14.5,5077413888,26256531456,58,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
11249,16.4,5077413888,26256531456,59,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
11356,15.2,5077413888,26256531456,59,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
11461,12.4,5077413888,26256531456,60,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
11563,8.5,5077413888,26256531456,60,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
11665,9.8,5077413888,26256531456,56,163577856,1656160256,17102733312,14,354418688,1435369472,6442319872
11767,9.4,5078446080,26256531456,56,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
11869,9.6,5078446080,26256531456,65,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
11971,9.8,5078446080,26256531456,65,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12073,8.5,5078446080,26256531456,64,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12177,12.2,5078446080,26256531456,64,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12279,10.9,5078446080,26256531456,65,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12381,9.2,5078446080,26256531456,65,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12482,8.6,5078433792,26256531456,66,163577856,1656160256,17102733312,0,354418688,1435369472,6442319872
12584,19.4,5078949888,26256531456,66,163577856,1656160256,17102733312,26,186646528,1267597312,6442319872
12689,27.5,5078949888,26256531456,59,163577856,1656160256,17102733312,26,207618048,1288568832,6442319872
12797,32.0,5082046464,26256531456,59,163577856,1656160256,17102733312,92,228589568,1309540352,6442319872
12905,27.6,5082046464,26256531456,61,163577856,1656160256,17102733312,92,249561088,1330511872,6442319872
13012,31.0,5082046464,26256531456,61,163577856,1656160256,17102733312,93,291504128,1372454912,6442319872
13120,29.8,5082046464,26256531456,68,163577856,1656160256,17102733312,93,312475648,1393426432,6442319872
13228,23.4,5082046464,26256531456,68,163577856,1656160256,17102733312,93,333447168,1414397952,6442319872
13334,26.2,5082046464,26256531456,67,163577856,1656160256,17102733312,93,333447168,1414397952,6442319872
13442,25.1,5082046464,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
13549,21.4,5082046464,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
13657,22.1,5082046464,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
13764,22.5,5083594752,26256531456,69,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
13866,27.9,5084168192,26256531456,58,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
13972,15.4,5084110848,26256531456,58,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
14076,14.3,5084110848,26256531456,69,163577856,1656160256,17102733312,92,354418688,1435369472,6442319872
14181,13.9,5084110848,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14287,13.7,5084110848,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14391,15.6,5084110848,26256531456,69,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14496,15.6,5084110848,26256531456,72,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14601,17.0,5084110848,26256531456,72,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14706,16.2,5084110848,26256531456,68,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
14810,19.5,5085401088,26256531456,68,163577856,1656160256,17102733312,93,354418688,1435369472,6442319872
