elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3242000384,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
102,11.4,3242258432,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
204,22.6,3245072384,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
306,7.4,3245330432,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
408,8.0,3289755648,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
510,6.7,3360976896,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
612,9.8,3432714240,26256531456,3,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
714,8.6,3489226752,26256531456,3,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
816,6.8,3544449024,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
917,8.0,3599155200,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1019,7.4,3655409664,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1121,6.2,3711664128,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1223,7.9,3766628352,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1325,9.1,3823915008,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1427,6.8,3880685568,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1529,7.4,3937456128,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1631,8.0,3994861568,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1734,9.0,4052148224,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1836,9.1,4108918784,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
1938,7.4,4165173248,26256531456,1,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2041,6.7,4223492096,26256531456,0,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2144,7.9,4279746560,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2247,8.4,4335484928,26256531456,2,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2350,8.0,4391739392,26256531456,3,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2452,6.1,4446445568,26256531456,3,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2554,8.0,4502700032,26256531456,4,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2656,10.4,4560371712,26256531456,4,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2759,9.3,4591865856,26256531456,4,50331648,1521942528,17102733312,0,150994944,1213071360,6442319872
2939,7.9,4664586240,26256531456,3,50331648,1521942528,17102733312,0,150994944,1215168512,6442319872
3087,6.5,4669984768,26256531456,3,41943040,1530331136,17102733312,0,41943040,1120796672,6442319872
3229,9.6,4707848192,26256531456,4,60817408,1551302656,17102733312,0,41943040,1120796672,6442319872
3332,15.7,4824227840,26256531456,4,77594624,1568079872,17102733312,1,96468992,1154351104,6442319872
3452,24.7,4942954496,26256531456,4,161480704,1651965952,17102733312,1,117440512,1196294144,6442319872
3565,15.6,5037379584,26256531456,5,163577856,1656160256,17102733312,2,163577856,1244528640,6442319872
3668,21.1,5058625536,26256531456,5,163577856,1656160256,17102733312,41,163577856,1244528640,6442319872
3770,17.4,5058625536,26256531456,84,163577856,1656160256,17102733312,41,163577856,1244528640,6442319872
3873,16.7,5058625536,26256531456,84,163577856,1656160256,17102733312,93,163577856,1244528640,6442319872
3976,17.2,5059141632,26256531456,76,163577856,1656160256,17102733312,93,163577856,1244528640,6442319872
4080,15.4,5059141632,26256531456,76,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
4191,18.8,5059141632,26256531456,65,163577856,1656160256,17102733312,74,163577856,1244528640,6442319872
4293,17.2,5059141632,26256531456,65,163577856,1656160256,17102733312,74,163577856,1244528640,6442319872
4396,15.1,5059657728,26256531456,72,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
4497,17.7,5059657728,26256531456,72,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
4599,15.2,5060689920,26256531456,74,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
4702,17.6,5060689920,26256531456,74,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
4805,16.6,5061337088,26256531456,71,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
4909,17.6,5061853184,26256531456,71,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5013,14.1,5061853184,26256531456,71,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5116,18.1,5061853184,26256531456,71,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5221,17.5,5061853184,26256531456,77,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5325,19.0,5062369280,26256531456,79,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5429,18.0,5062369280,26256531456,79,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5533,16.4,5062627328,26256531456,81,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5638,21.9,5063659520,26256531456,81,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5740,17.9,5063659520,26256531456,78,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
5842,17.0,5063659520,26256531456,78,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
5944,14.9,5063659520,26256531456,80,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
6047,16.4,5063659520,26256531456,80,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
6151,18.5,5063659520,26256531456,82,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
6255,18.6,5063659520,26256531456,82,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
6360,17.4,5063659520,26256531456,79,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
6466,16.1,5063659520,26256531456,79,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
6571,15.8,5063659520,26256531456,80,163577856,1656160256,17102733312,90,163577856,1244528640,6442319872
6677,20.5,5064691712,26256531456,80,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
6785,14.5,5064691712,26256531456,80,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
6891,17.4,5065207808,26256531456,80,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
6994,16.3,5065465856,26256531456,73,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
7097,6.7,5065465856,26256531456,73,163577856,1656160256,17102733312,89,163577856,1244528640,6442319872
7200,9.7,5054656512,26256531456,1,163577856,1656160256,17102733312,91,163577856,1244528640,6442319872
7304,8.4,5052047360,26256531456,1,163577856,1656160256,17102733312,91,163577856,1244528640,6442319872
