elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2278957056,26256531456,1,0,1299644416,17102733312,0,48234496,1064173568,6442319872
102,6.8,2304626688,26256531456,0,0,1299644416,17102733312,0,48234496,1064173568,6442319872
204,2.4,2314825728,26256531456,0,0,1299644416,17102733312,0,48234496,1064173568,6442319872
306,4.9,2339196928,26256531456,1,0,1299644416,17102733312,0,48234496,1064173568,6442319872
408,8.4,2420670464,26256531456,1,0,1299644416,17102733312,0,69206016,1085145088,6442319872
533,7.5,2524205056,26256531456,1,0,1299644416,17102733312,1,69206016,1085145088,6442319872
639,7.5,2581512192,26256531456,1,0,1299644416,17102733312,1,90177536,1108213760,6442319872
741,9.1,2587267072,26256531456,1,0,1299644416,17102733312,14,92274688,1110310912,6442319872
843,8.5,2586750976,26256531456,1,0,1299644416,17102733312,14,92274688,1110310912,6442319872
944,8.1,2586750976,26256531456,1,0,1299644416,17102733312,86,92274688,1110310912,6442319872
1046,8.1,2586750976,26256531456,1,0,1299644416,17102733312,86,92274688,1110310912,6442319872
1148,6.7,2586750976,26256531456,1,0,1299644416,17102733312,86,92274688,1110310912,6442319872
