elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3220762624,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
105,8.3,3220762624,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
208,6.1,3220762624,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
311,9.1,3281661952,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
414,8.5,3336368128,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
517,8.6,3392106496,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
620,7.3,3448360960,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
724,8.4,3505131520,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
827,7.3,3561385984,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
930,6.7,3617124352,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
1033,9.1,3671830528,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
1136,6.7,3726536704,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
1239,7.9,3778920448,26256531456,1,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
1346,6.5,3810918400,26256531456,0,48234496,1507262464,17102733312,0,46137344,1095630848,6442319872
1499,9.6,3828547584,26256531456,1,48234496,1507262464,17102733312,0,46137344,1097728000,6442319872
1611,13.8,3877224448,26256531456,1,48234496,1524039680,17102733312,0,46137344,1112408064,6442319872
1783,6.2,3932033024,26256531456,1,48234496,1526136832,17102733312,1,46137344,1112408064,6442319872
1885,9.8,4022865920,26256531456,1,48234496,1526136832,17102733312,0,46137344,1112408064,6442319872
1989,6.6,4094861312,26256531456,1,52428800,1530331136,17102733312,0,52428800,1118699520,6442319872
2143,9.0,4220141568,26256531456,2,54525952,1534525440,17102733312,1,54525952,1122893824,6442319872
2248,11.2,4221689856,26256531456,27,75497472,1555496960,17102733312,21,54525952,1122893824,6442319872
2350,9.1,4221689856,26256531456,27,75497472,1555496960,17102733312,21,54525952,1122893824,6442319872
2454,9.1,4221689856,26256531456,31,75497472,1555496960,17102733312,46,54525952,1122893824,6442319872
2557,17.6,4222205952,26256531456,31,75497472,1555496960,17102733312,43,54525952,1122893824,6442319872
2659,17.5,4223737856,26256531456,22,75497472,1555496960,17102733312,43,54525952,1122893824,6442319872
2761,8.6,4223737856,26256531456,22,75497472,1555496960,17102733312,36,54525952,1122893824,6442319872
2864,8.1,4223737856,26256531456,28,75497472,1555496960,17102733312,36,54525952,1122893824,6442319872
2967,7.4,4223737856,26256531456,28,75497472,1555496960,17102733312,42,54525952,1122893824,6442319872
3069,8.7,4223737856,26256531456,30,75497472,1555496960,17102733312,43,54525952,1122893824,6442319872
3172,7.9,4223737856,26256531456,30,75497472,1555496960,17102733312,43,54525952,1122893824,6442319872
3275,9.1,4224512000,26256531456,33,75497472,1555496960,17102733312,44,54525952,1122893824,6442319872
3377,9.8,4224512000,26256531456,33,75497472,1555496960,17102733312,40,54525952,1122893824,6442319872
3480,9.9,4225028096,26256531456,31,75497472,1555496960,17102733312,40,54525952,1124990976,6442319872
3583,11.6,4225286144,26256531456,31,75497472,1555496960,17102733312,34,54525952,1124990976,6442319872
3685,9.7,4225802240,26256531456,28,75497472,1555496960,17102733312,34,54525952,1124990976,6442319872
3790,10.1,4226060288,26256531456,28,90177536,1570177024,17102733312,33,54525952,1124990976,6442319872
3893,7.3,4226060288,26256531456,29,90177536,1570177024,17102733312,32,54525952,1124990976,6442319872
3996,10.2,4226060288,26256531456,29,90177536,1570177024,17102733312,32,54525952,1124990976,6442319872
4099,8.5,4226060288,26256531456,30,90177536,1570177024,17102733312,30,54525952,1124990976,6442319872
4202,8.5,4226060288,26256531456,30,90177536,1570177024,17102733312,30,54525952,1124990976,6442319872
4305,9.6,4226060288,26256531456,31,90177536,1570177024,17102733312,29,54525952,1124990976,6442319872
4408,8.6,4227092480,26256531456,31,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
4511,10.2,4227608576,26256531456,31,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
4614,9.8,4227608576,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
4716,9.3,4227608576,26256531456,30,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
4819,7.3,4227608576,26256531456,30,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
4921,8.7,4227608576,26256531456,34,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
5023,9.0,4227608576,26256531456,34,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
5127,9.6,4227608576,26256531456,33,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
5229,8.6,4227608576,26256531456,33,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
5333,11.3,4227608576,26256531456,33,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
5436,6.8,4227608576,26256531456,33,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
5538,12.6,4228124672,26256531456,32,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
5640,7.4,4228124672,26256531456,32,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
5742,10.9,4228124672,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
5844,6.2,4228124672,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
5946,9.2,4228124672,26256531456,32,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6051,10.1,4228124672,26256531456,32,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6153,8.6,4228124672,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6256,11.4,4228124672,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6358,10.2,4228124672,26256531456,31,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6460,9.8,4228124672,26256531456,32,90177536,1570177024,17102733312,26,54525952,1124990976,6442319872
6562,13.5,4228640768,26256531456,32,90177536,1570177024,17102733312,25,54525952,1124990976,6442319872
6665,9.1,4228640768,26256531456,31,90177536,1570177024,17102733312,25,54525952,1124990976,6442319872
6767,10.3,4228640768,26256531456,31,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
6870,8.6,4228640768,26256531456,32,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
6972,7.4,4228640768,26256531456,32,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
7076,9.0,4228640768,26256531456,33,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
7179,9.1,4228640768,26256531456,33,90177536,1570177024,17102733312,28,54525952,1124990976,6442319872
7281,9.8,4228640768,26256531456,31,90177536,1570177024,17102733312,25,54525952,1124990976,6442319872
7383,8.6,4228640768,26256531456,31,90177536,1570177024,17102733312,25,54525952,1124990976,6442319872
7486,9.1,4228640768,26256531456,32,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
7590,10.2,4229156864,26256531456,32,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
7692,8.0,4229156864,26256531456,33,90177536,1570177024,17102733312,27,54525952,1124990976,6442319872
