elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5302546432,26256531456,0,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
102,8.5,5302546432,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
204,8.0,5302546432,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
306,6.7,5302546432,26256531456,2,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
408,20.9,5303566336,26256531456,2,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
510,9.8,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
613,8.4,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
715,6.8,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
817,8.0,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
919,7.9,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1023,6.1,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1125,9.6,5303566336,26256531456,1,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1227,9.1,5303566336,26256531456,0,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1329,9.2,5303566336,26256531456,0,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1431,10.5,5303566336,26256531456,2,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1533,9.1,5303566336,26256531456,2,52428800,1410793472,17102733312,0,161480704,1194196992,6442319872
1635,11.5,5303820288,26256531456,1,41943040,1400307712,17102733312,0,39845888,1072562176,6442319872
1737,18.7,5304074240,26256531456,1,41943040,1400307712,17102733312,41,39845888,1072562176,6442319872
1840,14.6,5304074240,26256531456,22,41943040,1400307712,17102733312,41,39845888,1072562176,6442319872
1942,34.0,5304848384,26256531456,22,41943040,1400307712,17102733312,78,48234496,1080950784,6442319872
2044,56.2,5304848384,26256531456,18,41943040,1400307712,17102733312,36,71303168,1104019456,6442319872
2146,55.2,5306912768,26256531456,18,41943040,1400307712,17102733312,36,96468992,1129185280,6442319872
2249,53.3,5307428864,26256531456,19,41943040,1400307712,17102733312,36,121634816,1154351104,6442319872
2351,42.2,5307428864,26256531456,19,41943040,1400307712,17102733312,36,138412032,1171128320,6442319872
2453,20.0,5308461056,26256531456,18,41943040,1400307712,17102733312,38,138412032,1171128320,6442319872
2558,14.4,5308461056,26256531456,18,41943040,1400307712,17102733312,45,138412032,1171128320,6442319872
2661,14.7,5308461056,26256531456,21,41943040,1400307712,17102733312,45,138412032,1171128320,6442319872
2767,14.1,5308461056,26256531456,21,41943040,1400307712,17102733312,47,138412032,1171128320,6442319872
2870,16.5,5308977152,26256531456,21,41943040,1400307712,17102733312,42,138412032,1171128320,6442319872
2974,13.9,5308977152,26256531456,21,41943040,1400307712,17102733312,42,138412032,1171128320,6442319872
3079,17.2,5308977152,26256531456,20,41943040,1400307712,17102733312,41,138412032,1171128320,6442319872
3183,15.6,5308977152,26256531456,20,41943040,1400307712,17102733312,41,138412032,1171128320,6442319872
3285,18.5,5309493248,26256531456,21,41943040,1400307712,17102733312,37,138412032,1171128320,6442319872
3388,16.5,5310009344,26256531456,21,41943040,1400307712,17102733312,40,54525952,1087242240,6442319872
3492,36.9,5309894656,26256531456,19,41943040,1400307712,17102733312,40,50331648,1083047936,6442319872
3596,21.2,5309894656,26256531456,19,41943040,1400307712,17102733312,34,52428800,1085145088,6442319872
3699,27.6,5310926848,26256531456,19,41943040,1400307712,17102733312,42,46137344,1078853632,6442319872
3804,21.3,5310926848,26256531456,21,41943040,1400307712,17102733312,42,44040192,1076756480,6442319872
3906,22.8,5310926848,26256531456,21,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
4008,29.7,5310926848,26256531456,16,41943040,1400307712,17102733312,34,50331648,1083047936,6442319872
4110,56.1,5310926848,26256531456,16,41943040,1400307712,17102733312,19,73400320,1106116608,6442319872
4212,57.1,5310554112,26256531456,16,41943040,1400307712,17102733312,28,98566144,1131282432,6442319872
4314,54.3,5310554112,26256531456,16,41943040,1400307712,17102733312,28,121634816,1152253952,6442319872
4417,48.4,5311987712,26256531456,16,41943040,1400307712,17102733312,28,142606336,1175322624,6442319872
4519,51.5,5311987712,26256531456,16,41943040,1400307712,17102733312,28,165675008,1198391296,6442319872
4621,17.5,5311987712,26256531456,19,41943040,1400307712,17102733312,30,165675008,1198391296,6442319872
4726,12.8,5311987712,26256531456,19,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
4830,15.5,5311987712,26256531456,20,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
4933,15.9,5311987712,26256531456,20,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
5036,14.7,5311987712,26256531456,21,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
5139,17.0,5312503808,26256531456,21,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
5241,15.3,5312503808,26256531456,21,41943040,1400307712,17102733312,44,165675008,1198391296,6442319872
5344,18.6,5313019904,26256531456,21,41943040,1400307712,17102733312,44,165675008,1198391296,6442319872
5447,18.8,5313019904,26256531456,18,41943040,1400307712,17102733312,44,165675008,1198391296,6442319872
5553,15.2,5313019904,26256531456,18,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
5656,13.9,5313019904,26256531456,20,41943040,1400307712,17102733312,42,165675008,1198391296,6442319872
5760,16.8,5313019904,26256531456,20,41943040,1400307712,17102733312,43,165675008,1198391296,6442319872
