elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5310861312,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
102,9.7,5310861312,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
204,9.1,5310861312,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
307,11.4,5311893504,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
410,7.3,5311893504,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
512,8.5,5311893504,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
615,10.2,5311893504,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
718,8.5,5312409600,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
820,8.5,5312409600,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
926,10.0,5312409600,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1028,8.0,5312409600,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1131,10.2,5312409600,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1234,9.6,5312409600,26256531456,0,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1336,13.5,5313957888,26256531456,0,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1439,6.7,5313957888,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1542,8.6,5313957888,26256531456,1,52428800,1410793472,17102733312,0,169869312,1202585600,6442319872
1644,11.4,5314985984,26256531456,2,29360128,1387724800,17102733312,0,27262976,1072562176,6442319872
1748,15.7,5317824512,26256531456,2,41943040,1400307712,17102733312,0,39845888,1072562176,6442319872
1850,16.9,5317824512,26256531456,18,41943040,1400307712,17102733312,23,39845888,1072562176,6442319872
1952,48.7,5319372800,26256531456,18,41943040,1400307712,17102733312,33,58720256,1091436544,6442319872
2055,52.8,5319888896,26256531456,18,41943040,1400307712,17102733312,33,81788928,1114505216,6442319872
2158,54.4,5319888896,26256531456,18,41943040,1400307712,17102733312,31,104857600,1137573888,6442319872
2261,52.6,5321695232,26256531456,18,41943040,1400307712,17102733312,31,127926272,1160642560,6442319872
2363,58.6,5321695232,26256531456,18,41943040,1400307712,17102733312,31,153092096,1185808384,6442319872
2467,26.5,5321695232,26256531456,15,41943040,1400307712,17102733312,32,157286400,1190002688,6442319872
2570,17.3,5321695232,26256531456,15,41943040,1400307712,17102733312,32,157286400,1190002688,6442319872
2674,14.5,5321695232,26256531456,20,41943040,1400307712,17102733312,44,157286400,1190002688,6442319872
2778,17.9,5321695232,26256531456,20,41943040,1400307712,17102733312,43,157286400,1190002688,6442319872
2881,14.6,5321695232,26256531456,20,41943040,1400307712,17102733312,43,157286400,1190002688,6442319872
2984,16.6,5322211328,26256531456,20,41943040,1400307712,17102733312,47,157286400,1190002688,6442319872
3087,15.7,5322469376,26256531456,20,41943040,1400307712,17102733312,47,157286400,1190002688,6442319872
3191,17.3,5323501568,26256531456,20,41943040,1400307712,17102733312,45,94371840,1127088128,6442319872
3296,21.6,5326315520,26256531456,15,41943040,1400307712,17102733312,37,94371840,1127088128,6442319872
3399,15.9,5326315520,26256531456,15,41943040,1400307712,17102733312,37,94371840,1127088128,6442319872
3502,16.9,5326831616,26256531456,17,41943040,1400307712,17102733312,44,94371840,1127088128,6442319872
3605,16.4,5326831616,26256531456,17,41943040,1400307712,17102733312,44,94371840,1127088128,6442319872
3707,42.0,5328379904,26256531456,19,41943040,1400307712,17102733312,44,52428800,1085145088,6442319872
3809,17.2,5328379904,26256531456,19,41943040,1400307712,17102733312,30,52428800,1085145088,6442319872
3910,15.4,5328379904,26256531456,19,41943040,1400307712,17102733312,30,52428800,1085145088,6442319872
4013,24.2,5328379904,26256531456,19,41943040,1400307712,17102733312,28,44040192,1076756480,6442319872
4115,52.9,5328379904,26256531456,18,41943040,1400307712,17102733312,31,65011712,1097728000,6442319872
4218,55.2,5328379904,26256531456,19,41943040,1400307712,17102733312,31,88080384,1120796672,6442319872
4321,58.6,5329928192,26256531456,19,41943040,1400307712,17102733312,29,109051904,1141768192,6442319872
4423,55.5,5329928192,26256531456,18,41943040,1400307712,17102733312,29,134217728,1166934016,6442319872
4526,57.1,5330702336,26256531456,18,41943040,1400307712,17102733312,27,161480704,1192099840,6442319872
4629,51.5,5330841600,26256531456,19,41943040,1400307712,17102733312,31,174063616,1206779904,6442319872
4732,16.3,5330841600,26256531456,19,41943040,1400307712,17102733312,31,174063616,1206779904,6442319872
4835,17.0,5331501056,26256531456,22,41943040,1400307712,17102733312,39,174063616,1206779904,6442319872
4941,15.0,5331128320,26256531456,22,41943040,1400307712,17102733312,42,174063616,1206779904,6442319872
5043,13.6,5331128320,26256531456,21,41943040,1400307712,17102733312,42,174063616,1206779904,6442319872
5147,16.9,5330755584,26256531456,21,41943040,1400307712,17102733312,39,174063616,1206779904,6442319872
5251,16.4,5330755584,26256531456,24,41943040,1400307712,17102733312,39,174063616,1206779904,6442319872
5354,16.5,5330755584,26256531456,24,41943040,1400307712,17102733312,42,174063616,1206779904,6442319872
5457,17.5,5308276736,26256531456,21,41943040,1400307712,17102733312,37,174063616,1206779904,6442319872
5560,13.4,5308276736,26256531456,21,41943040,1400307712,17102733312,37,174063616,1206779904,6442319872
5662,13.5,5308276736,26256531456,20,41943040,1400307712,17102733312,43,174063616,1206779904,6442319872
5765,14.6,5308420096,26256531456,20,41943040,1400307712,17102733312,41,174063616,1206779904,6442319872
5869,16.8,5308420096,26256531456,22,41943040,1400307712,17102733312,41,174063616,1206779904,6442319872
5973,14.5,5308047360,26256531456,22,41943040,1400307712,17102733312,35,174063616,1206779904,6442319872
6075,17.8,5308047360,26256531456,21,41943040,1400307712,17102733312,35,174063616,1206779904,6442319872
6181,12.7,5308047360,26256531456,21,41943040,1400307712,17102733312,40,174063616,1206779904,6442319872
6283,10.4,5308563456,26256531456,24,41943040,1400307712,17102733312,9,174063616,1206779904,6442319872
6384,10.2,5308563456,26256531456,24,35651584,1394016256,17102733312,9,33554432,1066270720,6442319872
6486,52.7,5309308928,26256531456,26,41943040,1400307712,17102733312,6,62914560,1095630848,6442319872
6588,52.2,5309566976,26256531456,26,41943040,1400307712,17102733312,6,81788928,1114505216,6442319872
6690,55.8,5310083072,26256531456,19,41943040,1400307712,17102733312,27,104857600,1137573888,6442319872
6793,51.0,5310083072,26256531456,19,41943040,1400307712,17102733312,28,132120576,1164836864,6442319872
6894,56.5,5310083072,26256531456,20,41943040,1400307712,17102733312,28,155189248,1187905536,6442319872
6997,29.2,5309968384,26256531456,20,41943040,1400307712,17102733312,28,163577856,1196294144,6442319872
7101,14.5,5309968384,26256531456,19,41943040,1400307712,17102733312,42,163577856,1196294144,6442319872
7204,13.5,5309968384,26256531456,19,41943040,1400307712,17102733312,42,163577856,1196294144,6442319872
7307,18.2,5310971904,26256531456,21,41943040,1400307712,17102733312,37,163577856,1196294144,6442319872
7409,14.6,5310971904,26256531456,23,41943040,1400307712,17102733312,37,163577856,1196294144,6442319872
7512,14.3,5310943232,26256531456,23,41943040,1400307712,17102733312,42,163577856,1196294144,6442319872
7615,16.3,5310943232,26256531456,23,41943040,1400307712,17102733312,43,163577856,1196294144,6442319872
7716,17.5,5310943232,26256531456,23,41943040,1400307712,17102733312,43,163577856,1196294144,6442319872
7818,16.0,5310943232,26256531456,23,41943040,1400307712,17102733312,30,163577856,1196294144,6442319872
7920,13.6,5310943232,26256531456,23,41943040,1400307712,17102733312,30,163577856,1196294144,6442319872
8022,14.8,5310943232,26256531456,25,41943040,1400307712,17102733312,20,163577856,1196294144,6442319872
8125,14.1,5310570496,26256531456,25,41943040,1400307712,17102733312,28,163577856,1196294144,6442319872
8227,14.0,5310570496,26256531456,26,41943040,1400307712,17102733312,28,163577856,1196294144,6442319872
8333,18.1,5310570496,26256531456,26,41943040,1400307712,17102733312,26,163577856,1196294144,6442319872
8437,14.4,5309816832,26256531456,23,41943040,1400307712,17102733312,41,163577856,1196294144,6442319872
8540,16.4,5309816832,26256531456,23,41943040,1400307712,17102733312,41,163577856,1196294144,6442319872
8641,8.1,5309816832,26256531456,23,41943040,1400307712,17102733312,28,163577856,1196294144,6442319872
8743,9.3,5309816832,26256531456,23,41943040,1400307712,17102733312,28,163577856,1196294144,6442319872
8845,9.9,5309816832,26256531456,27,41943040,1400307712,17102733312,0,163577856,1196294144,6442319872
8946,39.5,5309816832,26256531456,27,41943040,1400307712,17102733312,10,54525952,1087242240,6442319872
9048,56.5,5309816832,26256531456,22,41943040,1400307712,17102733312,10,77594624,1110310912,6442319872
9150,55.5,5310590976,26256531456,22,41943040,1400307712,17102733312,33,102760448,1135476736,6442319872
9252,57.0,5310590976,26256531456,16,41943040,1400307712,17102733312,33,132120576,1164836864,6442319872
9354,55.2,5311619072,26256531456,16,41943040,1400307712,17102733312,30,150994944,1183711232,6442319872
9456,23.6,5311619072,26256531456,18,41943040,1400307712,17102733312,36,159383552,1192099840,6442319872
9559,14.1,5311619072,26256531456,18,41943040,1400307712,17102733312,36,159383552,1192099840,6442319872
9661,13.8,5311619072,26256531456,23,41943040,1400307712,17102733312,41,159383552,1192099840,6442319872
