elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5303316480,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
102,9.1,5303316480,26256531456,2,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
204,7.3,5303316480,26256531456,2,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
306,10.8,5303316480,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
413,8.1,5303316480,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
515,7.4,5303316480,26256531456,2,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
618,6.1,5303316480,26256531456,2,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
720,14.0,5301506048,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
823,7.3,5301506048,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
925,7.4,5301506048,26256531456,3,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1027,10.3,5301506048,26256531456,3,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1130,8.0,5301506048,26256531456,3,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1232,6.7,5301506048,26256531456,3,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1334,8.5,5301506048,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1436,7.4,5301506048,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1538,7.3,5301506048,26256531456,1,52428800,1410793472,17102733312,0,205520896,1238237184,6442319872
1641,10.8,5303046144,26256531456,1,29360128,1387724800,17102733312,0,27262976,1156448256,6442319872
1750,25.0,5308030976,26256531456,5,41943040,1400307712,17102733312,0,39845888,1072562176,6442319872
1852,24.4,5315338240,26256531456,5,41943040,1400307712,17102733312,25,39845888,1072562176,6442319872
1955,20.6,5318864896,26256531456,25,41943040,1400307712,17102733312,25,39845888,1072562176,6442319872
2057,25.6,5309747200,26256531456,25,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
2159,23.5,5304549376,26256531456,20,41943040,1400307712,17102733312,30,39845888,1072562176,6442319872
2262,20.0,5295456256,26256531456,20,41943040,1400307712,17102733312,30,39845888,1072562176,6442319872
2364,21.6,5296746496,26256531456,17,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
2466,21.2,5298118656,26256531456,17,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
2569,22.2,5297614848,26256531456,19,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
2671,21.3,5302177792,26256531456,19,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
2773,22.1,5305532416,26256531456,18,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
2875,21.1,5302239232,26256531456,18,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
2982,24.9,5300977664,26256531456,18,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
3084,20.9,5300854784,26256531456,18,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
3186,22.9,5301743616,26256531456,18,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
3289,20.7,5303521280,26256531456,17,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
3391,22.9,5304152064,26256531456,17,41943040,1400307712,17102733312,35,39845888,1072562176,6442319872
3493,22.0,5302890496,26256531456,18,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
3595,19.9,5303062528,26256531456,18,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
3697,22.0,5304520704,26256531456,17,41943040,1400307712,17102733312,33,39845888,1072562176,6442319872
3800,19.8,5305208832,26256531456,17,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
3902,18.8,5301497856,26256531456,18,41943040,1400307712,17102733312,36,39845888,1072562176,6442319872
4005,22.7,5300695040,26256531456,18,41943040,1400307712,17102733312,33,39845888,1072562176,6442319872
4108,19.8,5300920320,26256531456,18,41943040,1400307712,17102733312,33,39845888,1072562176,6442319872
4212,22.8,5301665792,26256531456,18,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
4314,22.4,5304848384,26256531456,18,41943040,1400307712,17102733312,31,39845888,1072562176,6442319872
4416,21.6,5303402496,26256531456,18,41943040,1400307712,17102733312,31,39845888,1072562176,6442319872
4518,21.3,5302333440,26256531456,18,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
4620,23.8,5301071872,26256531456,18,41943040,1400307712,17102733312,32,39845888,1072562176,6442319872
4723,21.2,5301043200,26256531456,18,41943040,1400307712,17102733312,34,39845888,1072562176,6442319872
4825,20.6,5298851840,26256531456,18,41943040,1400307712,17102733312,31,39845888,1072562176,6442319872
4928,24.1,5300137984,26256531456,16,41943040,1400307712,17102733312,31,39845888,1072562176,6442319872
5032,24.4,5297377280,26256531456,16,41943040,1400307712,17102733312,29,39845888,1072562176,6442319872
