elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
101,7.3,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
203,8.6,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
305,8.0,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
406,8.1,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
508,8.5,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
610,6.2,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
712,9.7,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
814,9.0,7229030400,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
916,8.8,7229546496,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1020,8.3,7229546496,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1123,8.0,7229546496,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1224,8.0,7229272064,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1328,7.3,7229272064,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1430,8.5,7229272064,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1532,7.9,7229272064,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1635,9.1,7229272064,26256531456,1,27262976,1505165312,17102733312,0,23068672,1091436544,6442319872
1810,7.7,7256567808,26256531456,1,27262976,1505165312,17102733312,0,23068672,1093533696,6442319872
1935,18.4,7294730240,26256531456,1,41943040,1536622592,17102733312,0,39845888,1124990976,6442319872
2042,14.0,7294730240,26256531456,15,41943040,1536622592,17102733312,15,39845888,1124990976,6442319872
2145,21.7,7294730240,26256531456,15,41943040,1536622592,17102733312,33,41943040,1127088128,6442319872
2247,54.9,7291842560,26256531456,24,41943040,1536622592,17102733312,33,67108864,1152253952,6442319872
2349,60.5,7291842560,26256531456,24,41943040,1536622592,17102733312,32,94371840,1179516928,6442319872
2451,23.6,7291842560,26256531456,20,41943040,1536622592,17102733312,32,98566144,1183711232,6442319872
2553,14.8,7291842560,26256531456,20,41943040,1536622592,17102733312,44,98566144,1183711232,6442319872
2655,12.4,7292100608,26256531456,21,41943040,1536622592,17102733312,47,98566144,1183711232,6442319872
2760,15.5,7292100608,26256531456,21,41943040,1536622592,17102733312,47,98566144,1183711232,6442319872
2862,14.9,7292616704,26256531456,21,41943040,1536622592,17102733312,50,98566144,1183711232,6442319872
2964,14.3,7292616704,26256531456,21,41943040,1536622592,17102733312,45,98566144,1183711232,6442319872
3066,37.5,7292874752,26256531456,22,41943040,1536622592,17102733312,45,54525952,1139671040,6442319872
3168,41.8,7292874752,26256531456,22,41943040,1536622592,17102733312,33,69206016,1154351104,6442319872
3271,14.7,7292874752,26256531456,23,41943040,1536622592,17102733312,33,69206016,1154351104,6442319872
3374,12.7,7292874752,26256531456,23,41943040,1536622592,17102733312,46,69206016,1154351104,6442319872
3479,21.2,7292874752,26256531456,22,41943040,1536622592,17102733312,45,41943040,1127088128,6442319872
3581,33.9,7292874752,26256531456,22,41943040,1536622592,17102733312,45,50331648,1135476736,6442319872
3686,18.1,7292874752,26256531456,21,41943040,1536622592,17102733312,39,41943040,1124990976,6442319872
3789,23.9,7293263872,26256531456,23,41943040,1536622592,17102733312,28,48234496,1133379584,6442319872
3891,25.6,7293263872,26256531456,23,41943040,1536622592,17102733312,28,39845888,1124990976,6442319872
3994,26.8,7293521920,26256531456,20,39845888,1534525440,17102733312,31,33554432,1118699520,6442319872
4097,10.8,7293521920,26256531456,20,41943040,1536622592,17102733312,31,39845888,1124990976,6442319872
4198,8.7,7293521920,26256531456,25,41943040,1536622592,17102733312,15,39845888,1124990976,6442319872
4300,25.0,7293521920,26256531456,25,41943040,1536622592,17102733312,2,44040192,1129185280,6442319872
4402,55.9,7293521920,26256531456,23,41943040,1536622592,17102733312,2,67108864,1152253952,6442319872
4503,53.4,7293521920,26256531456,23,41943040,1536622592,17102733312,34,92274688,1177419776,6442319872
4605,53.4,7293521920,26256531456,20,41943040,1536622592,17102733312,34,119537664,1204682752,6442319872
4709,54.5,7293521920,26256531456,20,41943040,1536622592,17102733312,31,140509184,1225654272,6442319872
4811,37.0,7293521920,26256531456,20,41943040,1536622592,17102733312,32,155189248,1240334336,6442319872
4913,20.7,7294001152,26256531456,20,41943040,1536622592,17102733312,32,155189248,1240334336,6442319872
5016,16.4,7294001152,26256531456,23,41943040,1536622592,17102733312,34,155189248,1240334336,6442319872
5121,14.3,7294001152,26256531456,23,41943040,1536622592,17102733312,40,155189248,1240334336,6442319872
5223,15.5,7294001152,26256531456,23,41943040,1536622592,17102733312,40,155189248,1240334336,6442319872
5326,16.7,7294001152,26256531456,23,41943040,1536622592,17102733312,45,155189248,1240334336,6442319872
5430,12.9,7294001152,26256531456,23,41943040,1536622592,17102733312,45,155189248,1240334336,6442319872
5532,15.2,7294001152,26256531456,23,41943040,1536622592,17102733312,43,155189248,1240334336,6442319872
5636,13.3,7294001152,26256531456,22,41943040,1536622592,17102733312,44,155189248,1240334336,6442319872
5739,15.4,7294001152,26256531456,22,41943040,1536622592,17102733312,44,155189248,1240334336,6442319872
5843,17.3,7294517248,26256531456,23,41943040,1536622592,17102733312,43,155189248,1240334336,6442319872
5947,17.5,7294517248,26256531456,23,41943040,1536622592,17102733312,39,155189248,1240334336,6442319872
6049,16.7,7294517248,26256531456,23,41943040,1536622592,17102733312,39,155189248,1240334336,6442319872
6151,19.5,7294259200,26256531456,23,41943040,1536622592,17102733312,37,155189248,1240334336,6442319872
6254,11.0,7294259200,26256531456,19,41943040,1536622592,17102733312,37,155189248,1240334336,6442319872
6357,9.8,7294259200,26256531456,22,41943040,1536622592,17102733312,23,155189248,1240334336,6442319872
6459,12.4,7294259200,26256531456,22,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
6560,10.4,7294259200,26256531456,24,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
6662,12.8,7294259200,26256531456,24,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
6765,8.1,7294517248,26256531456,25,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
6867,11.0,7295021056,26256531456,25,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
6969,8.5,7295021056,26256531456,30,41943040,1536622592,17102733312,0,155189248,1240334336,6442319872
7071,22.7,7294763008,26256531456,30,41943040,1536622592,17102733312,0,46137344,1131282432,6442319872
7173,62.9,7294763008,26256531456,22,41943040,1536622592,17102733312,11,71303168,1154351104,6442319872
7276,58.5,7294763008,26256531456,22,41943040,1536622592,17102733312,30,94371840,1179516928,6442319872
7379,54.9,7294763008,26256531456,21,41943040,1536622592,17102733312,30,117440512,1202585600,6442319872
7481,58.7,7294763008,26256531456,21,41943040,1536622592,17102733312,32,138412032,1223557120,6442319872
7583,53.2,7294763008,26256531456,21,41943040,1536622592,17102733312,32,163577856,1248722944,6442319872
7687,25.7,7294763008,26256531456,21,41943040,1536622592,17102733312,29,165675008,1250820096,6442319872
7789,16.5,7296167936,26256531456,21,41943040,1536622592,17102733312,47,165675008,1250820096,6442319872
7893,23.0,7311134720,26256531456,21,41943040,1536622592,17102733312,47,165675008,1250820096,6442319872
7996,16.4,7311134720,26256531456,17,41943040,1536622592,17102733312,42,165675008,1250820096,6442319872
8102,15.9,7311650816,26256531456,17,41943040,1536622592,17102733312,43,165675008,1250820096,6442319872
8204,15.4,7310159872,26256531456,20,41943040,1536622592,17102733312,43,165675008,1250820096,6442319872
8307,16.4,7302332416,26256531456,20,41943040,1536622592,17102733312,40,165675008,1250820096,6442319872
8413,19.4,7300468736,26256531456,20,41943040,1536622592,17102733312,40,165675008,1250820096,6442319872
8518,16.6,7300468736,26256531456,20,41943040,1536622592,17102733312,46,165675008,1250820096,6442319872
8622,16.0,7300096000,26256531456,19,41943040,1536622592,17102733312,40,165675008,1250820096,6442319872
8724,15.0,7300096000,26256531456,19,41943040,1536622592,17102733312,40,165675008,1250820096,6442319872
