elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
103,7.8,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
205,9.0,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
308,8.5,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
411,7.3,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
514,7.3,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
616,9.1,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
719,7.9,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
823,6.7,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
926,7.3,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1028,9.0,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1131,6.7,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1234,7.8,5880287232,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1337,9.7,5880545280,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1440,6.1,5880545280,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1543,10.2,5880057856,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1654,7.3,5880569856,26256531456,1,52428800,1530331136,17102733312,0,180355072,1248722944,6442319872
1810,8.2,5936685056,26256531456,1,52428800,1530331136,17102733312,0,180355072,1250820096,6442319872
1939,10.9,5970370560,26256531456,1,41943040,1536622592,17102733312,3,39845888,1124990976,6442319872
2041,14.2,5970632704,26256531456,13,41943040,1536622592,17102733312,3,39845888,1124990976,6442319872
2144,14.1,5970632704,26256531456,13,41943040,1536622592,17102733312,56,39845888,1124990976,6442319872
2247,15.8,5970632704,26256531456,38,41943040,1536622592,17102733312,68,39845888,1124990976,6442319872
2352,17.8,5971664896,26256531456,43,41943040,1536622592,17102733312,68,39845888,1124990976,6442319872
2455,16.7,5971664896,26256531456,43,41943040,1536622592,17102733312,66,39845888,1124990976,6442319872
2557,15.3,5971664896,26256531456,31,41943040,1536622592,17102733312,66,39845888,1124990976,6442319872
2660,16.9,5971660800,26256531456,31,41943040,1536622592,17102733312,68,39845888,1124990976,6442319872
2762,17.0,5971918848,26256531456,58,41943040,1536622592,17102733312,54,39845888,1124990976,6442319872
2868,16.1,5971918848,26256531456,58,41943040,1536622592,17102733312,54,39845888,1124990976,6442319872
2972,14.7,5971918848,26256531456,62,41943040,1536622592,17102733312,57,39845888,1124990976,6442319872
3074,16.2,5971918848,26256531456,62,41943040,1536622592,17102733312,64,39845888,1124990976,6442319872
3177,17.2,5971918848,26256531456,40,41943040,1536622592,17102733312,64,39845888,1124990976,6442319872
3280,20.8,5972373504,26256531456,40,41943040,1536622592,17102733312,63,39845888,1124990976,6442319872
3382,17.7,5972889600,26256531456,49,41943040,1536622592,17102733312,63,39845888,1124990976,6442319872
3484,18.0,5972889600,26256531456,49,41943040,1536622592,17102733312,61,39845888,1124990976,6442319872
3587,16.9,5972889600,26256531456,59,41943040,1536622592,17102733312,56,39845888,1124990976,6442319872
3690,17.1,5972889600,26256531456,59,41943040,1536622592,17102733312,56,39845888,1124990976,6442319872
3793,15.7,5973147648,26256531456,36,41943040,1536622592,17102733312,66,39845888,1124990976,6442319872
3897,16.4,5973147648,26256531456,36,41943040,1536622592,17102733312,66,39845888,1124990976,6442319872
4000,12.8,5973147648,26256531456,57,41943040,1536622592,17102733312,55,39845888,1124990976,6442319872
4103,10.2,5973143552,26256531456,57,41943040,1536622592,17102733312,17,39845888,1124990976,6442319872
4205,11.8,5973143552,26256531456,31,41943040,1536622592,17102733312,17,39845888,1124990976,6442319872
4307,12.7,5974175744,26256531456,31,41943040,1536622592,17102733312,0,39845888,1124990976,6442319872
4410,48.8,5975465984,26256531456,29,41943040,1536622592,17102733312,23,56623104,1141768192,6442319872
4512,61.2,5975465984,26256531456,29,41943040,1536622592,17102733312,23,77594624,1162739712,6442319872
4614,56.0,5975461888,26256531456,55,41943040,1536622592,17102733312,59,98566144,1183711232,6442319872
4717,55.2,5975977984,26256531456,55,41943040,1536622592,17102733312,59,121634816,1206779904,6442319872
4819,55.6,5975977984,26256531456,51,41943040,1536622592,17102733312,55,144703488,1229848576,6442319872
4922,47.1,5975977984,26256531456,51,41943040,1536622592,17102733312,59,167772160,1252917248,6442319872
5025,14.3,5975973888,26256531456,48,41943040,1536622592,17102733312,59,167772160,1252917248,6442319872
5129,16.2,5975973888,26256531456,48,41943040,1536622592,17102733312,68,167772160,1252917248,6442319872
5232,16.4,5975973888,26256531456,42,41943040,1536622592,17102733312,68,167772160,1252917248,6442319872
5334,17.8,5976489984,26256531456,42,41943040,1536622592,17102733312,71,167772160,1252917248,6442319872
5438,18.9,5977251840,26256531456,40,41943040,1536622592,17102733312,61,167772160,1252917248,6442319872
5540,16.0,5977251840,26256531456,40,41943040,1536622592,17102733312,61,167772160,1252917248,6442319872
5642,13.1,5977251840,26256531456,52,41943040,1536622592,17102733312,51,167772160,1252917248,6442319872
5744,17.0,5977251840,26256531456,52,41943040,1536622592,17102733312,51,167772160,1252917248,6442319872
5846,15.1,5977546752,26256531456,65,41943040,1536622592,17102733312,50,167772160,1252917248,6442319872
5951,14.5,5977546752,26256531456,56,41943040,1536622592,17102733312,50,167772160,1252917248,6442319872
6053,14.7,5977546752,26256531456,56,41943040,1536622592,17102733312,50,167772160,1252917248,6442319872
6155,15.5,5977546752,26256531456,56,41943040,1536622592,17102733312,48,167772160,1252917248,6442319872
6257,16.3,5977546752,26256531456,56,41943040,1536622592,17102733312,59,167772160,1252917248,6442319872
6359,21.2,5978320896,26256531456,41,41943040,1536622592,17102733312,59,167772160,1252917248,6442319872
6465,15.7,5978578944,26256531456,41,41943040,1536622592,17102733312,66,167772160,1252917248,6442319872
6567,17.1,5978828800,26256531456,37,41943040,1536622592,17102733312,66,167772160,1252917248,6442319872
6669,20.0,5978828800,26256531456,37,41943040,1536622592,17102733312,65,41943040,1127088128,6442319872
6773,52.1,5978828800,26256531456,54,41943040,1536622592,17102733312,44,62914560,1148059648,6442319872
6876,50.6,5979086848,26256531456,54,41943040,1536622592,17102733312,44,83886080,1169031168,6442319872
6978,57.7,5979086848,26256531456,44,41943040,1536622592,17102733312,57,109051904,1194196992,6442319872
7080,60.4,5979086848,26256531456,44,41943040,1536622592,17102733312,57,138412032,1223557120,6442319872
7185,55.6,5979082752,26256531456,44,41943040,1536622592,17102733312,57,165675008,1248722944,6442319872
7288,31.5,5979594752,26256531456,44,41943040,1536622592,17102733312,55,171966464,1257111552,6442319872
7391,16.1,5979578368,26256531456,48,41943040,1536622592,17102733312,55,171966464,1257111552,6442319872
7493,15.9,5979578368,26256531456,48,41943040,1536622592,17102733312,77,171966464,1257111552,6442319872
7596,13.5,5979832320,26256531456,46,41943040,1536622592,17102733312,73,171966464,1257111552,6442319872
7699,14.8,5979832320,26256531456,46,41943040,1536622592,17102733312,73,171966464,1257111552,6442319872
7802,17.5,5979832320,26256531456,48,41943040,1536622592,17102733312,73,171966464,1257111552,6442319872
7905,18.1,5979832320,26256531456,48,41943040,1536622592,17102733312,73,171966464,1257111552,6442319872
8008,15.9,5979828224,26256531456,44,41943040,1536622592,17102733312,74,171966464,1257111552,6442319872
8112,15.9,5979824128,26256531456,44,41943040,1536622592,17102733312,69,171966464,1257111552,6442319872
8215,14.8,5979815936,26256531456,46,41943040,1536622592,17102733312,69,171966464,1257111552,6442319872
8318,17.7,5979815936,26256531456,46,41943040,1536622592,17102733312,70,171966464,1257111552,6442319872
8420,15.4,5979815936,26256531456,48,41943040,1536622592,17102733312,70,171966464,1257111552,6442319872
8524,15.2,5979811840,26256531456,48,41943040,1536622592,17102733312,72,171966464,1257111552,6442319872
8627,15.9,5979811840,26256531456,52,41943040,1536622592,17102733312,67,171966464,1257111552,6442319872
