elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
102,8.5,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
204,8.0,5008674816,26256531456,3,236978176,1582759936,17102733312,0,0,988676096,6442319872
307,8.0,5008674816,26256531456,3,236978176,1582759936,17102733312,0,0,988676096,6442319872
409,9.1,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
512,8.5,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
614,9.8,5008674816,26256531456,2,236978176,1582759936,17102733312,0,0,988676096,6442319872
716,9.7,5008674816,26256531456,2,236978176,1582759936,17102733312,0,0,988676096,6442319872
819,6.7,5008674816,26256531456,2,236978176,1582759936,17102733312,0,0,988676096,6442319872
921,7.4,5008674816,26256531456,2,236978176,1582759936,17102733312,0,0,988676096,6442319872
1023,6.7,5008674816,26256531456,0,236978176,1582759936,17102733312,0,0,988676096,6442319872
1125,9.6,5008674816,26256531456,0,236978176,1582759936,17102733312,0,0,988676096,6442319872
1228,6.8,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1330,11.4,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1432,7.4,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1534,11.4,5008674816,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1636,9.8,5009190912,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1738,7.3,5009190912,26256531456,1,236978176,1582759936,17102733312,0,0,988676096,6442319872
1840,9.7,5009190912,26256531456,29,236978176,1582759936,17102733312,0,0,988676096,6442319872
1942,9.1,5009190912,26256531456,29,236978176,1582759936,17102733312,0,0,988676096,6442319872
2044,7.4,5009190912,26256531456,30,236978176,1582759936,17102733312,0,0,988676096,6442319872
2145,9.1,5009190912,26256531456,30,236978176,1582759936,17102733312,0,0,988676096,6442319872
2247,10.2,5009190912,26256531456,29,236978176,1582759936,17102733312,0,0,988676096,6442319872
2349,7.9,5009190912,26256531456,29,236978176,1582759936,17102733312,0,0,988676096,6442319872
2451,8.5,5009190912,26256531456,28,236978176,1582759936,17102733312,0,0,988676096,6442319872
2553,9.7,5009190912,26256531456,28,236978176,1582759936,17102733312,0,0,988676096,6442319872
2656,10.2,5009707008,26256531456,28,236978176,1582759936,17102733312,0,0,988676096,6442319872
2758,8.5,5009707008,26256531456,28,236978176,1582759936,17102733312,0,0,988676096,6442319872
2860,8.0,5009707008,26256531456,30,236978176,1582759936,17102733312,0,0,988676096,6442319872
