elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4762415104,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
102,7.4,4762415104,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
204,8.0,4762415104,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
306,7.3,4762415104,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
408,8.0,4762415104,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
510,13.2,4762931200,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
612,7.4,4762931200,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
714,8.0,4762931200,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
817,6.8,4762931200,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
998,9.1,4764413952,26256531456,1,243269632,1708589056,17102733312,0,157286400,1213071360,6442319872
1104,14.6,4805038080,26256531456,1,243269632,1725366272,17102733312,0,157286400,1227751424,6442319872
1209,11.9,4805296128,26256531456,1,243269632,1725366272,17102733312,18,157286400,1227751424,6442319872
1311,9.9,4805296128,26256531456,27,243269632,1725366272,17102733312,18,157286400,1227751424,6442319872
1412,8.6,4805296128,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
1516,12.6,4805812224,26256531456,25,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
1619,11.4,4805812224,26256531456,25,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
1721,8.7,4805812224,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
1822,8.1,4805812224,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
1924,12.0,4805812224,26256531456,24,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
2026,8.6,4805812224,26256531456,24,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
2128,8.6,4805812224,26256531456,24,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
2230,10.3,4805812224,26256531456,24,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
2332,9.3,4805812224,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
2434,11.0,4806324224,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
2536,10.4,4806324224,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
2638,8.6,4806324224,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
2740,8.1,4806324224,26256531456,25,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
2842,9.6,4806324224,26256531456,25,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
2944,11.0,4806324224,26256531456,24,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
3049,9.6,4806324224,26256531456,24,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
3150,12.0,4806324224,26256531456,26,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
3253,9.8,4806324224,26256531456,25,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
3356,9.8,4806324224,26256531456,25,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
3458,11.4,4807356416,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
3559,9.9,4807356416,26256531456,26,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
3662,11.3,4807356416,26256531456,26,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
3764,9.9,4807356416,26256531456,26,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
3865,12.0,4807356416,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
3967,8.6,4807356416,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
4069,12.7,4807356416,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4171,9.7,4807356416,26256531456,26,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
4273,11.4,4807356416,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
4375,11.1,4807356416,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4477,14.4,4808388608,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4581,12.9,4808376320,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
4683,11.7,4808376320,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4786,11.0,4808376320,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4889,11.4,4808376320,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
4991,10.5,4808376320,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
5093,14.1,4808376320,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
5195,13.3,4808376320,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
5296,9.9,4808892416,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
5398,13.3,4808892416,26256531456,26,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
5502,11.0,4811186176,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
5603,8.6,4811186176,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
5705,9.3,4811186176,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
5807,7.5,4811186176,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
5909,8.1,4811186176,26256531456,28,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
6011,11.6,4811186176,26256531456,28,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6113,11.0,4811186176,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6215,11.7,4811444224,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6317,12.2,4811444224,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6419,16.2,4812476416,26256531456,27,243269632,1725366272,17102733312,30,157286400,1227751424,6442319872
6521,11.0,4812734464,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6623,9.9,4812476416,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6725,9.8,4812476416,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6829,11.4,4812476416,26256531456,27,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
6932,10.3,4812476416,26256531456,26,243269632,1725366272,17102733312,31,157286400,1227751424,6442319872
7035,10.9,4812218368,26256531456,28,243269632,1725366272,17102733312,34,157286400,1227751424,6442319872
7137,10.5,4812218368,26256531456,28,243269632,1725366272,17102733312,34,157286400,1227751424,6442319872
7239,17.0,4812734464,26256531456,25,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
7341,13.3,4813221888,26256531456,25,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
7445,12.6,4814254080,26256531456,27,243269632,1725366272,17102733312,29,157286400,1227751424,6442319872
7547,8.6,4814254080,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
7649,9.8,4814254080,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
7755,8.4,4814254080,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
7857,9.8,4814512128,26256531456,28,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
7959,8.6,4814512128,26256531456,28,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
8062,9.3,4814512128,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
8165,10.9,4814512128,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
8267,8.8,4814512128,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
8369,11.5,4814770176,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
8472,14.3,4815802368,26256531456,27,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
8576,9.8,4815802368,26256531456,27,243269632,1725366272,17102733312,32,157286400,1227751424,6442319872
8677,11.0,4815802368,26256531456,28,243269632,1725366272,17102733312,34,157286400,1227751424,6442319872
8779,10.5,4816060416,26256531456,28,243269632,1725366272,17102733312,34,157286400,1227751424,6442319872
8881,11.0,4816060416,26256531456,28,243269632,1725366272,17102733312,33,157286400,1227751424,6442319872
