elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1763409920,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
412,10.6,2062094336,26256531456,4,0,1299644416,17102733312,3,0,988676096,6442319872
514,7.9,2092544000,26256531456,1,0,1299644416,17102733312,1,0,988676096,6442319872
616,8.0,2120413184,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
718,7.4,2151378944,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
820,6.8,2183376896,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
922,6.8,2215374848,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
1024,7.9,2246856704,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
1127,6.8,2276790272,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1229,7.4,2358837248,26256531456,1,2097152,1324810240,17102733312,0,2097152,999161856,6442319872
1331,11.0,2458734592,26256531456,2,23068672,1368850432,17102733312,1,23068672,1043202048,6442319872
1458,10.8,2651353088,26256531456,2,23068672,1368850432,17102733312,1,23068672,1051590656,6442319872
1574,16.0,2664513536,26256531456,1,23068672,1377239040,17102733312,1,23068672,1051590656,6442319872
1677,18.9,2664771584,26256531456,9,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
1779,13.6,2664771584,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
1881,17.0,2664771584,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
1983,15.2,2664771584,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2085,16.0,2664771584,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2186,14.7,2664771584,26256531456,9,23068672,1377239040,17102733312,8,23068672,1051590656,6442319872
2288,14.7,2664771584,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2390,15.4,2664771584,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2492,13.5,2664771584,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2594,13.6,2666565632,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2695,17.6,2666795008,26256531456,9,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
2798,14.3,2666795008,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2899,18.5,2666795008,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3003,20.0,2667053056,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3105,12.4,2667053056,26256531456,10,23068672,1377239040,17102733312,8,23068672,1051590656,6442319872
3207,14.6,2667053056,26256531456,10,23068672,1377239040,17102733312,8,23068672,1051590656,6442319872
3310,17.8,2667053056,26256531456,8,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3413,14.2,2667053056,26256531456,8,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3515,13.5,2667053056,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3617,17.2,2667569152,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3720,10.0,2667569152,26256531456,8,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3822,15.2,2667569152,26256531456,8,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
3925,12.5,2667565056,26256531456,7,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
4027,15.9,2667565056,26256531456,7,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
4130,13.4,2667565056,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
4232,13.0,2667565056,26256531456,10,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
4335,7.3,2664210432,26256531456,6,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
