elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1764225024,26256531456,4,0,1299644416,17102733312,0,0,988676096,6442319872
413,10.4,2068307968,26256531456,7,0,1299644416,17102733312,4,0,988676096,6442319872
515,7.9,2100822016,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
617,6.2,2132303872,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
718,8.5,2163785728,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
820,6.8,2199588864,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
924,7.8,2228039680,26256531456,0,0,1299644416,17102733312,0,0,988676096,6442319872
1026,9.1,2260553728,26256531456,0,0,1299644416,17102733312,0,0,988676096,6442319872
1128,7.3,2296680448,26256531456,1,2097152,1324810240,17102733312,0,0,988676096,6442319872
1234,8.3,2374426624,26256531456,1,2097152,1337393152,17102733312,0,2097152,1011744768,6442319872
1348,7.6,2477846528,26256531456,2,23068672,1368850432,17102733312,2,23068672,1043202048,6442319872
1450,12.7,2573582336,26256531456,1,23068672,1368850432,17102733312,2,23068672,1043202048,6442319872
1553,12.4,2664415232,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1655,17.3,2670825472,26256531456,5,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1757,13.7,2670825472,26256531456,5,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
1858,14.8,2670825472,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
1960,14.2,2670825472,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2062,14.9,2670825472,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2163,14.7,2670825472,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2265,16.2,2670825472,26256531456,9,23068672,1377239040,17102733312,9,23068672,1051590656,6442319872
2367,17.5,2670825472,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2469,15.7,2670825472,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2570,14.8,2673405952,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2672,15.6,2673405952,26256531456,10,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
2773,14.3,2673405952,26256531456,10,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
2875,17.6,2674053120,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
2976,14.2,2674053120,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3078,14.5,2675343360,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3180,15.7,2675343360,26256531456,10,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
3281,15.9,2675343360,26256531456,10,23068672,1377239040,17102733312,7,23068672,1051590656,6442319872
3383,15.8,2675343360,26256531456,10,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3485,16.4,2675343360,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3587,16.2,2675343360,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3689,16.4,2675343360,26256531456,11,23068672,1377239040,17102733312,8,23068672,1051590656,6442319872
3790,16.9,2675343360,26256531456,11,23068672,1377239040,17102733312,8,23068672,1051590656,6442319872
3892,17.2,2675343360,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
3993,16.2,2671616000,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
4095,8.0,2671472640,26256531456,9,23068672,1377239040,17102733312,10,23068672,1051590656,6442319872
