elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1766215680,26256531456,5,0,1299644416,17102733312,0,0,988676096,6442319872
447,12.5,2052562944,26256531456,2,0,1299644416,17102733312,6,0,988676096,6442319872
549,9.3,2080174080,26256531456,2,0,1299644416,17102733312,6,0,988676096,6442319872
651,7.5,2108043264,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
752,8.6,2135396352,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
855,7.4,2162814976,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
957,9.2,2190168064,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
1059,7.4,2217521152,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
1161,8.0,2244358144,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
1263,6.8,2272227328,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1365,13.1,2335965184,26256531456,1,2097152,1324810240,17102733312,0,2097152,999161856,6442319872
1470,9.6,2403446784,26256531456,3,2097152,1339490304,17102733312,1,2097152,1011744768,6442319872
1573,9.0,2466611200,26256531456,3,23068672,1368850432,17102733312,1,23068672,1043202048,6442319872
1675,12.2,2562650112,26256531456,2,23068672,1368850432,17102733312,1,23068672,1043202048,6442319872
1798,13.9,2667540480,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1900,15.2,2669088768,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2002,10.1,2669490176,26256531456,5,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
2103,14.3,2669490176,26256531456,5,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
2205,14.8,2669260800,26256531456,6,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
2307,14.1,2670002176,26256531456,6,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
2409,13.0,2670489600,26256531456,6,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
2511,13.9,2671005696,26256531456,6,23068672,1377239040,17102733312,5,23068672,1051590656,6442319872
