elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3143196672,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
433,11.1,3433472000,26256531456,2,0,1299644416,17102733312,17,0,988676096,6442319872
535,8.4,3460825088,26256531456,2,0,1299644416,17102733312,0,0,988676096,6442319872
637,9.1,3488178176,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
740,6.7,3515531264,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
842,9.2,3542884352,26256531456,6,0,1299644416,17102733312,0,0,988676096,6442319872
944,7.4,3570237440,26256531456,6,0,1299644416,17102733312,0,0,988676096,6442319872
1046,8.0,3596558336,26256531456,9,0,1299644416,17102733312,0,0,988676096,6442319872
1148,6.7,3623395328,26256531456,9,0,1299644416,17102733312,0,0,988676096,6442319872
1250,8.0,3650232320,26256531456,6,0,1299644416,17102733312,0,0,988676096,6442319872
1352,7.9,3724894208,26256531456,1,2097152,1324810240,17102733312,0,2097152,999161856,6442319872
1459,12.8,3810406400,26256531456,1,2097152,1410793472,17102733312,0,2097152,1032716288,6442319872
2081,11.8,4196790272,26256531456,12,2097152,1412890624,17102733312,6,2097152,1032716288,6442319872
2183,5.1,4195999744,26256531456,1,2097152,1412890624,17102733312,0,2097152,1034813440,6442319872
2290,10.7,4282994688,26256531456,1,23068672,1473708032,17102733312,0,23068672,1093533696,6442319872
2392,11.0,4389335040,26256531456,2,23068672,1473708032,17102733312,1,23068672,1093533696,6442319872
2515,15.3,4498489344,26256531456,2,23068672,1482096640,17102733312,0,23068672,1101922304,6442319872
2616,21.1,4543361024,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
2718,13.7,4543361024,26256531456,1,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
2820,18.2,4543361024,26256531456,10,23068672,1511456768,17102733312,14,23068672,1101922304,6442319872
2922,15.2,4543619072,26256531456,10,23068672,1511456768,17102733312,14,23068672,1101922304,6442319872
3024,14.5,4543848448,26256531456,10,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
3126,14.8,4546166784,26256531456,10,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
3228,14.5,4546166784,26256531456,11,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3329,14.1,4546158592,26256531456,11,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3431,18.1,4546158592,26256531456,12,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3533,19.5,4551835648,26256531456,12,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
3635,18.3,4556480512,26256531456,11,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
3737,14.6,4556476416,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
3839,16.7,4556476416,26256531456,10,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
3941,13.6,4554240000,26256531456,12,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
4043,19.9,4554240000,26256531456,12,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4144,12.8,4554240000,26256531456,7,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4246,11.5,4555272192,26256531456,7,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
4348,14.9,4555272192,26256531456,7,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4450,14.6,4555264000,26256531456,7,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4552,19.4,4553170944,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4654,15.3,4553170944,26256531456,10,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4756,12.3,4553166848,26256531456,10,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4857,18.9,4551675904,26256531456,10,23068672,1511456768,17102733312,12,23068672,1101922304,6442319872
4960,17.2,4551675904,26256531456,9,23068672,1511456768,17102733312,12,23068672,1101922304,6442319872
5062,13.0,4551675904,26256531456,9,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
5164,17.1,4551933952,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
5266,14.7,4551933952,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
5367,9.2,4551933952,26256531456,8,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
5470,1.2,4551933952,26256531456,8,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
5572,5.5,4552192000,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5673,1.2,4552192000,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5775,1.2,4551819264,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5878,8.3,4512194560,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
