elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1748242432,26256531456,3,0,1299644416,17102733312,0,0,988676096,6442319872
400,10.5,2041081856,26256531456,1,0,1299644416,17102733312,6,0,988676096,6442319872
502,7.5,2070499328,26256531456,1,0,1299644416,17102733312,6,0,988676096,6442319872
604,6.8,2096304128,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
705,10.2,2125721600,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
807,5.6,2158235648,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
909,8.6,2187653120,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1011,7.4,2213974016,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1112,7.9,2239778816,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1214,8.6,2267131904,26256531456,0,2097152,1324810240,17102733312,0,0,988676096,6442319872
1330,7.6,2363473920,26256531456,0,2097152,1410793472,17102733312,0,2097152,1032716288,6442319872
2117,12.8,2807685120,26256531456,7,2097152,1412890624,17102733312,6,2097152,1032716288,6442319872
2219,9.3,2806091776,26256531456,1,2097152,1412890624,17102733312,0,2097152,1034813440,6442319872
2331,11.6,2867687424,26256531456,1,23068672,1473708032,17102733312,0,23068672,1093533696,6442319872
2433,11.0,2959634432,26256531456,1,23068672,1473708032,17102733312,1,23068672,1093533696,6442319872
2597,13.4,3087110144,26256531456,1,23068672,1482096640,17102733312,0,23068672,1101922304,6442319872
2726,15.2,3147161600,26256531456,1,23068672,1511456768,17102733312,4,23068672,1101922304,6442319872
2827,13.2,3150516224,26256531456,6,23068672,1511456768,17102733312,4,23068672,1101922304,6442319872
2929,13.6,3150516224,26256531456,6,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
3030,13.8,3150516224,26256531456,9,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3132,14.1,3151806464,26256531456,9,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3234,16.0,3152322560,26256531456,9,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
3336,13.1,3152322560,26256531456,9,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
3437,17.0,3153326080,26256531456,9,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3539,16.6,3156680704,26256531456,9,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3641,15.9,3156680704,26256531456,10,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
3742,11.7,3157712896,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
3844,14.9,3157712896,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
3945,14.7,3157712896,26256531456,10,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4047,16.0,3157712896,26256531456,11,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4149,13.5,3157708800,26256531456,11,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4250,15.2,3158999040,26256531456,10,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4352,13.2,3158999040,26256531456,11,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4454,19.6,3159515136,26256531456,11,23068672,1511456768,17102733312,10,23068672,1101922304,6442319872
4556,17.5,3161268224,26256531456,13,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
4658,16.5,3161538560,26256531456,13,23068672,1511456768,17102733312,9,23068672,1101922304,6442319872
4760,12.0,3161796608,26256531456,8,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4862,19.0,3163832320,26256531456,8,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
4964,15.0,3163791360,26256531456,9,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
5066,14.7,3163983872,26256531456,9,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
5167,17.7,3163983872,26256531456,12,23068672,1511456768,17102733312,13,23068672,1101922304,6442319872
5269,14.8,3163983872,26256531456,12,23068672,1511456768,17102733312,11,23068672,1101922304,6442319872
5371,4.9,3163983872,26256531456,10,23068672,1511456768,17102733312,7,23068672,1101922304,6442319872
5473,9.1,3163979776,26256531456,10,23068672,1511456768,17102733312,7,23068672,1101922304,6442319872
5575,0.6,3163205632,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5678,1.8,3163205632,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5783,4.2,3163205632,26256531456,2,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5886,8.4,3119984640,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
