elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1734410240,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
407,11.7,2015059968,26256531456,1,0,1299644416,17102733312,9,0,988676096,6442319872
509,6.7,2040864768,26256531456,1,0,1299644416,17102733312,1,0,988676096,6442319872
612,9.1,2067701760,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
714,7.9,2092990464,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
816,7.4,2117246976,26256531456,0,0,1299644416,17102733312,0,0,988676096,6442319872
918,9.0,2144083968,26256531456,0,0,1299644416,17102733312,0,0,988676096,6442319872
1020,7.9,2169888768,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1123,8.4,2197241856,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1225,9.6,2223562752,26256531456,1,0,1299644416,17102733312,0,0,988676096,6442319872
1327,6.7,2250399744,26256531456,1,2097152,1301741568,17102733312,0,0,988676096,6442319872
1449,10.1,2324774912,26256531456,1,2097152,1324810240,17102733312,1,2097152,999161856,6442319872
1551,15.9,2408579072,26256531456,1,2097152,1410793472,17102733312,0,2097152,1032716288,6442319872
2232,10.8,2784780288,26256531456,2,2097152,1412890624,17102733312,6,2097152,1032716288,6442319872
2333,6.3,2790141952,26256531456,2,2097152,1412890624,17102733312,0,2097152,1034813440,6442319872
2447,11.7,2867888128,26256531456,1,23068672,1473708032,17102733312,1,23068672,1093533696,6442319872
2549,9.9,2964480000,26256531456,1,23068672,1473708032,17102733312,1,23068672,1093533696,6442319872
2693,13.9,3088859136,26256531456,2,23068672,1482096640,17102733312,0,23068672,1101922304,6442319872
2806,16.9,3131850752,26256531456,5,23068672,1511456768,17102733312,5,23068672,1101922304,6442319872
2908,17.0,3131850752,26256531456,5,23068672,1511456768,17102733312,5,23068672,1101922304,6442319872
3010,15.1,3131850752,26256531456,31,23068672,1511456768,17102733312,32,23068672,1101922304,6442319872
3113,20.8,3131850752,26256531456,31,23068672,1511456768,17102733312,30,23068672,1101922304,6442319872
3215,15.6,3131850752,26256531456,30,23068672,1511456768,17102733312,30,23068672,1101922304,6442319872
3317,19.2,3137265664,26256531456,30,23068672,1511456768,17102733312,32,23068672,1101922304,6442319872
3419,16.9,3137265664,26256531456,28,23068672,1511456768,17102733312,32,23068672,1101922304,6442319872
3521,16.9,3137265664,26256531456,28,23068672,1511456768,17102733312,30,23068672,1101922304,6442319872
3623,18.6,3137265664,26256531456,33,23068672,1511456768,17102733312,31,23068672,1101922304,6442319872
3725,16.7,3137265664,26256531456,33,23068672,1511456768,17102733312,31,23068672,1101922304,6442319872
3827,18.2,3137265664,26256531456,30,23068672,1511456768,17102733312,32,23068672,1101922304,6442319872
3929,16.2,3140349952,26256531456,30,23068672,1511456768,17102733312,32,23068672,1101922304,6442319872
4031,18.1,3140349952,26256531456,31,23068672,1511456768,17102733312,31,23068672,1101922304,6442319872
4133,15.4,3140349952,26256531456,31,23068672,1511456768,17102733312,36,23068672,1101922304,6442319872
4235,16.8,3140349952,26256531456,29,23068672,1511456768,17102733312,36,23068672,1101922304,6442319872
4337,16.2,3140349952,26256531456,29,23068672,1511456768,17102733312,33,23068672,1101922304,6442319872
4438,13.7,3140349952,26256531456,17,23068672,1511456768,17102733312,17,23068672,1101922304,6442319872
4540,18.9,3140349952,26256531456,17,23068672,1511456768,17102733312,17,23068672,1101922304,6442319872
4643,16.9,3140349952,26256531456,19,23068672,1511456768,17102733312,31,23068672,1101922304,6442319872
4745,17.7,3140349952,26256531456,19,23068672,1511456768,17102733312,31,23068672,1101922304,6442319872
4847,17.6,3140349952,26256531456,30,23068672,1511456768,17102733312,34,23068672,1101922304,6442319872
4949,17.7,3140349952,26256531456,30,23068672,1511456768,17102733312,33,23068672,1101922304,6442319872
5051,14.8,3140349952,26256531456,29,23068672,1511456768,17102733312,33,23068672,1101922304,6442319872
5152,17.7,3140349952,26256531456,29,23068672,1511456768,17102733312,25,23068672,1101922304,6442319872
5255,16.9,3140349952,26256531456,31,23068672,1511456768,17102733312,25,23068672,1101922304,6442319872
5357,17.7,3140349952,26256531456,31,23068672,1511456768,17102733312,33,23068672,1101922304,6442319872
5459,18.8,3140349952,26256531456,27,23068672,1511456768,17102733312,35,23068672,1101922304,6442319872
5560,11.7,3140349952,26256531456,27,23068672,1511456768,17102733312,35,23068672,1101922304,6442319872
5663,6.0,3140349952,26256531456,17,23068672,1511456768,17102733312,14,23068672,1101922304,6442319872
5766,1.2,3140341760,26256531456,17,23068672,1511456768,17102733312,14,23068672,1101922304,6442319872
5868,1.2,3140329472,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
5971,2.4,3140329472,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
6073,0.6,3133247488,26256531456,1,23068672,1511456768,17102733312,0,23068672,1101922304,6442319872
6175,7.9,3100241920,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
