elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,1842954240,26256531456,0,0,1299644416,17102733312,0,0,988676096,6442319872
409,12.5,2212741120,26256531456,3,2097152,1410793472,17102733312,1,2097152,1032716288,6442319872
1088,11.2,2645618688,26256531456,7,2097152,1412890624,17102733312,5,2097152,1032716288,6442319872
1190,8.9,2644619264,26256531456,1,2097152,1412890624,17102733312,5,2097152,1034813440,6442319872
1296,12.8,2714972160,26256531456,1,2097152,1459027968,17102733312,0,2097152,1049493504,6442319872
1398,10.2,2808844288,26256531456,2,23068672,1490485248,17102733312,3,2097152,1049493504,6442319872
1500,6.8,2902884352,26256531456,2,23068672,1490485248,17102733312,3,23068672,1080950784,6442319872
1641,8.9,3031134208,26256531456,1,23068672,1498873856,17102733312,1,23068672,1089339392,6442319872
1743,8.0,3031392256,26256531456,4,23068672,1498873856,17102733312,4,23068672,1089339392,6442319872
1844,9.3,3031392256,26256531456,4,23068672,1498873856,17102733312,4,23068672,1089339392,6442319872
1946,6.8,3031908352,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
2048,9.8,3031908352,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
2150,9.8,3032940544,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
2252,6.9,3032940544,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
2353,7.4,3032940544,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
2455,8.0,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
2557,8.6,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
2659,8.1,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
2760,8.0,3033456640,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
2862,9.7,3033456640,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
2964,7.5,3033456640,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
3066,10.4,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3168,11.6,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3270,10.3,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3371,9.1,3033456640,26256531456,8,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3473,7.5,3033456640,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
3575,7.4,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3676,10.2,3033456640,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3779,8.6,3033714688,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
3881,10.4,3033714688,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
3983,8.1,3033702400,26256531456,8,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
4085,8.7,3033702400,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4187,12.0,3034218496,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4290,10.6,3034218496,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
4393,9.0,3033845760,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4496,8.6,3033845760,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4600,9.0,3033845760,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4702,9.6,3034103808,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4805,8.6,3034103808,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
4908,8.0,3034103808,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5011,9.1,3034103808,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5114,8.0,3034619904,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5218,11.4,3035394048,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5321,7.3,3035394048,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5424,7.4,3035021312,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5526,6.7,3035021312,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5629,8.6,3035021312,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
5732,6.8,3035021312,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
5835,9.1,3035021312,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
5938,9.1,3035021312,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6040,9.7,3035021312,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6143,11.4,3035795456,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6245,8.1,3036311552,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6348,9.7,3036311552,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6450,8.0,3036311552,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6553,8.6,3036311552,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6656,6.8,3036311552,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6759,9.1,3036569600,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6862,9.3,3036569600,26256531456,7,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
6964,8.6,3036569600,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
7067,8.0,3036827648,26256531456,7,23068672,1498873856,17102733312,6,23068672,1089339392,6442319872
7171,17.5,3037859840,26256531456,8,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
7274,11.2,3037847552,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7377,7.3,3025920000,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7479,8.5,3025805312,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7582,10.2,3022823424,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7686,7.8,3017232384,26256531456,9,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
7789,8.6,3015368704,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7891,6.9,3014623232,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
7994,9.1,3015024640,26256531456,8,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
8096,6.8,3015024640,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8199,12.7,3015684096,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8302,16.4,3017363456,26256531456,9,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
8405,6.7,3016876032,26256531456,8,23068672,1498873856,17102733312,7,23068672,1089339392,6442319872
8507,8.6,3016876032,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8610,10.2,3016876032,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8713,6.8,3017392128,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8815,8.0,3017392128,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
8918,9.8,3017392128,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
9020,7.4,3017392128,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
9122,9.1,3017392128,26256531456,8,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
9226,9.8,3017392128,26256531456,8,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
9328,8.0,3017392128,26256531456,8,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
9431,7.3,3017392128,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
9534,9.6,3017392128,26256531456,9,23068672,1498873856,17102733312,9,23068672,1089339392,6442319872
9636,6.7,3017523200,26256531456,9,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
9739,8.5,3017523200,26256531456,9,23068672,1498873856,17102733312,8,23068672,1089339392,6442319872
9841,8.5,3017523200,26256531456,9,23068672,1498873856,17102733312,13,23068672,1089339392,6442319872
9945,9.8,3017523200,26256531456,9,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10047,6.7,3017523200,26256531456,9,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10149,11.9,3017523200,26256531456,10,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10252,10.5,3017781248,26256531456,10,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10354,8.5,3017781248,26256531456,9,23068672,1498873856,17102733312,13,23068672,1089339392,6442319872
10457,10.4,3017781248,26256531456,9,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10559,9.2,3018039296,26256531456,10,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10662,6.7,3018039296,26256531456,10,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10764,9.2,3018039296,26256531456,9,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10866,6.6,3018039296,26256531456,9,23068672,1498873856,17102733312,14,23068672,1089339392,6442319872
10969,0.6,3018039296,26256531456,4,23068672,1498873856,17102733312,3,23068672,1089339392,6442319872
11073,3.0,3018039296,26256531456,4,23068672,1498873856,17102733312,3,23068672,1089339392,6442319872
