elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4484251648,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
101,9.2,4484767744,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
203,10.3,4485025792,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
305,9.8,4485025792,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
406,8.0,4485025792,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
508,9.8,4485283840,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
610,9.1,4485283840,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
712,7.4,4485283840,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
814,8.0,4485283840,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
915,8.6,4485283840,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1017,8.1,4485640192,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1119,10.4,4485783552,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1221,9.8,4486041600,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1323,8.6,4486041600,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1424,14.6,4486041600,26256531456,3,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1526,8.1,4484435968,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1628,9.1,4480335872,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1730,8.5,4480335872,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1832,7.5,4480335872,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1934,8.4,4525895680,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2036,7.4,4573892608,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2137,9.1,4621258752,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2239,6.7,4669255680,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2342,9.2,4715331584,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2443,6.8,4763328512,26256531456,2,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2547,8.4,4810293248,26256531456,0,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2650,6.7,4857257984,26256531456,0,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2754,8.4,4902301696,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2858,7.2,4950298624,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2961,8.4,4995715072,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
3065,7.5,5035970560,26256531456,1,165675008,1524039680,17102733312,0,249561088,1280180224,6442319872
3168,16.4,5061324800,26256531456,6,153092096,1511456768,17102733312,1,150994944,1181614080,6442319872
3291,14.7,5061582848,26256531456,6,153092096,1511456768,17102733312,35,150994944,1181614080,6442319872
3406,16.6,5063647232,26256531456,24,153092096,1511456768,17102733312,35,150994944,1181614080,6442319872
3509,20.0,5068263424,26256531456,24,153092096,1511456768,17102733312,49,150994944,1181614080,6442319872
3629,14.1,5068468224,26256531456,18,153092096,1511456768,17102733312,43,150994944,1181614080,6442319872
3736,14.8,5068468224,26256531456,27,153092096,1511456768,17102733312,43,150994944,1181614080,6442319872
3853,13.4,5068468224,26256531456,27,153092096,1511456768,17102733312,29,150994944,1181614080,6442319872
3957,12.9,5068468224,26256531456,19,153092096,1511456768,17102733312,49,150994944,1181614080,6442319872
4063,13.6,5068468224,26256531456,19,153092096,1511456768,17102733312,49,150994944,1181614080,6442319872
4182,20.5,5070274560,26256531456,16,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
4300,13.8,5069529088,26256531456,16,153092096,1511456768,17102733312,30,150994944,1181614080,6442319872
4419,18.5,5070553088,26256531456,22,153092096,1511456768,17102733312,30,150994944,1181614080,6442319872
4528,17.7,5070553088,26256531456,22,153092096,1511456768,17102733312,39,150994944,1181614080,6442319872
4631,15.4,5070553088,26256531456,26,153092096,1511456768,17102733312,34,73400320,1083047936,6442319872
4739,29.7,5072617472,26256531456,26,153092096,1511456768,17102733312,34,195035136,1225654272,6442319872
4844,27.2,5074677760,26256531456,24,153092096,1511456768,17102733312,58,257949696,1288568832,6442319872
4958,30.0,5076226048,26256531456,17,153092096,1511456768,17102733312,51,299892736,1330511872,6442319872
5071,22.5,5076226048,26256531456,17,153092096,1511456768,17102733312,51,343932928,1353580544,6442319872
5195,35.5,5076226048,26256531456,19,153092096,1511456768,17102733312,52,385875968,1416495104,6442319872
5298,22.2,5076226048,26256531456,19,153092096,1511456768,17102733312,63,406847488,1437466624,6442319872
5404,30.9,5076226048,26256531456,18,153092096,1511456768,17102733312,63,429916160,1460535296,6442319872
5513,29.2,5078290432,26256531456,18,153092096,1511456768,17102733312,59,471859200,1502478336,6442319872
5619,20.1,5078290432,26256531456,18,153092096,1511456768,17102733312,59,492830720,1523449856,6442319872
5733,18.1,5078290432,26256531456,18,153092096,1511456768,17102733312,57,492830720,1523449856,6442319872
5856,13.5,5078290432,26256531456,15,153092096,1511456768,17102733312,52,492830720,1523449856,6442319872
5976,18.8,5078290432,26256531456,14,153092096,1511456768,17102733312,53,492830720,1523449856,6442319872
6096,17.8,5078290432,26256531456,14,153092096,1511456768,17102733312,53,492830720,1523449856,6442319872
6205,19.2,5078290432,26256531456,16,153092096,1511456768,17102733312,63,492830720,1523449856,6442319872
6319,17.1,5078290432,26256531456,16,153092096,1511456768,17102733312,56,492830720,1523449856,6442319872
6439,18.5,5078290432,26256531456,16,153092096,1511456768,17102733312,56,492830720,1523449856,6442319872
6563,16.0,5078290432,26256531456,17,153092096,1511456768,17102733312,58,492830720,1523449856,6442319872
6672,16.5,5078290432,26256531456,17,153092096,1511456768,17102733312,58,492830720,1523449856,6442319872
6778,13.9,5078290432,26256531456,16,153092096,1511456768,17102733312,58,492830720,1523449856,6442319872
6892,16.6,5079293952,26256531456,16,153092096,1511456768,17102733312,43,492830720,1523449856,6442319872
7015,16.1,5079293952,26256531456,16,153092096,1511456768,17102733312,60,492830720,1523449856,6442319872
7140,17.3,5079293952,26256531456,16,153092096,1511456768,17102733312,55,492830720,1523449856,6442319872
7278,17.6,5079293952,26256531456,15,153092096,1511456768,17102733312,55,492830720,1523449856,6442319872
7394,17.1,5079293952,26256531456,22,153092096,1511456768,17102733312,60,492830720,1523449856,6442319872
7497,20.0,5079293952,26256531456,22,153092096,1511456768,17102733312,60,492830720,1523449856,6442319872
7624,17.0,5079293952,26256531456,16,153092096,1511456768,17102733312,60,492830720,1523449856,6442319872
7728,22.8,5079293952,26256531456,16,153092096,1511456768,17102733312,64,492830720,1523449856,6442319872
7840,19.1,5079810048,26256531456,22,153092096,1511456768,17102733312,63,492830720,1523449856,6442319872
7952,20.1,5079810048,26256531456,18,153092096,1511456768,17102733312,63,492830720,1523449856,6442319872
8072,14.7,5079810048,26256531456,18,153092096,1511456768,17102733312,64,492830720,1523449856,6442319872
8201,21.4,5080068096,26256531456,16,153092096,1511456768,17102733312,54,492830720,1523449856,6442319872
8309,22.4,5080068096,26256531456,16,153092096,1511456768,17102733312,54,492830720,1523449856,6442319872
8423,14.0,5080068096,26256531456,15,153092096,1511456768,17102733312,55,492830720,1523449856,6442319872
8536,16.7,5080068096,26256531456,15,153092096,1511456768,17102733312,56,492830720,1523449856,6442319872
8661,14.1,5080068096,26256531456,14,153092096,1511456768,17102733312,55,492830720,1523449856,6442319872
8788,12.3,5080068096,26256531456,20,153092096,1511456768,17102733312,55,492830720,1523449856,6442319872
8891,13.9,5080068096,26256531456,20,153092096,1511456768,17102733312,53,492830720,1523449856,6442319872
8993,13.4,5080068096,26256531456,16,153092096,1511456768,17102733312,53,492830720,1523449856,6442319872
9110,12.8,5080068096,26256531456,16,153092096,1511456768,17102733312,57,492830720,1523449856,6442319872
