elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4492083200,26256531456,0,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
102,7.3,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
204,7.4,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
306,7.5,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
407,8.0,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
509,8.0,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
611,6.7,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
713,8.0,4492083200,26256531456,0,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
815,7.4,4492083200,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
916,10.2,4491567104,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1018,10.2,4491567104,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1120,6.8,4491567104,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1222,9.2,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1324,6.8,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1426,6.7,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1528,6.2,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1630,8.5,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1732,6.1,4491309056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1835,9.3,4514533376,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
1937,7.4,4560465920,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2039,9.1,4607430656,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2141,5.6,4654911488,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2243,9.6,4701876224,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2345,6.2,4749357056,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2447,7.4,4794773504,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2549,9.0,4842254336,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2651,8.0,4890767360,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2753,6.2,4939796480,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2856,11.4,4986761216,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
2958,7.9,5034758144,26256531456,1,163577856,1521942528,17102733312,0,249561088,1280180224,6442319872
3060,11.7,5071630336,26256531456,2,153092096,1511456768,17102733312,1,146800640,1177419776,6442319872
3164,12.7,5075243008,26256531456,2,153092096,1511456768,17102733312,1,150994944,1181614080,6442319872
3272,12.4,5075243008,26256531456,26,153092096,1511456768,17102733312,76,150994944,1181614080,6442319872
3384,14.9,5075243008,26256531456,26,153092096,1511456768,17102733312,47,150994944,1181614080,6442319872
3487,18.8,5084532736,26256531456,15,153092096,1511456768,17102733312,47,150994944,1181614080,6442319872
3596,14.0,5084532736,26256531456,20,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
3705,13.7,5084532736,26256531456,20,153092096,1511456768,17102733312,45,150994944,1181614080,6442319872
