elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4477530112,26256531456,0,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
103,7.9,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
205,8.4,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
308,9.1,4477788160,26256531456,2,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
410,7.9,4477788160,26256531456,2,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
513,7.3,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
615,7.9,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
718,8.5,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
821,6.1,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
923,6.8,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1025,7.4,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1128,8.0,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1230,7.3,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1333,7.9,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1436,8.5,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1538,8.0,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1640,6.7,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1743,7.4,4477788160,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1845,6.7,4491722752,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
1948,7.9,4540751872,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2050,9.7,4590039040,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2152,9.1,4638035968,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2255,7.8,4687065088,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2357,8.0,4735578112,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2460,8.0,4785639424,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2562,7.3,4834668544,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2665,9.1,4883181568,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2768,7.9,4931694592,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2870,7.9,4980723712,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
2973,7.9,5028720640,26256531456,1,163577856,1521942528,17102733312,0,163577856,1194196992,6442319872
3076,10.2,5047832576,26256531456,1,150994944,1509359616,17102733312,1,146800640,1177419776,6442319872
3190,14.0,5061427200,26256531456,5,153092096,1511456768,17102733312,56,150994944,1181614080,6442319872
3294,16.0,5063483392,26256531456,13,153092096,1511456768,17102733312,56,150994944,1181614080,6442319872
3411,18.4,5065547776,26256531456,13,153092096,1511456768,17102733312,38,150994944,1181614080,6442319872
3513,15.9,5066838016,26256531456,16,153092096,1511456768,17102733312,38,150994944,1181614080,6442319872
3617,19.5,5068644352,26256531456,16,153092096,1511456768,17102733312,44,150994944,1181614080,6442319872
3720,14.9,5070450688,26256531456,17,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
3839,16.8,5070680064,26256531456,17,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
3944,16.6,5071192064,26256531456,17,153092096,1511456768,17102733312,46,150994944,1181614080,6442319872
4046,20.1,5072740352,26256531456,17,153092096,1511456768,17102733312,36,150994944,1181614080,6442319872
4167,18.5,5073514496,26256531456,27,153092096,1511456768,17102733312,36,150994944,1181614080,6442319872
4278,18.9,5073657856,26256531456,27,153092096,1511456768,17102733312,37,150994944,1181614080,6442319872
4383,20.6,5075320832,26256531456,15,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
4506,18.3,5075980288,26256531456,19,153092096,1511456768,17102733312,50,150994944,1181614080,6442319872
4608,15.4,5075091456,26256531456,19,153092096,1511456768,17102733312,40,150994944,1181614080,6442319872
4712,18.7,5077155840,26256531456,19,153092096,1511456768,17102733312,48,150994944,1181614080,6442319872
4814,15.2,5075865600,26256531456,19,153092096,1511456768,17102733312,48,150994944,1181614080,6442319872
4917,17.0,5075349504,26256531456,17,153092096,1511456768,17102733312,38,150994944,1181614080,6442319872
5028,18.4,5076119552,26256531456,17,153092096,1511456768,17102733312,44,150994944,1181614080,6442319872
5132,25.0,5076107264,26256531456,21,153092096,1511456768,17102733312,44,150994944,1181614080,6442319872
5256,17.6,5077913600,26256531456,21,153092096,1511456768,17102733312,27,150994944,1181614080,6442319872
5375,17.4,5079605248,26256531456,20,153092096,1511456768,17102733312,44,150994944,1181614080,6442319872
5487,18.9,5080141824,26256531456,19,153092096,1511456768,17102733312,44,150994944,1181614080,6442319872
5590,16.4,5080629248,26256531456,19,153092096,1511456768,17102733312,47,150994944,1181614080,6442319872
5703,17.7,5075976192,26256531456,16,153092096,1511456768,17102733312,40,150994944,1181614080,6442319872
5805,13.8,5075574784,26256531456,16,153092096,1511456768,17102733312,40,150994944,1181614080,6442319872
5907,17.1,5076090880,26256531456,19,153092096,1511456768,17102733312,48,150994944,1181614080,6442319872
6031,17.3,5077381120,26256531456,19,153092096,1511456768,17102733312,41,150994944,1181614080,6442319872
6158,18.8,5079441408,26256531456,18,153092096,1511456768,17102733312,41,150994944,1181614080,6442319872
6268,17.2,5079699456,26256531456,18,153092096,1511456768,17102733312,41,150994944,1181614080,6442319872
6394,17.8,5080473600,26256531456,17,153092096,1511456768,17102733312,46,150994944,1181614080,6442319872
