elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,6336282624,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
102,9.8,6337048576,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
205,7.4,6337048576,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
306,6.8,6337048576,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
413,7.1,6336790528,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
515,12.7,6336790528,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
617,6.2,6336790528,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
719,7.4,6336790528,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
821,8.5,6336790528,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
923,7.3,6336790528,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1025,7.4,6336790528,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1127,11.4,6337708032,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1229,6.8,6337564672,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1331,9.1,6336532480,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1436,7.2,6336532480,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1538,10.2,6336532480,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1640,9.1,6336532480,26256531456,2,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1742,6.1,6336532480,26256531456,2,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1844,8.0,6362853376,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
1946,6.7,6411366400,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2048,10.3,6461427712,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2150,9.9,6509682688,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2252,7.4,6559227904,26256531456,2,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2354,7.4,6608257024,26256531456,2,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2456,8.5,6657286144,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2558,7.4,6706831360,26256531456,0,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2660,8.6,6755860480,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2762,7.4,6804631552,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2864,7.4,6853144576,26256531456,1,23068672,1498873856,17102733312,0,23068672,1087242240,6442319872
2966,13.0,6895464448,26256531456,1,29360128,1505165312,17102733312,0,23068672,1087242240,6442319872
3068,7.1,6894227456,26256531456,1,29360128,1505165312,17102733312,0,23068672,1087242240,6442319872
3179,12.1,6968594432,26256531456,1,29360128,1505165312,17102733312,0,23068672,1089339392,6442319872
3313,13.1,6994694144,26256531456,1,153092096,1647771648,17102733312,24,150994944,1234042880,6442319872
3419,14.6,6994694144,26256531456,27,153092096,1647771648,17102733312,24,150994944,1234042880,6442319872
3533,16.6,7031828480,26256531456,27,153092096,1647771648,17102733312,66,150994944,1234042880,6442319872
3644,15.6,7032360960,26256531456,21,153092096,1647771648,17102733312,37,150994944,1234042880,6442319872
3778,14.6,7032360960,26256531456,21,153092096,1647771648,17102733312,37,150994944,1234042880,6442319872
3891,15.6,7032360960,26256531456,20,153092096,1647771648,17102733312,41,150994944,1234042880,6442319872
4006,13.8,7032614912,26256531456,29,153092096,1647771648,17102733312,54,150994944,1234042880,6442319872
4115,15.6,7034163200,26256531456,29,153092096,1647771648,17102733312,56,150994944,1234042880,6442319872
4225,18.5,7033905152,26256531456,32,153092096,1647771648,17102733312,56,150994944,1234042880,6442319872
4339,14.2,7033532416,26256531456,32,153092096,1647771648,17102733312,58,52428800,1137573888,6442319872
4447,27.2,7034671104,26256531456,27,153092096,1647771648,17102733312,58,216006656,1299054592,6442319872
4557,20.2,7038025728,26256531456,27,153092096,1647771648,17102733312,58,236978176,1299054592,6442319872
4685,13.7,7038025728,26256531456,29,153092096,1647771648,17102733312,51,236978176,1320026112,6442319872
4816,13.6,7038025728,26256531456,26,153092096,1647771648,17102733312,62,236978176,1320026112,6442319872
4951,12.1,7038025728,26256531456,26,153092096,1647771648,17102733312,57,236978176,1320026112,6442319872
5077,16.7,7039315968,26256531456,15,153092096,1647771648,17102733312,57,236978176,1320026112,6442319872
5204,14.4,7039057920,26256531456,18,153092096,1647771648,17102733312,55,52428800,1320026112,6442319872
5353,18.3,7041122304,26256531456,18,153092096,1647771648,17102733312,45,195035136,1278083072,6442319872
5472,27.1,7041122304,26256531456,18,153092096,1647771648,17102733312,51,236978176,1320026112,6442319872
5581,29.3,7041122304,26256531456,18,153092096,1647771648,17102733312,51,299892736,1382940672,6442319872
5695,23.8,7043186688,26256531456,22,153092096,1647771648,17102733312,54,343932928,1426980864,6442319872
5803,32.4,7043702784,26256531456,22,153092096,1647771648,17102733312,56,385875968,1468923904,6442319872
5911,30.4,7043702784,26256531456,22,153092096,1647771648,17102733312,56,450887680,1533935616,6442319872
6029,27.2,7044734976,26256531456,25,153092096,1647771648,17102733312,60,471859200,1554907136,6442319872
6165,20.3,7044734976,26256531456,25,153092096,1647771648,17102733312,55,471859200,1554907136,6442319872
6306,16.4,7044734976,26256531456,17,153092096,1647771648,17102733312,56,471859200,1554907136,6442319872
6441,16.3,7044993024,26256531456,17,153092096,1647771648,17102733312,63,471859200,1554907136,6442319872
6549,12.9,7044993024,26256531456,17,153092096,1647771648,17102733312,63,471859200,1554907136,6442319872
6686,12.8,7044993024,26256531456,18,153092096,1647771648,17102733312,56,471859200,1554907136,6442319872
6815,13.3,7044993024,26256531456,15,153092096,1647771648,17102733312,56,471859200,1554907136,6442319872
6941,12.9,7044993024,26256531456,15,153092096,1647771648,17102733312,51,471859200,1554907136,6442319872
7059,17.9,7046025216,26256531456,19,153092096,1647771648,17102733312,51,471859200,1554907136,6442319872
7192,12.7,7046283264,26256531456,16,153092096,1647771648,17102733312,64,471859200,1554907136,6442319872
7326,14.0,7046283264,26256531456,16,153092096,1647771648,17102733312,61,471859200,1554907136,6442319872
7452,14.8,7046283264,26256531456,18,153092096,1647771648,17102733312,65,471859200,1554907136,6442319872
7569,15.2,7046283264,26256531456,19,153092096,1647771648,17102733312,65,471859200,1554907136,6442319872
7701,15.1,7046541312,26256531456,19,153092096,1647771648,17102733312,55,471859200,1554907136,6442319872
7836,14.0,7046541312,26256531456,15,153092096,1647771648,17102733312,51,471859200,1554907136,6442319872
7951,11.7,7046799360,26256531456,15,153092096,1647771648,17102733312,57,471859200,1554907136,6442319872
8077,24.8,7049121792,26256531456,22,153092096,1647771648,17102733312,54,471859200,1554907136,6442319872
8205,15.5,7047573504,26256531456,19,153092096,1647771648,17102733312,54,471859200,1554907136,6442319872
