elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
102,8.0,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
204,8.0,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
306,7.9,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
408,6.2,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
510,9.6,4998352896,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
612,6.1,4998352896,26256531456,0,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
714,8.0,4998352896,26256531456,0,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
816,8.0,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
918,8.0,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1020,6.7,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1122,8.1,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1224,6.7,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1325,7.4,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1427,8.0,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1529,7.4,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1631,8.0,4998352896,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1733,6.2,4998344704,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1835,8.5,4998344704,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
1937,10.4,5052014592,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2042,7.1,5101817856,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2144,7.4,5150330880,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2246,8.0,5199876096,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2348,6.8,5248389120,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2451,10.1,5296386048,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2553,6.7,5345931264,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2655,8.6,5393928192,26256531456,1,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2757,6.8,5442957312,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2859,8.1,5491470336,26256531456,2,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
2961,8.6,5540499456,26256531456,3,163577856,1639383040,17102733312,0,270532608,1334706176,6442319872
3063,11.0,5552111616,26256531456,3,165675008,1641480192,17102733312,0,270532608,1334706176,6442319872
3208,7.6,5588242432,26256531456,3,165675008,1641480192,17102733312,0,270532608,1336803328,6442319872
3341,11.6,5654491136,26256531456,10,153092096,1645674496,17102733312,14,150994944,1234042880,6442319872
3443,14.1,5654138880,26256531456,10,153092096,1645674496,17102733312,14,150994944,1234042880,6442319872
3557,12.9,5654654976,26256531456,42,153092096,1645674496,17102733312,56,150994944,1234042880,6442319872
3667,15.9,5654913024,26256531456,42,153092096,1645674496,17102733312,75,150994944,1234042880,6442319872
3781,13.8,5655171072,26256531456,51,153092096,1645674496,17102733312,75,150994944,1234042880,6442319872
3890,15.4,5655687168,26256531456,51,153092096,1645674496,17102733312,79,150994944,1234042880,6442319872
4005,17.8,5655687168,26256531456,49,153092096,1645674496,17102733312,70,150994944,1234042880,6442319872
4119,17.2,5655687168,26256531456,49,153092096,1645674496,17102733312,70,150994944,1234042880,6442319872
4236,14.5,5655687168,26256531456,51,153092096,1645674496,17102733312,58,150994944,1234042880,6442319872
4344,14.0,5655687168,26256531456,44,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
4449,13.8,5655687168,26256531456,44,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
4555,14.1,5655687168,26256531456,52,153092096,1645674496,17102733312,67,150994944,1234042880,6442319872
4658,15.8,5655687168,26256531456,52,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
4769,15.3,5655687168,26256531456,41,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
4887,18.5,5655945216,26256531456,41,153092096,1645674496,17102733312,67,150994944,1234042880,6442319872
4993,15.8,5655945216,26256531456,54,153092096,1645674496,17102733312,67,150994944,1234042880,6442319872
5098,17.8,5655941120,26256531456,54,153092096,1645674496,17102733312,67,150994944,1234042880,6442319872
5220,14.6,5655941120,26256531456,48,153092096,1645674496,17102733312,69,150994944,1234042880,6442319872
5333,13.8,5655683072,26256531456,44,153092096,1645674496,17102733312,63,150994944,1234042880,6442319872
5448,17.7,5655683072,26256531456,44,153092096,1645674496,17102733312,63,150994944,1234042880,6442319872
5553,14.9,5655941120,26256531456,56,153092096,1645674496,17102733312,79,150994944,1234042880,6442319872
5662,17.0,5655941120,26256531456,56,153092096,1645674496,17102733312,77,150994944,1234042880,6442319872
5782,16.0,5655941120,26256531456,49,153092096,1645674496,17102733312,77,150994944,1234042880,6442319872
5893,18.5,5656190976,26256531456,49,153092096,1645674496,17102733312,71,150994944,1234042880,6442319872
5997,17.9,5656444928,26256531456,50,153092096,1645674496,17102733312,73,150994944,1234042880,6442319872
6104,16.4,5656444928,26256531456,38,153092096,1645674496,17102733312,73,150994944,1234042880,6442319872
6221,14.0,5656444928,26256531456,38,153092096,1645674496,17102733312,71,150994944,1234042880,6442319872
6345,14.1,5656702976,26256531456,49,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
6461,16.5,5656702976,26256531456,49,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
6566,14.2,5656702976,26256531456,42,153092096,1645674496,17102733312,69,150994944,1234042880,6442319872
6671,15.1,5656698880,26256531456,42,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
6791,14.1,5656698880,26256531456,46,153092096,1645674496,17102733312,64,150994944,1234042880,6442319872
6913,16.5,5656956928,26256531456,54,153092096,1645674496,17102733312,67,150994944,1234042880,6442319872
7031,13.3,5656956928,26256531456,54,153092096,1645674496,17102733312,72,150994944,1234042880,6442319872
7150,15.2,5657214976,26256531456,47,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
7267,13.1,5657214976,26256531456,47,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
7381,14.7,5657214976,26256531456,61,153092096,1645674496,17102733312,61,150994944,1234042880,6442319872
7493,14.1,5657214976,26256531456,61,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
7607,13.3,5657214976,26256531456,52,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
7728,16.2,5657214976,26256531456,49,153092096,1645674496,17102733312,74,150994944,1234042880,6442319872
7842,16.0,5657214976,26256531456,49,153092096,1645674496,17102733312,75,150994944,1234042880,6442319872
7969,13.8,5657468928,26256531456,49,153092096,1645674496,17102733312,75,150994944,1234042880,6442319872
8077,16.1,5657464832,26256531456,49,153092096,1645674496,17102733312,63,150994944,1234042880,6442319872
8197,14.4,5657464832,26256531456,38,153092096,1645674496,17102733312,74,150994944,1234042880,6442319872
8302,14.6,5657464832,26256531456,38,153092096,1645674496,17102733312,74,150994944,1234042880,6442319872
8421,15.5,5657464832,26256531456,47,153092096,1645674496,17102733312,68,150994944,1234042880,6442319872
8531,14.8,5657464832,26256531456,49,153092096,1645674496,17102733312,66,150994944,1234042880,6442319872
8642,19.4,5657464832,26256531456,49,153092096,1645674496,17102733312,66,150994944,1234042880,6442319872
8749,14.2,5657464832,26256531456,41,153092096,1645674496,17102733312,51,150994944,1234042880,6442319872
8861,15.6,5657464832,26256531456,41,153092096,1645674496,17102733312,69,150994944,1234042880,6442319872
