elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2588028928,26256531456,1,0,1299644416,17102733312,0,92274688,1110310912,6442319872
102,6.7,2615672832,26256531456,1,0,1299644416,17102733312,0,150994944,1169031168,6442319872
204,6.8,2623148032,26256531456,0,0,1299644416,17102733312,5,157286400,1175322624,6442319872
309,8.3,2623148032,26256531456,0,0,1299644416,17102733312,50,157286400,1175322624,6442319872
413,8.4,2623148032,26256531456,0,0,1299644416,17102733312,50,157286400,1175322624,6442319872
515,12.6,2623664128,26256531456,0,0,1299644416,17102733312,71,157286400,1175322624,6442319872
619,14.7,2624696320,26256531456,2,0,1299644416,17102733312,71,157286400,1175322624,6442319872
722,8.5,2624954368,26256531456,2,0,1299644416,17102733312,76,157286400,1175322624,6442319872
824,9.8,2625212416,26256531456,0,0,1299644416,17102733312,69,157286400,1175322624,6442319872
927,9.1,2625212416,26256531456,0,0,1299644416,17102733312,69,157286400,1175322624,6442319872
1029,8.6,2625466368,26256531456,1,0,1299644416,17102733312,76,157286400,1175322624,6442319872
