elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4190867456,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
103,7.3,4190494720,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
205,13.1,4190494720,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
308,6.7,4190494720,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
411,8.5,4190494720,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
514,6.7,4190494720,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
617,7.4,4191010816,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
720,7.3,4191010816,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
823,7.9,4191010816,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
926,8.4,4196659200,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1029,6.1,4257042432,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1132,8.5,4305555456,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1235,14.4,4349571072,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1338,9.1,4398600192,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1441,8.5,4446597120,26256531456,0,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1543,6.2,4460789760,26256531456,1,90177536,1553399808,17102733312,0,54525952,1108213760,6442319872
1668,7.9,4529754112,26256531456,0,90177536,1553399808,17102733312,0,54525952,1110310912,6442319872
1800,9.6,4587958272,26256531456,0,117440512,1597440000,17102733312,3,81788928,1152253952,6442319872
1903,12.0,4598079488,26256531456,5,119537664,1599537152,17102733312,3,83886080,1154351104,6442319872
2005,11.3,4598595584,26256531456,5,119537664,1599537152,17102733312,62,83886080,1154351104,6442319872
2120,8.1,4599627776,26256531456,22,148897792,1628897280,17102733312,62,83886080,1154351104,6442319872
2226,14.7,4599885824,26256531456,22,148897792,1628897280,17102733312,28,83886080,1154351104,6442319872
2343,7.5,4599873536,26256531456,16,148897792,1628897280,17102733312,24,83886080,1154351104,6442319872
2445,8.6,4599873536,26256531456,16,148897792,1628897280,17102733312,24,83886080,1154351104,6442319872
2548,10.4,4600131584,26256531456,16,148897792,1628897280,17102733312,28,83886080,1154351104,6442319872
2659,8.5,4600131584,26256531456,16,148897792,1628897280,17102733312,34,83886080,1154351104,6442319872
2782,8.1,4600131584,26256531456,20,148897792,1628897280,17102733312,34,83886080,1154351104,6442319872
2885,10.3,4600131584,26256531456,18,148897792,1628897280,17102733312,28,83886080,1154351104,6442319872
2988,7.3,4600131584,26256531456,18,148897792,1628897280,17102733312,29,83886080,1154351104,6442319872
3101,7.9,4600131584,26256531456,19,148897792,1628897280,17102733312,29,83886080,1154351104,6442319872
3212,11.9,4600389632,26256531456,19,148897792,1628897280,17102733312,30,83886080,1154351104,6442319872
3318,7.2,4600647680,26256531456,16,148897792,1628897280,17102733312,24,83886080,1154351104,6442319872
3434,8.6,4600647680,26256531456,16,180355072,1660354560,17102733312,24,83886080,1154351104,6442319872
3538,7.2,4600647680,26256531456,20,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
3647,8.7,4600647680,26256531456,20,180355072,1660354560,17102733312,24,83886080,1154351104,6442319872
3756,8.0,4600647680,26256531456,19,180355072,1660354560,17102733312,24,83886080,1154351104,6442319872
3858,9.1,4600647680,26256531456,19,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
3961,8.5,4600647680,26256531456,22,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
4078,7.0,4600647680,26256531456,20,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
4180,11.6,4600647680,26256531456,20,180355072,1660354560,17102733312,26,83886080,1154351104,6442319872
4289,10.3,4600905728,26256531456,20,180355072,1660354560,17102733312,26,83886080,1154351104,6442319872
4393,10.7,4600905728,26256531456,20,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
4496,7.3,4600905728,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
4598,9.7,4601163776,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
4702,8.0,4601163776,26256531456,24,180355072,1660354560,17102733312,32,83886080,1154351104,6442319872
4806,7.7,4601163776,26256531456,24,180355072,1660354560,17102733312,32,83886080,1154351104,6442319872
4913,11.6,4601163776,26256531456,21,180355072,1660354560,17102733312,26,83886080,1154351104,6442319872
5023,8.6,4601163776,26256531456,21,180355072,1660354560,17102733312,29,83886080,1154351104,6442319872
5127,9.9,4601163776,26256531456,22,180355072,1660354560,17102733312,29,83886080,1154351104,6442319872
5231,11.5,4601421824,26256531456,22,180355072,1660354560,17102733312,32,83886080,1154351104,6442319872
5343,9.4,4601679872,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
5447,8.5,4601679872,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
5551,10.2,4601679872,26256531456,24,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
5661,9.7,4601679872,26256531456,24,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
5766,9.0,4601937920,26256531456,20,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
5870,9.0,4601937920,26256531456,19,180355072,1660354560,17102733312,22,83886080,1154351104,6442319872
5985,8.3,4601937920,26256531456,19,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
6092,8.2,4601937920,26256531456,22,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
6200,11.0,4602970112,26256531456,22,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
6314,10.3,4602970112,26256531456,20,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
6430,11.2,4602970112,26256531456,20,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
6533,12.5,4602970112,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
6639,10.0,4603228160,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
6746,10.5,4603228160,26256531456,24,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
6867,11.3,4603228160,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
6974,9.3,4603486208,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
7078,10.2,4603486208,26256531456,19,180355072,1660354560,17102733312,27,83886080,1154351104,6442319872
7187,11.0,4604518400,26256531456,19,180355072,1660354560,17102733312,23,83886080,1154351104,6442319872
7291,8.6,4604518400,26256531456,18,180355072,1660354560,17102733312,23,83886080,1154351104,6442319872
7400,11.4,4604518400,26256531456,18,180355072,1660354560,17102733312,26,83886080,1154351104,6442319872
7505,9.6,4604518400,26256531456,22,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
7609,10.1,4604776448,26256531456,22,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
7727,8.6,4604776448,26256531456,22,180355072,1660354560,17102733312,29,83886080,1154351104,6442319872
7832,10.1,4604776448,26256531456,22,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
7953,9.8,4605034496,26256531456,21,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
8058,9.6,4605034496,26256531456,21,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
8168,8.0,4605550592,26256531456,23,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
8274,11.8,4605808640,26256531456,24,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
8377,9.8,4605808640,26256531456,24,180355072,1660354560,17102733312,31,83886080,1154351104,6442319872
8494,8.6,4606066688,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
8613,11.5,4606066688,26256531456,24,180355072,1660354560,17102733312,33,83886080,1154351104,6442319872
8720,8.1,4606066688,26256531456,22,180355072,1660354560,17102733312,25,83886080,1154351104,6442319872
8822,9.6,4606066688,26256531456,22,180355072,1660354560,17102733312,23,83886080,1154351104,6442319872
8936,8.8,4606066688,26256531456,18,180355072,1660354560,17102733312,23,83886080,1154351104,6442319872
9040,10.1,4606324736,26256531456,18,180355072,1660354560,17102733312,30,83886080,1154351104,6442319872
9145,8.9,4606324736,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
9259,13.4,4607098880,26256531456,24,180355072,1660354560,17102733312,28,83886080,1154351104,6442319872
9363,10.2,4607356928,26256531456,21,180355072,1660354560,17102733312,24,83886080,1154351104,6442319872
