elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2666053632,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
103,8.6,2666311680,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
206,8.5,2666311680,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
308,8.6,2666311680,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
411,8.5,2666569728,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
514,8.7,2667343872,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
616,8.4,2667343872,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
719,10.7,2667343872,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
822,7.3,2667343872,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
924,7.3,2667343872,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1027,8.0,2667343872,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1130,6.7,2667601920,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1232,6.7,2667601920,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1335,7.4,2667601920,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1438,7.4,2667601920,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1540,9.1,2668634112,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1644,6.7,2680504320,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1746,6.7,2695987200,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1849,8.4,2713534464,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1954,8.4,2731597824,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2056,8.4,2749661184,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2159,6.1,2767208448,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2262,8.5,2784755712,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2364,8.0,2803851264,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2467,9.6,2823462912,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2570,13.9,2880331776,26256531456,5,46137344,1400307712,17102733312,0,46137344,1074659328,6442319872
2696,14.2,2932011008,26256531456,5,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
2798,44.8,2932011008,26256531456,24,50331648,1406599168,17102733312,32,58720256,1087242240,6442319872
2901,40.4,2935107584,26256531456,24,50331648,1406599168,17102733312,66,62914560,1089339392,6442319872
3004,56.4,2936139776,26256531456,23,50331648,1406599168,17102733312,66,75497472,1104019456,6442319872
3106,57.9,2936139776,26256531456,23,50331648,1406599168,17102733312,48,96468992,1124990976,6442319872
3208,15.5,2936655872,26256531456,27,50331648,1406599168,17102733312,54,96468992,1124990976,6442319872
3310,30.3,2936885248,26256531456,27,50331648,1406599168,17102733312,54,54525952,1083047936,6442319872
3413,53.8,2937401344,26256531456,27,50331648,1406599168,17102733312,49,71303168,1099825152,6442319872
3515,21.7,2938691584,26256531456,27,50331648,1406599168,17102733312,49,52428800,1080950784,6442319872
3617,43.5,2938691584,26256531456,28,48234496,1404502016,17102733312,47,50331648,1078853632,6442319872
