elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2659201024,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
102,7.3,2657337344,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
203,9.3,2653982720,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
305,8.5,2653982720,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
407,9.3,2653982720,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
509,12.0,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
611,8.0,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
713,8.6,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
814,7.5,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
916,9.1,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1018,6.7,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1121,6.8,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1223,8.5,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1325,7.3,2654498816,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1427,7.5,2655014912,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1530,8.5,2655014912,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1632,7.4,2655014912,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1734,7.9,2669981696,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1837,7.9,2685980672,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1939,7.5,2701979648,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2041,9.1,2717978624,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
