elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2692288512,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
103,16.7,2692546560,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
206,7.4,2679386112,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
308,12.9,2697965568,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
410,6.7,2697707520,26256531456,0,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
512,8.6,2682224640,26256531456,3,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
614,8.0,2679902208,26256531456,3,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
716,6.7,2673967104,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
818,8.0,2667515904,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
920,7.9,2666999808,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1024,7.3,2666999808,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1126,7.4,2667511808,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1228,9.1,2667511808,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1330,8.1,2663899136,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1432,8.5,2663899136,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1534,8.5,2664030208,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1637,7.4,2680414208,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1739,9.8,2717057024,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1841,8.5,2732281856,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
1943,9.1,2749571072,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2045,6.1,2766602240,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2147,9.1,2779762688,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2249,9.4,2790600704,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2352,14.0,2804019200,26256531456,2,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2454,7.5,2821566464,26256531456,1,23068672,1377239040,17102733312,0,23068672,1051590656,6442319872
2556,11.6,2899165184,26256531456,1,50331648,1404502016,17102733312,0,48234496,1076756480,6442319872
2658,25.6,2929553408,26256531456,11,50331648,1406599168,17102733312,12,50331648,1078853632,6442319872
2760,21.5,2933940224,26256531456,11,50331648,1406599168,17102733312,12,50331648,1078853632,6442319872
2863,24.1,2938327040,26256531456,34,50331648,1406599168,17102733312,47,50331648,1078853632,6442319872
2965,25.3,2944806912,26256531456,34,50331648,1406599168,17102733312,47,50331648,1078853632,6442319872
3067,27.7,2941222912,26256531456,20,50331648,1406599168,17102733312,47,50331648,1078853632,6442319872
3170,24.2,2930868224,26256531456,20,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
3273,29.8,2933862400,26256531456,23,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
3377,26.8,2938593280,26256531456,23,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
3479,27.1,2941181952,26256531456,23,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
3582,25.6,2946658304,26256531456,23,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
3684,27.2,2941808640,26256531456,25,50331648,1406599168,17102733312,31,50331648,1078853632,6442319872
3786,25.9,2932006912,26256531456,25,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
3889,26.9,2932379648,26256531456,23,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
3990,24.7,2933125120,26256531456,23,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
4093,27.5,2934190080,26256531456,24,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
4195,28.1,2933641216,26256531456,25,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
4299,29.6,2928619520,26256531456,25,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
4401,24.7,2934226944,26256531456,24,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
4504,26.9,2929258496,26256531456,24,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
4606,27.2,2934935552,26256531456,24,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
4708,29.6,2949529600,26256531456,24,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
4810,25.1,2941120512,26256531456,24,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
4912,27.3,2945105920,26256531456,24,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
5015,29.8,2947571712,26256531456,25,50331648,1406599168,17102733312,31,50331648,1078853632,6442319872
5118,23.0,2945363968,26256531456,25,50331648,1406599168,17102733312,31,50331648,1078853632,6442319872
5220,26.7,2936532992,26256531456,23,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
5322,26.1,2935070720,26256531456,23,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
5425,27.1,2934493184,26256531456,25,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
5527,26.2,2935894016,26256531456,25,50331648,1406599168,17102733312,33,50331648,1078853632,6442319872
5629,21.9,2938867712,26256531456,25,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
5732,32.4,2936537088,26256531456,25,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
5834,25.9,2938257408,26256531456,25,50331648,1406599168,17102733312,34,50331648,1078853632,6442319872
5937,23.8,2941038592,26256531456,25,50331648,1406599168,17102733312,34,50331648,1078853632,6442319872
6040,28.8,2942529536,26256531456,24,50331648,1406599168,17102733312,32,50331648,1078853632,6442319872
6142,25.0,2943492096,26256531456,24,50331648,1406599168,17102733312,31,50331648,1078853632,6442319872
6246,30.1,2943463424,26256531456,23,50331648,1406599168,17102733312,31,50331648,1078853632,6442319872
6348,26.8,2943950848,26256531456,23,50331648,1406599168,17102733312,30,50331648,1078853632,6442319872
