elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3114418176,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
103,7.3,3114418176,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
207,8.4,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
310,7.3,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
413,7.8,3113902080,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
517,6.7,3114160128,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
620,7.9,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
724,8.3,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
827,7.4,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
930,6.7,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1033,8.5,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1136,6.1,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1239,9.1,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1342,9.1,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1445,6.1,3114160128,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1549,8.3,3114676224,26256531456,3,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1652,7.3,3133255680,26256531456,3,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1755,7.3,3150286848,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1858,6.7,3167834112,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1961,7.3,3184865280,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2064,7.3,3202412544,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2167,7.3,3219959808,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2270,8.0,3237249024,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2373,6.7,3255312384,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2476,8.0,3275956224,26256531456,2,44040192,1515651072,17102733312,0,23068672,1085145088,6442319872
2583,8.4,3281375232,26256531456,4,44040192,1515651072,17102733312,0,23068672,1085145088,6442319872
2702,7.5,3324784640,26256531456,4,44040192,1515651072,17102733312,0,23068672,1087242240,6442319872
2831,12.3,3409571840,26256531456,2,50331648,1538719744,17102733312,0,50331648,1129185280,6442319872
2938,15.2,3429715968,26256531456,2,50331648,1538719744,17102733312,11,50331648,1129185280,6442319872
3044,31.9,3435364352,26256531456,21,50331648,1538719744,17102733312,46,54525952,1133379584,6442319872
3146,54.8,3435364352,26256531456,21,50331648,1538719744,17102733312,46,65011712,1143865344,6442319872
3248,59.7,3435868160,26256531456,21,50331648,1538719744,17102733312,57,85983232,1164836864,6442319872
