elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,3099496448,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
102,8.0,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
204,8.5,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
306,7.9,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
408,6.8,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
511,7.9,3100012544,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
613,7.4,3100012544,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
716,7.9,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
818,6.2,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
920,7.3,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1022,9.0,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1124,10.4,3100012544,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1227,9.1,3100012544,26256531456,0,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1328,7.4,3100012544,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1431,7.9,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1536,7.7,3100012544,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1638,7.9,3117043712,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1740,7.4,3136655360,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1842,9.1,3155234816,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
1944,6.7,3173298176,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2047,10.2,3191361536,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2149,10.9,3210457088,26256531456,1,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2251,9.1,3228004352,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2353,7.4,3246067712,26256531456,2,23068672,1494679552,17102733312,0,23068672,1085145088,6442319872
2455,12.6,3268288512,26256531456,2,44040192,1515651072,17102733312,0,23068672,1085145088,6442319872
2647,9.9,3314696192,26256531456,2,44040192,1515651072,17102733312,0,23068672,1087242240,6442319872
2772,15.3,3423723520,26256531456,2,50331648,1538719744,17102733312,4,50331648,1129185280,6442319872
2877,17.2,3423805440,26256531456,24,50331648,1538719744,17102733312,4,50331648,1129185280,6442319872
2979,17.6,3423805440,26256531456,24,50331648,1538719744,17102733312,81,50331648,1129185280,6442319872
3082,20.0,3424837632,26256531456,88,50331648,1538719744,17102733312,81,50331648,1129185280,6442319872
3184,23.9,3425869824,26256531456,88,50331648,1538719744,17102733312,85,50331648,1129185280,6442319872
3286,19.1,3426373632,26256531456,78,50331648,1538719744,17102733312,81,50331648,1129185280,6442319872
3388,17.8,3426373632,26256531456,78,50331648,1538719744,17102733312,81,50331648,1129185280,6442319872
3490,14.4,3426373632,26256531456,90,50331648,1538719744,17102733312,84,50331648,1129185280,6442319872
3592,15.8,3426373632,26256531456,90,50331648,1538719744,17102733312,84,50331648,1129185280,6442319872
3693,17.6,3426373632,26256531456,88,50331648,1538719744,17102733312,85,50331648,1129185280,6442319872
3795,15.3,3426373632,26256531456,88,50331648,1538719744,17102733312,83,50331648,1129185280,6442319872
3897,11.7,3426373632,26256531456,88,50331648,1538719744,17102733312,83,50331648,1129185280,6442319872
3999,23.7,3430502400,26256531456,88,50331648,1538719744,17102733312,65,52428800,1131282432,6442319872
4101,58.1,3431276544,26256531456,30,50331648,1538719744,17102733312,65,69206016,1148059648,6442319872
4203,57.1,3431272448,26256531456,30,50331648,1538719744,17102733312,74,83886080,1162739712,6442319872
4306,60.1,3431264256,26256531456,78,50331648,1538719744,17102733312,80,104857600,1183711232,6442319872
4409,57.1,3431264256,26256531456,78,50331648,1538719744,17102733312,80,125829120,1204682752,6442319872
4511,60.7,3431264256,26256531456,82,50331648,1538719744,17102733312,78,144703488,1223557120,6442319872
4613,39.3,3431264256,26256531456,83,50331648,1538719744,17102733312,86,155189248,1234042880,6442319872
4715,16.0,3431256064,26256531456,83,50331648,1538719744,17102733312,86,155189248,1234042880,6442319872
4818,16.4,3431256064,26256531456,72,50331648,1538719744,17102733312,93,155189248,1234042880,6442319872
4920,16.0,3431256064,26256531456,72,50331648,1538719744,17102733312,93,155189248,1234042880,6442319872
5023,18.1,3431256064,26256531456,83,50331648,1538719744,17102733312,93,155189248,1234042880,6442319872
5125,17.4,3431772160,26256531456,83,48234496,1536622592,17102733312,89,48234496,1127088128,6442319872
5227,57.1,3431772160,26256531456,83,50331648,1538719744,17102733312,89,67108864,1145962496,6442319872
5329,55.3,3431772160,26256531456,83,50331648,1538719744,17102733312,73,88080384,1166934016,6442319872
5431,59.5,3431772160,26256531456,74,50331648,1538719744,17102733312,73,111149056,1190002688,6442319872
5533,57.3,3431772160,26256531456,74,50331648,1538719744,17102733312,80,130023424,1208877056,6442319872
5635,60.4,3431772160,26256531456,86,50331648,1538719744,17102733312,85,150994944,1229848576,6442319872
5738,35.6,3431768064,26256531456,86,50331648,1538719744,17102733312,85,159383552,1238237184,6442319872
5840,18.0,3431768064,26256531456,77,50331648,1538719744,17102733312,87,159383552,1238237184,6442319872
5943,16.5,3431768064,26256531456,77,50331648,1538719744,17102733312,87,159383552,1238237184,6442319872
6046,14.3,3432284160,26256531456,87,50331648,1538719744,17102733312,93,159383552,1238237184,6442319872
6149,17.2,3432529920,26256531456,87,50331648,1538719744,17102733312,95,159383552,1238237184,6442319872
6254,15.5,3432529920,26256531456,90,48234496,1536622592,17102733312,95,48234496,1158545408,6442319872
6358,56.5,3432529920,26256531456,90,50331648,1538719744,17102733312,79,67108864,1145962496,6442319872
6460,60.1,3432529920,26256531456,74,50331648,1538719744,17102733312,83,85983232,1164836864,6442319872
6562,59.5,3432529920,26256531456,74,50331648,1538719744,17102733312,83,104857600,1183711232,6442319872
6664,59.9,3432529920,26256531456,80,50331648,1538719744,17102733312,88,123731968,1202585600,6442319872
6767,60.1,3432529920,26256531456,80,50331648,1538719744,17102733312,88,142606336,1221459968,6442319872
6869,41.2,3432529920,26256531456,82,50331648,1538719744,17102733312,88,155189248,1234042880,6442319872
6971,16.9,3432529920,26256531456,82,50331648,1538719744,17102733312,87,155189248,1234042880,6442319872
7073,20.4,3433046016,26256531456,90,50331648,1538719744,17102733312,87,155189248,1234042880,6442319872
7176,17.9,3433037824,26256531456,90,50331648,1538719744,17102733312,90,155189248,1234042880,6442319872
7278,18.8,3433037824,26256531456,90,50331648,1538719744,17102733312,94,155189248,1234042880,6442319872
7380,19.1,3433291776,26256531456,90,50331648,1538719744,17102733312,94,52428800,1131282432,6442319872
7482,59.9,3433291776,26256531456,71,50331648,1538719744,17102733312,81,69206016,1148059648,6442319872
7584,58.9,3434065920,26256531456,71,50331648,1538719744,17102733312,81,88080384,1166934016,6442319872
7686,62.5,3434065920,26256531456,83,50331648,1538719744,17102733312,82,106954752,1185808384,6442319872
7790,58.7,3434065920,26256531456,83,50331648,1538719744,17102733312,83,121634816,1200488448,6442319872
7893,57.1,3434065920,26256531456,79,50331648,1538719744,17102733312,83,140509184,1217265664,6442319872
