elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2660761600,26256531456,3,23068672,1364656128,17102733312,0,0,988676096,6442319872
103,9.6,2660761600,26256531456,3,23068672,1364656128,17102733312,0,0,988676096,6442319872
205,9.1,2660761600,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
308,8.6,2661793792,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
410,8.6,2661793792,26256531456,7,23068672,1364656128,17102733312,0,0,988676096,6442319872
513,9.1,2661793792,26256531456,7,23068672,1364656128,17102733312,0,0,988676096,6442319872
615,9.0,2661793792,26256531456,4,23068672,1364656128,17102733312,0,0,988676096,6442319872
718,7.3,2661793792,26256531456,4,23068672,1364656128,17102733312,0,0,988676096,6442319872
821,7.4,2661793792,26256531456,8,23068672,1364656128,17102733312,0,0,988676096,6442319872
923,7.3,2661793792,26256531456,8,23068672,1364656128,17102733312,0,0,988676096,6442319872
1026,9.7,2661793792,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
1128,9.1,2661793792,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
1230,7.4,2661793792,26256531456,4,23068672,1364656128,17102733312,0,0,988676096,6442319872
1332,8.6,2662825984,26256531456,4,23068672,1364656128,17102733312,0,0,988676096,6442319872
1435,7.9,2662825984,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
1538,8.0,2662825984,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
1640,9.8,2672631808,26256531456,5,23068672,1364656128,17102733312,0,0,988676096,6442319872
1742,7.4,2689662976,26256531456,5,23068672,1364656128,17102733312,0,0,988676096,6442319872
1845,6.7,2707726336,26256531456,9,23068672,1364656128,17102733312,0,0,988676096,6442319872
1947,8.4,2725273600,26256531456,9,23068672,1364656128,17102733312,0,0,988676096,6442319872
2050,6.7,2743336960,26256531456,3,23068672,1364656128,17102733312,0,0,988676096,6442319872
2156,7.7,2760368128,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
2258,6.7,2778431488,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
2360,14.5,2795462656,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
2463,7.4,2813526016,26256531456,6,23068672,1364656128,17102733312,0,0,988676096,6442319872
2565,10.2,2885779456,26256531456,5,50331648,1391919104,17102733312,0,0,988676096,6442319872
2669,7.9,2885779456,26256531456,5,50331648,1391919104,17102733312,0,0,988676096,6442319872
2771,10.8,2885779456,26256531456,38,50331648,1391919104,17102733312,0,0,988676096,6442319872
2873,7.4,2885779456,26256531456,38,50331648,1391919104,17102733312,0,0,988676096,6442319872
2976,8.5,2885779456,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
3078,7.4,2885779456,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
3181,7.4,2885779456,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
3282,10.4,2886553600,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
3384,13.0,2887065600,26256531456,29,50331648,1391919104,17102733312,0,0,988676096,6442319872
3487,12.1,2887065600,26256531456,29,50331648,1391919104,17102733312,0,0,988676096,6442319872
3589,9.8,2887053312,26256531456,25,50331648,1391919104,17102733312,0,0,988676096,6442319872
3691,6.2,2887053312,26256531456,25,50331648,1391919104,17102733312,0,0,988676096,6442319872
3793,9.1,2887053312,26256531456,30,50331648,1391919104,17102733312,0,0,988676096,6442319872
3895,7.5,2887311360,26256531456,30,50331648,1391919104,17102733312,0,0,988676096,6442319872
3997,10.2,2887827456,26256531456,27,50331648,1391919104,17102733312,0,0,988676096,6442319872
4099,10.2,2887819264,26256531456,27,50331648,1391919104,17102733312,0,0,988676096,6442319872
4201,8.1,2887819264,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
4303,10.4,2888335360,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
4405,10.4,2888593408,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
4507,8.6,2888220672,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
4609,8.6,2888220672,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
4711,10.3,2888220672,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
4814,18.3,2880901120,26256531456,31,50331648,1391919104,17102733312,0,0,988676096,6442319872
4915,8.0,2881159168,26256531456,31,50331648,1391919104,17102733312,0,0,988676096,6442319872
5018,8.5,2880040960,26256531456,28,50331648,1391919104,17102733312,0,0,988676096,6442319872
5120,7.4,2871832576,26256531456,28,50331648,1391919104,17102733312,0,0,988676096,6442319872
5223,10.3,2860277760,26256531456,30,50331648,1391919104,17102733312,0,0,988676096,6442319872
5325,14.5,2858557440,26256531456,30,50331648,1391919104,17102733312,0,0,988676096,6442319872
5426,6.8,2858557440,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
5528,8.0,2857811968,26256531456,32,50331648,1391919104,17102733312,0,0,988676096,6442319872
5630,6.7,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
5732,8.0,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
5834,7.8,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
5936,9.7,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6038,8.4,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6140,10.8,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6242,9.6,2856321024,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6344,13.3,2856837120,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6446,8.0,2856837120,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6548,7.4,2856837120,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6650,6.7,2856837120,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6752,7.4,2856837120,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6854,6.2,2856898560,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
6956,9.8,2856898560,26256531456,33,50331648,1391919104,17102733312,0,0,988676096,6442319872
7058,6.8,2856898560,26256531456,33,50331648,1391919104,17102733312,0,0,988676096,6442319872
7160,9.8,2856898560,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
7262,6.8,2856898560,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
7364,13.6,2864697344,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7466,5.6,2864697344,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7568,8.6,2864324608,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7670,7.3,2860224512,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7772,9.8,2860224512,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7874,10.2,2860224512,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
7976,7.4,2860224512,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
8079,7.9,2860224512,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
8181,6.7,2860224512,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8283,10.4,2860224512,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8386,9.1,2856755200,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8488,8.5,2856755200,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8590,8.5,2856755200,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
8692,6.7,2856755200,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
8793,8.1,2856755200,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8896,8.5,2856755200,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
8998,6.9,2856755200,26256531456,33,50331648,1391919104,17102733312,0,0,988676096,6442319872
9100,8.0,2856755200,26256531456,33,50331648,1391919104,17102733312,0,0,988676096,6442319872
9202,6.2,2857271296,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
9305,12.0,2857529344,26256531456,35,50331648,1391919104,17102733312,0,0,988676096,6442319872
9407,9.7,2857152512,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
9508,8.1,2857152512,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
9610,7.9,2857152512,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
9712,9.1,2857152512,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
9814,7.4,2857410560,26256531456,34,50331648,1391919104,17102733312,0,0,988676096,6442319872
9916,8.0,2857410560,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10018,9.0,2857410560,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10120,9.6,2857410560,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10222,8.5,2857410560,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10324,10.4,2857926656,26256531456,37,50331648,1391919104,17102733312,0,0,988676096,6442319872
10426,7.9,2857926656,26256531456,37,50331648,1391919104,17102733312,0,0,988676096,6442319872
10528,10.3,2857926656,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10630,9.0,2857926656,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10732,9.6,2857926656,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
10834,8.5,2857926656,26256531456,36,50331648,1391919104,17102733312,0,0,988676096,6442319872
