elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2975666176,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
103,9.7,2976083968,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
206,7.3,2976083968,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
308,7.4,2976083968,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
411,7.3,2976083968,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
514,7.9,2991566848,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
617,8.0,3011178496,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
719,6.7,3029757952,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
822,8.6,3048079360,26256531456,0,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
924,12.5,3065884672,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
1027,7.4,3083948032,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
1129,8.5,3101495296,26256531456,2,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
1232,7.9,3119042560,26256531456,2,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
1334,7.9,3136589824,26256531456,1,23068672,1482096640,17102733312,0,23068672,1072562176,6442319872
1437,5.6,3139170304,26256531456,1,44040192,1503068160,17102733312,2,44040192,1093533696,6442319872
1542,7.9,3159539712,26256531456,2,44040192,1503068160,17102733312,0,44040192,1095630848,6442319872
1652,14.1,3231117312,26256531456,2,46137344,1521942528,17102733312,0,44040192,1110310912,6442319872
1755,8.6,3239890944,26256531456,2,48234496,1524039680,17102733312,13,46137344,1112408064,6442319872
1859,8.3,3248218112,26256531456,58,48234496,1524039680,17102733312,85,46137344,1112408064,6442319872
1961,8.1,3248476160,26256531456,58,48234496,1524039680,17102733312,85,46137344,1112408064,6442319872
2064,10.3,3249356800,26256531456,49,48234496,1524039680,17102733312,57,46137344,1112408064,6442319872
2166,9.7,3249356800,26256531456,49,48234496,1524039680,17102733312,57,46137344,1112408064,6442319872
2268,9.1,3258646528,26256531456,47,48234496,1524039680,17102733312,56,46137344,1112408064,6442319872
2370,10.8,3258646528,26256531456,47,48234496,1524039680,17102733312,50,46137344,1112408064,6442319872
2472,10.4,3258904576,26256531456,47,48234496,1524039680,17102733312,50,46137344,1112408064,6442319872
2574,12.0,3258904576,26256531456,47,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
2677,7.9,3258904576,26256531456,48,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
2780,9.1,3258904576,26256531456,48,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
2882,12.0,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
2984,10.2,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
3086,9.2,3258904576,26256531456,49,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
3188,8.5,3258904576,26256531456,49,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
3290,10.8,3258904576,26256531456,49,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
3393,10.2,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
3495,9.8,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
3597,11.9,3258904576,26256531456,49,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
3699,8.0,3258904576,26256531456,50,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
3802,8.5,3258904576,26256531456,50,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
3904,11.7,3258904576,26256531456,48,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
4006,9.1,3258904576,26256531456,48,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
4109,6.8,3258904576,26256531456,48,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
4211,9.7,3258904576,26256531456,48,48234496,1524039680,17102733312,50,46137344,1112408064,6442319872
4313,8.6,3258904576,26256531456,49,48234496,1524039680,17102733312,50,46137344,1112408064,6442319872
4415,8.5,3258904576,26256531456,49,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
4517,9.2,3258904576,26256531456,49,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
4619,8.6,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
4721,11.8,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
4823,10.2,3258904576,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
4926,16.1,3259162624,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
5028,9.1,3259162624,26256531456,49,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
5130,11.9,3259162624,26256531456,48,48234496,1524039680,17102733312,52,46137344,1112408064,6442319872
5232,10.8,3259162624,26256531456,48,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
5334,10.8,3259162624,26256531456,48,48234496,1524039680,17102733312,51,46137344,1112408064,6442319872
5436,8.6,3259162624,26256531456,48,48234496,1524039680,17102733312,54,46137344,1112408064,6442319872
5538,8.6,3259162624,26256531456,50,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
5639,9.1,3259162624,26256531456,50,48234496,1524039680,17102733312,53,46137344,1112408064,6442319872
