elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5278679040,26256531456,3,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
103,6.7,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
206,7.9,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
310,7.9,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
413,7.3,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
516,6.1,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
620,7.9,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
723,7.3,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
826,7.4,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
929,7.8,5278679040,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1032,10.4,5279195136,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1135,7.9,5279453184,26256531456,2,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1238,7.9,5279453184,26256531456,2,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1341,7.9,5279453184,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1444,9.6,5279453184,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1548,9.6,5279453184,26256531456,1,73400320,1431764992,17102733312,0,199229440,1231945728,6442319872
1650,10.9,5281001472,26256531456,1,35651584,1394016256,17102733312,0,31457280,1097728000,6442319872
1756,17.6,5295763456,26256531456,2,52428800,1410793472,17102733312,22,48234496,1080950784,6442319872
1859,17.0,5296279552,26256531456,19,52428800,1410793472,17102733312,22,44040192,1076756480,6442319872
1963,43.1,5301174272,26256531456,19,52428800,1410793472,17102733312,39,65011712,1097728000,6442319872
2065,19.4,5301948416,26256531456,19,52428800,1410793472,17102733312,39,65011712,1097728000,6442319872
2168,30.7,5301948416,26256531456,19,52428800,1410793472,17102733312,41,58720256,1091436544,6442319872
2270,50.6,5302722560,26256531456,20,52428800,1410793472,17102733312,37,81788928,1112408064,6442319872
2374,56.3,5302722560,26256531456,20,52428800,1410793472,17102733312,37,109051904,1141768192,6442319872
2478,39.2,5302722560,26256531456,19,52428800,1410793472,17102733312,35,121634816,1154351104,6442319872
2581,17.0,5303468032,26256531456,19,52428800,1410793472,17102733312,35,121634816,1154351104,6442319872
2683,15.9,5303468032,26256531456,22,52428800,1410793472,17102733312,43,121634816,1154351104,6442319872
2786,18.0,5303468032,26256531456,22,52428800,1410793472,17102733312,51,121634816,1154351104,6442319872
2890,13.4,5303468032,26256531456,22,52428800,1410793472,17102733312,51,121634816,1154351104,6442319872
2992,18.0,5303984128,26256531456,22,52428800,1410793472,17102733312,52,121634816,1154351104,6442319872
3095,16.9,5305016320,26256531456,23,52428800,1410793472,17102733312,52,121634816,1154351104,6442319872
3197,32.9,5305016320,26256531456,23,52428800,1410793472,17102733312,51,58720256,1091436544,6442319872
3299,36.6,5304758272,26256531456,19,52428800,1410793472,17102733312,34,75497472,1108213760,6442319872
3401,15.9,5304758272,26256531456,19,52428800,1410793472,17102733312,34,75497472,1108213760,6442319872
3504,15.3,5304758272,26256531456,23,52428800,1410793472,17102733312,34,69206016,1101922304,6442319872
3606,17.2,5305016320,26256531456,23,52428800,1410793472,17102733312,33,69206016,1101922304,6442319872
3710,24.8,5305016320,26256531456,23,52428800,1410793472,17102733312,33,50331648,1083047936,6442319872
3812,43.4,5305016320,26256531456,23,52428800,1410793472,17102733312,34,65011712,1097728000,6442319872
3915,51.2,5307080704,26256531456,19,52428800,1410793472,17102733312,34,90177536,1122893824,6442319872
4019,67.1,5307338752,26256531456,19,52428800,1410793472,17102733312,32,113246208,1145962496,6442319872
4122,69.1,5307830272,26256531456,18,52428800,1410793472,17102733312,27,140509184,1171128320,6442319872
4225,52.8,5307830272,26256531456,18,52428800,1410793472,17102733312,27,165675008,1198391296,6442319872
4328,53.6,5305593856,26256531456,20,52428800,1410793472,17102733312,37,186646528,1219362816,6442319872
4431,13.3,5305593856,26256531456,20,52428800,1410793472,17102733312,37,186646528,1219362816,6442319872
4534,15.1,5305593856,26256531456,18,52428800,1410793472,17102733312,48,186646528,1219362816,6442319872
4637,17.1,5305593856,26256531456,18,52428800,1410793472,17102733312,42,186646528,1219362816,6442319872
4740,12.3,5305593856,26256531456,22,52428800,1410793472,17102733312,42,186646528,1219362816,6442319872
4844,16.5,5305593856,26256531456,22,52428800,1410793472,17102733312,53,186646528,1219362816,6442319872
4946,14.8,5306077184,26256531456,23,52428800,1410793472,17102733312,53,186646528,1219362816,6442319872
5049,18.3,5306077184,26256531456,23,52428800,1410793472,17102733312,51,186646528,1219362816,6442319872
5151,15.8,5306335232,26256531456,20,52428800,1410793472,17102733312,50,186646528,1219362816,6442319872
5254,17.0,5306851328,26256531456,20,52428800,1410793472,17102733312,50,186646528,1219362816,6442319872
5356,14.2,5306105856,26256531456,21,52428800,1410793472,17102733312,42,186646528,1219362816,6442319872
5460,13.4,5306105856,26256531456,21,52428800,1410793472,17102733312,45,186646528,1219362816,6442319872
5562,15.4,5306363904,26256531456,20,52428800,1410793472,17102733312,45,186646528,1219362816,6442319872
