elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5282500608,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
102,8.4,5282496512,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
204,9.1,5282496512,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
307,7.3,5282496512,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
409,8.6,5282496512,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
511,6.7,5282496512,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
613,6.8,5282496512,26256531456,0,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
716,7.9,5282496512,26256531456,0,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
818,10.3,5283528704,26256531456,2,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
920,8.0,5283786752,26256531456,2,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1023,7.9,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1126,7.4,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1228,9.0,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1330,6.8,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1432,9.1,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1535,7.9,5283786752,26256531456,1,73400320,1431764992,17102733312,0,201326592,1234042880,6442319872
1637,8.7,5278728192,26256531456,1,52428800,1410793472,17102733312,1,48234496,1080950784,6442319872
1738,18.3,5294522368,26256531456,1,52428800,1410793472,17102733312,1,48234496,1080950784,6442319872
1841,18.3,5295296512,26256531456,20,52428800,1410793472,17102733312,29,48234496,1080950784,6442319872
1944,44.4,5300199424,26256531456,20,52428800,1410793472,17102733312,32,73400320,1106116608,6442319872
2046,57.1,5299052544,26256531456,21,52428800,1410793472,17102733312,32,98566144,1131282432,6442319872
2148,56.3,5299310592,26256531456,21,52428800,1410793472,17102733312,39,123731968,1156448256,6442319872
2251,42.1,5300228096,26256531456,18,52428800,1410793472,17102733312,39,138412032,1171128320,6442319872
2352,13.6,5300084736,26256531456,18,52428800,1410793472,17102733312,38,138412032,1171128320,6442319872
2455,15.2,5300084736,26256531456,20,52428800,1410793472,17102733312,52,127926272,1160642560,6442319872
2557,14.4,5300600832,26256531456,20,52428800,1410793472,17102733312,52,127926272,1160642560,6442319872
2660,20.0,5301690368,26256531456,22,52428800,1410793472,17102733312,50,127926272,1160642560,6442319872
2763,16.8,5301948416,26256531456,22,52428800,1410793472,17102733312,50,127926272,1160642560,6442319872
2866,18.8,5299912704,26256531456,24,52428800,1410793472,17102733312,52,127926272,1160642560,6442319872
2968,14.1,5300170752,26256531456,24,52428800,1410793472,17102733312,51,127926272,1160642560,6442319872
3070,28.0,5300170752,26256531456,22,52428800,1410793472,17102733312,51,56623104,1089339392,6442319872
3172,40.6,5299908608,26256531456,22,52428800,1410793472,17102733312,43,71303168,1104019456,6442319872
3274,18.0,5299908608,26256531456,22,52428800,1410793472,17102733312,49,71303168,1104019456,6442319872
3376,28.2,5300424704,26256531456,23,52428800,1410793472,17102733312,49,58720256,1091436544,6442319872
3479,21.6,5300424704,26256531456,23,52428800,1410793472,17102733312,46,62914560,1095630848,6442319872
3583,28.0,5303263232,26256531456,20,52428800,1410793472,17102733312,46,54525952,1085145088,6442319872
3686,54.3,5302919168,26256531456,20,52428800,1410793472,17102733312,40,77594624,1110310912,6442319872
3788,57.4,5303435264,26256531456,18,52428800,1410793472,17102733312,35,104857600,1137573888,6442319872
