elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5296836608,26256531456,2,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
102,9.1,5282820096,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
204,7.9,5282820096,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
306,9.0,5283078144,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
408,10.3,5283078144,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
510,6.2,5283078144,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
612,7.4,5283078144,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
714,14.8,5286432768,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
816,7.9,5285142528,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
919,9.6,5285142528,26256531456,3,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1021,9.7,5299593216,26256531456,3,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1125,7.9,5297012736,26256531456,2,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1226,7.9,5297012736,26256531456,2,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1328,8.5,5297528832,26256531456,1,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1431,13.7,5292093440,26256531456,2,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1534,7.3,5283307520,26256531456,2,73400320,1431764992,17102733312,0,224395264,1257111552,6442319872
1636,9.2,5270212608,26256531456,4,39845888,1398210560,17102733312,0,35651584,1068367872,6442319872
1739,23.0,5289443328,26256531456,4,52428800,1410793472,17102733312,5,48234496,1080950784,6442319872
1843,22.8,5292769280,26256531456,32,52428800,1410793472,17102733312,26,48234496,1080950784,6442319872
1945,22.3,5301280768,26256531456,32,52428800,1410793472,17102733312,26,48234496,1080950784,6442319872
2046,21.9,5293441024,26256531456,21,52428800,1410793472,17102733312,23,48234496,1080950784,6442319872
2149,24.2,5294444544,26256531456,21,52428800,1410793472,17102733312,23,48234496,1080950784,6442319872
2252,24.1,5291565056,26256531456,21,52428800,1410793472,17102733312,27,48234496,1080950784,6442319872
2354,24.4,5293371392,26256531456,21,52428800,1410793472,17102733312,27,48234496,1080950784,6442319872
2456,20.1,5293658112,26256531456,20,52428800,1410793472,17102733312,27,48234496,1080950784,6442319872
2559,24.1,5292969984,26256531456,20,52428800,1410793472,17102733312,27,48234496,1080950784,6442319872
2661,27.1,5292392448,26256531456,18,52428800,1410793472,17102733312,25,48234496,1080950784,6442319872
2763,21.7,5293432832,26256531456,18,52428800,1410793472,17102733312,25,48234496,1080950784,6442319872
