elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
103,8.4,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
207,8.3,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
311,7.8,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
414,8.4,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
517,9.7,7205519360,26256531456,0,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
620,7.3,7205519360,26256531456,0,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
723,9.1,7205519360,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
826,6.7,7205515264,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
929,8.4,7205515264,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1032,8.5,7205515264,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1136,10.2,7205515264,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1238,8.5,7205515264,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1342,11.4,7206248448,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1445,7.9,7206248448,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1548,11.9,7206764544,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1650,11.9,7207018496,26256531456,1,31457280,1509359616,17102733312,0,23068672,1091436544,6442319872
1842,7.3,7214923776,26256531456,2,31457280,1509359616,17102733312,0,23068672,1093533696,6442319872
1963,17.8,7260602368,26256531456,2,52428800,1547108352,17102733312,10,48234496,1133379584,6442319872
2069,14.5,7260987392,26256531456,2,52428800,1547108352,17102733312,10,48234496,1133379584,6442319872
2173,38.0,7260987392,26256531456,17,52428800,1547108352,17102733312,37,62914560,1148059648,6442319872
2275,21.6,7261245440,26256531456,17,52428800,1547108352,17102733312,41,65011712,1150156800,6442319872
