elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5861646336,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
103,7.9,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
206,6.7,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
309,8.4,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
413,7.4,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
516,7.3,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
619,7.9,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
722,6.7,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
825,7.3,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
928,6.7,5862162432,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1031,7.4,5862342656,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1134,15.6,5862846464,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1237,7.9,5862846464,26256531456,2,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1340,7.3,5862846464,26256531456,2,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1443,7.3,5862846464,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1546,7.3,5862846464,26256531456,1,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1648,13.1,5864390656,26256531456,2,75497472,1553399808,17102733312,0,186646528,1255014400,6442319872
1793,8.7,5875814400,26256531456,1,75497472,1553399808,17102733312,0,186646528,1257111552,6442319872
1904,13.1,5919653888,26256531456,1,52428800,1547108352,17102733312,13,48234496,1133379584,6442319872
2008,14.3,5919911936,26256531456,15,52428800,1547108352,17102733312,13,48234496,1133379584,6442319872
2111,37.3,5922234368,26256531456,15,52428800,1547108352,17102733312,38,58720256,1143865344,6442319872
2214,25.7,5922234368,26256531456,25,52428800,1547108352,17102733312,38,65011712,1150156800,6442319872
2317,26.7,5922234368,26256531456,25,52428800,1547108352,17102733312,48,56623104,1141768192,6442319872
2419,52.3,5922234368,26256531456,27,52428800,1547108352,17102733312,45,81788928,1166934016,6442319872
2521,56.0,5922234368,26256531456,27,52428800,1547108352,17102733312,45,106954752,1192099840,6442319872
2624,16.7,5922234368,26256531456,25,52428800,1547108352,17102733312,48,106954752,1192099840,6442319872
2729,13.3,5922234368,26256531456,25,52428800,1547108352,17102733312,48,106954752,1192099840,6442319872
2832,13.8,5922234368,26256531456,24,52428800,1547108352,17102733312,51,106954752,1192099840,6442319872
2934,13.4,5922234368,26256531456,24,52428800,1547108352,17102733312,53,106954752,1192099840,6442319872
3038,16.7,5922463744,26256531456,25,52428800,1547108352,17102733312,53,106954752,1192099840,6442319872
3140,40.0,5922971648,26256531456,25,52428800,1547108352,17102733312,57,62914560,1148059648,6442319872
3244,41.4,5922971648,26256531456,23,52428800,1547108352,17102733312,44,77594624,1162739712,6442319872
3348,14.5,5922971648,26256531456,23,52428800,1547108352,17102733312,44,77594624,1162739712,6442319872
3451,14.1,5922971648,26256531456,24,52428800,1547108352,17102733312,58,77594624,1162739712,6442319872
3553,42.2,5922967552,26256531456,24,52428800,1547108352,17102733312,58,62914560,1148059648,6442319872
3656,14.2,5922967552,26256531456,25,52428800,1547108352,17102733312,48,56623104,1141768192,6442319872
3760,19.0,5922967552,26256531456,25,52428800,1547108352,17102733312,45,46137344,1131282432,6442319872
3862,52.1,5922967552,26256531456,23,52428800,1547108352,17102733312,45,67108864,1152253952,6442319872
3965,57.3,5922967552,26256531456,23,52428800,1547108352,17102733312,37,98566144,1183711232,6442319872
4068,57.4,5922967552,26256531456,24,52428800,1547108352,17102733312,37,125829120,1210974208,6442319872
4171,61.2,5922967552,26256531456,24,52428800,1547108352,17102733312,44,153092096,1238237184,6442319872
4273,33.7,5922967552,26256531456,23,52428800,1547108352,17102733312,45,167772160,1252917248,6442319872
4376,13.0,5922967552,26256531456,23,52428800,1547108352,17102733312,45,167772160,1252917248,6442319872
4479,15.1,5922967552,26256531456,24,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
4581,14.7,5922967552,26256531456,24,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
4683,15.3,5922967552,26256531456,26,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
4785,16.8,5922967552,26256531456,27,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
4890,14.7,5922967552,26256531456,27,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
4992,14.1,5922967552,26256531456,28,52428800,1547108352,17102733312,52,167772160,1252917248,6442319872
5094,17.3,5922967552,26256531456,28,52428800,1547108352,17102733312,49,167772160,1252917248,6442319872
5201,15.0,5923225600,26256531456,26,52428800,1547108352,17102733312,49,167772160,1252917248,6442319872
5303,16.8,5923225600,26256531456,26,52428800,1547108352,17102733312,48,167772160,1252917248,6442319872
5405,15.2,5923221504,26256531456,26,52428800,1547108352,17102733312,48,167772160,1252917248,6442319872
5508,7.4,5923221504,26256531456,26,52428800,1547108352,17102733312,42,167772160,1252917248,6442319872
5610,9.2,5923221504,26256531456,29,52428800,1547108352,17102733312,0,167772160,1252917248,6442319872
5712,7.5,5923221504,26256531456,29,52428800,1547108352,17102733312,0,167772160,1252917248,6442319872
5814,14.5,5923737600,26256531456,28,52428800,1547108352,17102733312,0,52428800,1137573888,6442319872
5917,58.0,5923737600,26256531456,28,52428800,1547108352,17102733312,0,77594624,1162739712,6442319872
6020,58.1,5923737600,26256531456,23,52428800,1547108352,17102733312,30,102760448,1187905536,6442319872
6123,61.9,5924769792,26256531456,23,52428800,1547108352,17102733312,42,134217728,1219362816,6442319872
6225,57.4,5924769792,26256531456,21,52428800,1547108352,17102733312,42,163577856,1248722944,6442319872
6329,29.4,5924769792,26256531456,21,52428800,1547108352,17102733312,42,174063616,1259208704,6442319872
6433,14.9,5924769792,26256531456,23,52428800,1547108352,17102733312,60,174063616,1259208704,6442319872
6535,14.3,5924769792,26256531456,23,52428800,1547108352,17102733312,60,174063616,1259208704,6442319872
6638,17.2,5924769792,26256531456,26,52428800,1547108352,17102733312,54,174063616,1259208704,6442319872
6742,13.3,5924769792,26256531456,26,52428800,1547108352,17102733312,54,174063616,1259208704,6442319872
6844,15.8,5924769792,26256531456,25,52428800,1547108352,17102733312,55,174063616,1259208704,6442319872
6948,15.6,5924769792,26256531456,25,52428800,1547108352,17102733312,59,174063616,1259208704,6442319872
7050,17.5,5924769792,26256531456,25,52428800,1547108352,17102733312,59,174063616,1259208704,6442319872
7153,16.5,5925285888,26256531456,25,52428800,1547108352,17102733312,56,174063616,1259208704,6442319872
7256,13.0,5925285888,26256531456,26,52428800,1547108352,17102733312,56,174063616,1259208704,6442319872
7358,15.2,5925285888,26256531456,26,52428800,1547108352,17102733312,60,174063616,1259208704,6442319872
7461,11.4,5925285888,26256531456,25,52428800,1547108352,17102733312,42,174063616,1259208704,6442319872
7563,8.0,5925285888,26256531456,25,52428800,1547108352,17102733312,42,174063616,1259208704,6442319872
7665,10.4,5925801984,26256531456,29,52428800,1547108352,17102733312,0,174063616,1259208704,6442319872
7767,10.3,5925801984,26256531456,29,52428800,1547108352,17102733312,0,174063616,1259208704,6442319872
7869,34.6,5925801984,26256531456,29,52428800,1547108352,17102733312,0,62914560,1148059648,6442319872
7971,58.6,5925801984,26256531456,29,52428800,1547108352,17102733312,29,88080384,1173225472,6442319872
8074,58.9,5926318080,26256531456,24,52428800,1547108352,17102733312,29,117440512,1202585600,6442319872
8176,58.6,5926318080,26256531456,24,52428800,1547108352,17102733312,38,144703488,1229848576,6442319872
8279,61.7,5926318080,26256531456,21,52428800,1547108352,17102733312,34,171966464,1255014400,6442319872
8382,22.7,5926318080,26256531456,21,52428800,1547108352,17102733312,34,174063616,1259208704,6442319872
8486,15.2,5926313984,26256531456,21,52428800,1547108352,17102733312,48,174063616,1259208704,6442319872
8590,16.9,5926313984,26256531456,22,52428800,1547108352,17102733312,48,174063616,1259208704,6442319872
8693,15.8,5930958848,26256531456,22,52428800,1547108352,17102733312,53,174063616,1259208704,6442319872
8795,18.6,5942312960,26256531456,25,52428800,1547108352,17102733312,53,174063616,1259208704,6442319872
8898,17.5,5942829056,26256531456,25,52428800,1547108352,17102733312,53,174063616,1259208704,6442319872
9000,14.0,5942829056,26256531456,26,52428800,1547108352,17102733312,53,174063616,1259208704,6442319872
9104,17.6,5938757632,26256531456,26,52428800,1547108352,17102733312,57,174063616,1259208704,6442319872
9207,14.5,5929668608,26256531456,26,52428800,1547108352,17102733312,57,174063616,1259208704,6442319872
9309,15.2,5929410560,26256531456,26,52428800,1547108352,17102733312,52,174063616,1259208704,6442319872
9412,13.0,5929410560,26256531456,25,52428800,1547108352,17102733312,52,174063616,1259208704,6442319872
9515,12.3,5929410560,26256531456,25,52428800,1547108352,17102733312,57,174063616,1259208704,6442319872
9617,8.5,5929410560,26256531456,28,52428800,1547108352,17102733312,18,174063616,1259208704,6442319872
9719,10.2,5929410560,26256531456,28,52428800,1547108352,17102733312,18,174063616,1259208704,6442319872
9821,7.4,5929410560,26256531456,29,52428800,1547108352,17102733312,0,174063616,1259208704,6442319872
9924,46.2,5930057728,26256531456,29,52428800,1547108352,17102733312,0,69206016,1154351104,6442319872
10026,60.9,5930057728,26256531456,25,52428800,1547108352,17102733312,23,96468992,1181614080,6442319872
10129,62.0,5930573824,26256531456,25,52428800,1547108352,17102733312,44,123731968,1208877056,6442319872
10232,55.5,5930573824,26256531456,21,52428800,1547108352,17102733312,44,148897792,1234042880,6442319872
10335,54.6,5930573824,26256531456,21,52428800,1547108352,17102733312,41,171966464,1257111552,6442319872
10438,14.6,5930573824,26256531456,22,52428800,1547108352,17102733312,50,171966464,1257111552,6442319872
10543,15.7,5930573824,26256531456,22,52428800,1547108352,17102733312,50,171966464,1257111552,6442319872
10646,17.5,5927448576,26256531456,20,52428800,1547108352,17102733312,58,171966464,1257111552,6442319872
10748,14.9,5927706624,26256531456,20,52428800,1547108352,17102733312,58,171966464,1257111552,6442319872
10850,15.4,5927706624,26256531456,24,52428800,1547108352,17102733312,57,171966464,1257111552,6442319872
10955,15.8,5927706624,26256531456,24,52428800,1547108352,17102733312,57,171966464,1257111552,6442319872
11057,17.2,5928787968,26256531456,24,52428800,1547108352,17102733312,57,171966464,1257111552,6442319872
11161,23.5,5928787968,26256531456,24,52428800,1547108352,17102733312,51,171966464,1257111552,6442319872
11263,12.4,5928787968,26256531456,21,52428800,1547108352,17102733312,51,171966464,1257111552,6442319872
11365,16.5,5928787968,26256531456,21,52428800,1547108352,17102733312,54,171966464,1257111552,6442319872
11469,13.2,5928787968,26256531456,25,52428800,1547108352,17102733312,49,171966464,1257111552,6442319872
11571,8.0,5928787968,26256531456,24,52428800,1547108352,17102733312,49,171966464,1257111552,6442319872
11673,10.2,5928787968,26256531456,24,52428800,1547108352,17102733312,10,171966464,1257111552,6442319872
11774,8.1,5928787968,26256531456,21,52428800,1547108352,17102733312,0,171966464,1257111552,6442319872
11876,6.8,5928787968,26256531456,21,52428800,1547108352,17102733312,0,171966464,1257111552,6442319872
11978,7.4,5928787968,26256531456,22,52428800,1547108352,17102733312,0,171966464,1257111552,6442319872
