elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
102,8.5,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
204,7.3,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
306,9.1,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
408,6.8,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
510,8.5,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
613,7.4,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
715,8.5,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
817,6.7,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
920,9.8,5840457728,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1022,10.7,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1124,8.5,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1226,6.2,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1328,8.5,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1432,6.6,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1535,9.7,5840416768,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1637,8.6,5840703488,26256531456,1,73400320,1551302656,17102733312,0,201326592,1269694464,6442319872
1791,8.3,5863690240,26256531456,1,73400320,1551302656,17102733312,0,201326592,1271791616,6442319872
1904,13.9,5905395712,26256531456,1,52428800,1547108352,17102733312,0,48234496,1133379584,6442319872
2006,15.3,5901512704,26256531456,25,52428800,1547108352,17102733312,26,48234496,1133379584,6442319872
2108,15.1,5901512704,26256531456,25,52428800,1547108352,17102733312,26,48234496,1133379584,6442319872
