elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4767444992,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
102,7.4,4767444992,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
205,8.5,4767444992,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
307,14.2,4768219136,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
410,10.2,4768219136,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
512,9.6,4768219136,26256531456,1,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
614,8.6,4768219136,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
717,8.0,4768477184,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
820,6.2,4768477184,26256531456,0,243269632,1708589056,17102733312,0,157286400,1210974208,6442319872
988,6.9,4766875648,26256531456,1,243269632,1708589056,17102733312,0,157286400,1213071360,6442319872
1092,10.8,4802777088,26256531456,1,243269632,1725366272,17102733312,0,157286400,1227751424,6442319872
1195,8.7,4802129920,26256531456,21,243269632,1725366272,17102733312,0,157286400,1227751424,6442319872
1298,15.3,4802646016,26256531456,21,243269632,1725366272,17102733312,35,157286400,1227751424,6442319872
1400,9.1,4802904064,26256531456,37,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
1502,10.8,4802904064,26256531456,37,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
1604,10.2,4802904064,26256531456,38,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
1707,9.2,4803162112,26256531456,38,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
1811,10.3,4803162112,26256531456,38,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
1914,14.0,4802789376,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2016,11.4,4802789376,26256531456,37,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2118,12.1,4803047424,26256531456,37,243269632,1725366272,17102733312,39,157286400,1227751424,6442319872
2221,11.5,4803047424,26256531456,35,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
2324,13.3,4804079616,26256531456,35,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
2427,13.0,4804079616,26256531456,37,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
2530,13.6,4804337664,26256531456,37,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
2632,10.8,4804337664,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2735,8.0,4804337664,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2837,11.4,4804337664,26256531456,36,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2940,10.2,4804337664,26256531456,36,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
3042,10.5,4804337664,26256531456,38,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
3145,13.6,4804595712,26256531456,38,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
3251,12.1,4805627904,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
3356,12.4,4805255168,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
3458,9.1,4805255168,26256531456,37,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
3560,9.8,4805255168,26256531456,37,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
3663,6.2,4805255168,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
3766,11.0,4805513216,26256531456,40,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
3870,9.7,4805513216,26256531456,40,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
3972,12.0,4805513216,26256531456,39,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
4074,13.0,4805513216,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
4176,14.1,4805513216,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
4279,13.3,4806803456,26256531456,39,243269632,1725366272,17102733312,45,157286400,1227751424,6442319872
4381,15.0,4806803456,26256531456,39,243269632,1725366272,17102733312,45,157286400,1227751424,6442319872
4483,11.0,4806803456,26256531456,39,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
4586,10.4,4806803456,26256531456,38,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
4688,12.5,4806803456,26256531456,38,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
4790,11.4,4807061504,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
4892,11.4,4807061504,26256531456,39,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
4995,12.5,4807061504,26256531456,39,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
5097,10.4,4807061504,26256531456,39,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
5200,10.3,4807319552,26256531456,37,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
5302,16.5,4808347648,26256531456,37,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
5404,12.9,4808339456,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
5506,13.4,4808339456,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
5609,11.9,4808224768,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
5711,11.4,4804718592,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
5814,11.4,4804718592,26256531456,37,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
5916,13.0,4804718592,26256531456,37,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
6018,12.6,4804718592,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
6120,14.1,4804976640,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
6223,12.4,4804976640,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
6326,28.5,4806782976,26256531456,39,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
6428,12.0,4807041024,26256531456,38,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
6530,10.2,4807041024,26256531456,38,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
6632,13.0,4796977152,26256531456,39,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
6735,21.3,4799631360,26256531456,39,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
6837,9.8,4799889408,26256531456,38,243269632,1725366272,17102733312,41,157286400,1227751424,6442319872
6939,11.3,4799889408,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7041,12.5,4799889408,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7145,8.4,4800921600,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7247,9.1,4800921600,26256531456,40,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
7350,16.1,4801208320,26256531456,40,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
7452,11.0,4800835584,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7554,9.8,4801093632,26256531456,40,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7657,9.1,4801093632,26256531456,40,243269632,1725366272,17102733312,44,157286400,1227751424,6442319872
7759,9.1,4800720896,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
7861,9.2,4800720896,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
