elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
101,7.4,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
203,7.4,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
305,9.7,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
407,6.8,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
509,9.6,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
611,9.3,5290598400,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
713,18.3,5290856448,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
815,8.6,5290856448,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
917,9.7,5290856448,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1019,10.9,5304201216,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1121,8.0,5304201216,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1224,7.4,5304201216,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1326,21.6,5301035008,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1428,9.6,5294698496,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1530,10.8,5294698496,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1632,13.9,5301407744,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1737,17.8,5302697984,26256531456,10,73400320,1431764992,17102733312,11,65011712,1097728000,6442319872
1839,18.4,5295837184,26256531456,10,73400320,1431764992,17102733312,11,65011712,1097728000,6442319872
1941,15.8,5295837184,26256531456,25,73400320,1431764992,17102733312,40,65011712,1097728000,6442319872
2043,39.6,5296353280,26256531456,25,73400320,1431764992,17102733312,33,81788928,1114505216,6442319872
2144,14.7,5296353280,26256531456,26,73400320,1431764992,17102733312,33,81788928,1114505216,6442319872
2247,16.9,5313122304,26256531456,26,73400320,1431764992,17102733312,29,81788928,1114505216,6442319872
