elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5270454272,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
102,6.8,5270454272,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
204,7.9,5270454272,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
306,8.5,5270454272,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
409,8.0,5270454272,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
511,8.6,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
613,7.3,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
716,8.0,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
818,6.7,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
920,6.7,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1023,7.3,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1125,6.7,5270712320,26256531456,0,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1228,9.1,5270712320,26256531456,0,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1330,7.9,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1432,13.7,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1535,11.7,5270712320,26256531456,1,58720256,1417084928,17102733312,0,262144000,1294860288,6442319872
1637,9.3,5277790208,26256531456,1,44040192,1402404864,17102733312,0,35651584,1171128320,6442319872
1748,17.0,5277663232,26256531456,6,73400320,1431764992,17102733312,25,65011712,1097728000,6442319872
1850,17.4,5270228992,26256531456,6,73400320,1431764992,17102733312,25,65011712,1097728000,6442319872
1953,15.6,5270228992,26256531456,27,73400320,1431764992,17102733312,47,65011712,1097728000,6442319872
2055,45.1,5272604672,26256531456,27,73400320,1431764992,17102733312,47,88080384,1120796672,6442319872
2157,54.1,5268733952,26256531456,21,73400320,1431764992,17102733312,39,115343360,1148059648,6442319872
2260,37.4,5268733952,26256531456,21,73400320,1431764992,17102733312,48,130023424,1162739712,6442319872
2363,16.8,5268733952,26256531456,23,73400320,1431764992,17102733312,48,130023424,1162739712,6442319872
2464,16.0,5268733952,26256531456,23,73400320,1431764992,17102733312,54,130023424,1162739712,6442319872
2567,17.0,5273378816,26256531456,25,73400320,1431764992,17102733312,54,130023424,1162739712,6442319872
2669,17.0,5263011840,26256531456,25,73400320,1431764992,17102733312,51,130023424,1162739712,6442319872
2772,15.9,5263011840,26256531456,23,73400320,1431764992,17102733312,53,130023424,1162739712,6442319872
2874,14.0,5263011840,26256531456,23,73400320,1431764992,17102733312,53,130023424,1162739712,6442319872
2977,14.5,5263011840,26256531456,24,73400320,1431764992,17102733312,57,130023424,1162739712,6442319872
3081,32.9,5263011840,26256531456,21,73400320,1431764992,17102733312,47,75497472,1108213760,6442319872
3184,48.5,5284945920,26256531456,21,73400320,1431764992,17102733312,47,96468992,1129185280,6442319872
3285,16.0,5261811712,26256531456,21,73400320,1431764992,17102733312,40,96468992,1129185280,6442319872
3387,13.5,5261811712,26256531456,21,73400320,1431764992,17102733312,40,96468992,1129185280,6442319872
3489,15.9,5261811712,26256531456,25,73400320,1431764992,17102733312,53,96468992,1129185280,6442319872
3596,19.4,5263101952,26256531456,25,73400320,1431764992,17102733312,51,69206016,1101922304,6442319872
3698,33.3,5262843904,26256531456,26,73400320,1431764992,17102733312,51,79691776,1112408064,6442319872
3800,18.6,5287100416,26256531456,26,73400320,1431764992,17102733312,32,79691776,1112408064,6442319872
3902,15.4,5262123008,26256531456,28,65011712,1431764992,17102733312,32,58720256,1108213760,6442319872
4008,24.7,5262639104,26256531456,28,73400320,1431764992,17102733312,46,71303168,1104019456,6442319872
4110,23.6,5262639104,26256531456,23,73400320,1431764992,17102733312,50,67108864,1099825152,6442319872
4213,10.5,5262639104,26256531456,23,73400320,1431764992,17102733312,50,65011712,1097728000,6442319872
4315,8.6,5262639104,26256531456,31,73400320,1431764992,17102733312,19,65011712,1097728000,6442319872
4416,51.2,5263155200,26256531456,31,73400320,1431764992,17102733312,17,88080384,1120796672,6442319872
4519,49.1,5278334976,26256531456,24,73400320,1431764992,17102733312,17,109051904,1141768192,6442319872
4621,57.9,5264166912,26256531456,24,73400320,1431764992,17102733312,27,136314880,1169031168,6442319872
4723,56.7,5264166912,26256531456,19,73400320,1431764992,17102733312,27,169869312,1202585600,6442319872
4825,57.4,5264166912,26256531456,19,73400320,1431764992,17102733312,34,199229440,1231945728,6442319872
4930,32.4,5264166912,26256531456,21,73400320,1431764992,17102733312,43,211812352,1244528640,6442319872
5034,18.5,5263699968,26256531456,21,73400320,1431764992,17102733312,43,211812352,1244528640,6442319872
5135,13.6,5263699968,26256531456,20,73400320,1431764992,17102733312,49,211812352,1244528640,6442319872
5238,13.0,5263699968,26256531456,20,73400320,1431764992,17102733312,49,211812352,1244528640,6442319872
5339,13.0,5263699968,26256531456,20,73400320,1431764992,17102733312,51,211812352,1244528640,6442319872
5442,17.9,5263699968,26256531456,20,73400320,1431764992,17102733312,55,211812352,1244528640,6442319872
5544,17.1,5263699968,26256531456,19,73400320,1431764992,17102733312,55,211812352,1244528640,6442319872
5647,16.0,5282705408,26256531456,19,73400320,1431764992,17102733312,55,211812352,1244528640,6442319872
5749,15.8,5256986624,26256531456,19,73400320,1431764992,17102733312,56,211812352,1244528640,6442319872
