elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
102,10.8,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
204,10.2,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
307,6.7,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
409,10.2,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
511,7.9,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
613,9.6,5267828736,26256531456,2,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
715,9.6,5267828736,26256531456,2,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
817,10.2,5267828736,26256531456,3,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
919,10.1,5267828736,26256531456,3,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1022,7.9,5267828736,26256531456,2,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1130,8.1,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1233,9.4,5267828736,26256531456,1,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1336,8.5,5267828736,26256531456,3,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1439,10.2,5267828736,26256531456,3,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1543,7.8,5267828736,26256531456,3,58720256,1417084928,17102733312,0,56623104,1089339392,6442319872
1647,12.7,5272264704,26256531456,3,65011712,1423376384,17102733312,0,35651584,1089339392,6442319872
1750,18.6,5261783040,26256531456,20,73400320,1431764992,17102733312,2,65011712,1097728000,6442319872
1858,21.6,5273788416,26256531456,20,73400320,1431764992,17102733312,23,65011712,1097728000,6442319872
