elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,7190073344,26256531456,0,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
102,9.6,7190073344,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
204,8.6,7191105536,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
306,9.3,7191363584,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
408,8.0,7191363584,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
510,8.6,7190990848,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
612,9.8,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
714,9.2,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
816,9.1,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
918,8.6,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1020,8.6,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1122,8.7,7190847488,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1224,9.9,7191621632,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1327,7.4,7191621632,26256531456,2,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1431,8.4,7191621632,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1534,10.2,7191621632,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1635,8.1,7191621632,26256531456,1,23068672,1500971008,17102733312,0,23068672,1091436544,6442319872
1738,13.0,7195242496,26256531456,1,35651584,1513553920,17102733312,0,23068672,1091436544,6442319872
1884,7.9,7202095104,26256531456,2,35651584,1513553920,17102733312,0,23068672,1093533696,6442319872
2004,15.0,7240470528,26256531456,2,73400320,1568079872,17102733312,0,65011712,1150156800,6442319872
2108,15.2,7240712192,26256531456,13,73400320,1568079872,17102733312,32,65011712,1150156800,6442319872
2210,17.4,7241744384,26256531456,13,73400320,1568079872,17102733312,32,65011712,1150156800,6442319872
2312,19.9,7242260480,26256531456,34,73400320,1568079872,17102733312,44,67108864,1152253952,6442319872
2414,59.1,7242260480,26256531456,34,73400320,1568079872,17102733312,42,96468992,1181614080,6442319872
2516,49.4,7242260480,26256531456,26,73400320,1568079872,17102733312,42,119537664,1204682752,6442319872
2622,14.8,7242260480,26256531456,25,73400320,1568079872,17102733312,48,119537664,1204682752,6442319872
2724,15.3,7242260480,26256531456,25,73400320,1568079872,17102733312,51,119537664,1204682752,6442319872
2827,15.8,7242260480,26256531456,28,73400320,1568079872,17102733312,51,119537664,1204682752,6442319872
2930,15.9,7242260480,26256531456,28,73400320,1568079872,17102733312,47,119537664,1204682752,6442319872
3032,16.5,7242260480,26256531456,28,73400320,1568079872,17102733312,47,119537664,1204682752,6442319872
3134,14.9,7242260480,26256531456,28,73400320,1568079872,17102733312,59,119537664,1204682752,6442319872
3238,18.7,7243034624,26256531456,28,73400320,1568079872,17102733312,48,119537664,1204682752,6442319872
3340,33.1,7243034624,26256531456,28,73400320,1568079872,17102733312,48,79691776,1164836864,6442319872
3444,56.4,7243034624,26256531456,29,73400320,1568079872,17102733312,43,104857600,1190002688,6442319872
3546,15.9,7243030528,26256531456,29,73400320,1568079872,17102733312,46,104857600,1190002688,6442319872
3648,15.0,7243030528,26256531456,25,73400320,1568079872,17102733312,46,104857600,1190002688,6442319872
3751,14.2,7243030528,26256531456,25,73400320,1568079872,17102733312,51,104857600,1190002688,6442319872
3855,16.3,7243030528,26256531456,28,73400320,1568079872,17102733312,51,104857600,1190002688,6442319872
3958,16.3,7243030528,26256531456,28,73400320,1568079872,17102733312,51,104857600,1190002688,6442319872
