elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5843808256,26256531456,5,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
102,7.9,5843808256,26256531456,2,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
204,8.6,5843808256,26256531456,2,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
306,6.2,5843808256,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
407,9.1,5843808256,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
509,6.8,5843808256,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
612,8.5,5843808256,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
714,8.1,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
816,7.4,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
919,7.9,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1021,7.4,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1123,6.1,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1226,7.9,5844066304,26256531456,0,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1328,6.7,5844066304,26256531456,0,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1430,7.4,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1533,7.3,5844066304,26256531456,1,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1635,11.7,5845004288,26256531456,3,58720256,1536622592,17102733312,0,209715200,1278083072,6442319872
1800,9.2,5848584192,26256531456,3,58720256,1536622592,17102733312,0,209715200,1280180224,6442319872
1913,11.1,5849493504,26256531456,3,75497472,1570177024,17102733312,28,65011712,1150156800,6442319872
2015,15.5,5887856640,26256531456,19,75497472,1570177024,17102733312,28,65011712,1150156800,6442319872
2119,14.5,5887856640,26256531456,19,75497472,1570177024,17102733312,63,65011712,1150156800,6442319872
2221,20.0,5889921024,26256531456,29,75497472,1570177024,17102733312,63,69206016,1154351104,6442319872
2323,55.7,5889921024,26256531456,29,75497472,1570177024,17102733312,53,96468992,1179516928,6442319872
2426,55.2,5889921024,26256531456,28,75497472,1570177024,17102733312,36,119537664,1204682752,6442319872
2528,51.8,5889921024,26256531456,28,75497472,1570177024,17102733312,36,142606336,1227751424,6442319872
2630,20.1,5889921024,26256531456,24,75497472,1570177024,17102733312,46,144703488,1229848576,6442319872
2732,17.7,5890179072,26256531456,24,75497472,1570177024,17102733312,57,144703488,1229848576,6442319872
2835,16.1,5890179072,26256531456,28,75497472,1570177024,17102733312,57,144703488,1229848576,6442319872
2937,15.2,5890179072,26256531456,28,75497472,1570177024,17102733312,54,144703488,1229848576,6442319872
3041,14.9,5890179072,26256531456,28,75497472,1570177024,17102733312,54,144703488,1229848576,6442319872
3146,15.9,5890179072,26256531456,28,75497472,1570177024,17102733312,56,144703488,1229848576,6442319872
3248,15.0,5890179072,26256531456,28,75497472,1570177024,17102733312,54,144703488,1229848576,6442319872
3351,14.6,5890179072,26256531456,28,75497472,1570177024,17102733312,54,144703488,1229848576,6442319872
