elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5847838720,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
102,7.3,5847834624,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
205,7.4,5848522752,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
308,8.5,5848522752,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
411,9.0,5848522752,26256531456,2,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
513,10.2,5850071040,26256531456,2,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
616,6.1,5850066944,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
719,8.5,5850066944,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
822,6.7,5850066944,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
925,7.9,5850066944,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1029,7.8,5850066944,26256531456,2,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1138,8.0,5866799104,26256531456,2,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1244,8.8,5850021888,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1347,7.3,5850021888,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1450,9.6,5850279936,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1553,9.1,5851312128,26256531456,1,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1656,14.5,5845327872,26256531456,4,58720256,1536622592,17102733312,0,56623104,1124990976,6442319872
1819,6.3,5850279936,26256531456,3,58720256,1536622592,17102733312,0,56623104,1127088128,6442319872
1925,15.6,5887733760,26256531456,3,73400320,1568079872,17102733312,3,65011712,1150156800,6442319872
2027,15.7,5887668224,26256531456,46,73400320,1568079872,17102733312,65,65011712,1150156800,6442319872
2131,14.1,5887668224,26256531456,46,73400320,1568079872,17102733312,65,65011712,1150156800,6442319872
2233,16.4,5887668224,26256531456,78,73400320,1568079872,17102733312,66,65011712,1150156800,6442319872
2336,14.2,5887668224,26256531456,78,73400320,1568079872,17102733312,66,65011712,1150156800,6442319872
2441,15.5,5887668224,26256531456,78,73400320,1568079872,17102733312,70,65011712,1150156800,6442319872
2544,18.2,5889216512,26256531456,78,73400320,1568079872,17102733312,62,65011712,1150156800,6442319872
2647,16.0,5889990656,26256531456,74,73400320,1568079872,17102733312,62,65011712,1150156800,6442319872
2750,18.0,5889990656,26256531456,74,73400320,1568079872,17102733312,69,65011712,1150156800,6442319872
2853,14.5,5889990656,26256531456,78,73400320,1568079872,17102733312,77,65011712,1150156800,6442319872
2956,18.6,5890506752,26256531456,78,73400320,1568079872,17102733312,77,65011712,1150156800,6442319872
3060,15.4,5890506752,26256531456,79,73400320,1568079872,17102733312,72,65011712,1150156800,6442319872
3163,16.4,5890502656,26256531456,79,73400320,1568079872,17102733312,72,65011712,1150156800,6442319872
3265,13.0,5890498560,26256531456,69,73400320,1568079872,17102733312,75,65011712,1150156800,6442319872
3367,14.8,5890498560,26256531456,69,73400320,1568079872,17102733312,79,65011712,1150156800,6442319872
3470,14.3,5890498560,26256531456,54,73400320,1568079872,17102733312,79,65011712,1150156800,6442319872
3573,21.6,5891530752,26256531456,54,73400320,1568079872,17102733312,87,65011712,1150156800,6442319872
3677,21.4,5891530752,26256531456,62,73400320,1568079872,17102733312,87,65011712,1150156800,6442319872
3779,21.3,5892706304,26256531456,62,73400320,1568079872,17102733312,79,65011712,1150156800,6442319872
3881,18.9,5892833280,26256531456,63,73400320,1568079872,17102733312,79,65011712,1150156800,6442319872
3984,21.5,5893365760,26256531456,63,73400320,1568079872,17102733312,79,65011712,1150156800,6442319872
4086,18.7,5893484544,26256531456,75,73400320,1568079872,17102733312,71,65011712,1150156800,6442319872
4188,18.1,5893484544,26256531456,75,73400320,1568079872,17102733312,71,65011712,1150156800,6442319872
4292,16.7,5893484544,26256531456,84,73400320,1568079872,17102733312,78,65011712,1150156800,6442319872
4394,16.6,5893443584,26256531456,84,73400320,1568079872,17102733312,82,65011712,1150156800,6442319872
4500,18.0,5894991872,26256531456,75,73400320,1568079872,17102733312,82,65011712,1150156800,6442319872
