elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5017772032,26256531456,50,216006656,1561788416,17102733312,0,0,988676096,6442319872
101,7.9,5017772032,26256531456,12,216006656,1561788416,17102733312,0,0,988676096,6442319872
203,6.8,5017772032,26256531456,12,216006656,1561788416,17102733312,0,0,988676096,6442319872
307,7.2,5017772032,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
410,7.4,5017772032,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
513,7.3,5017772032,26256531456,0,216006656,1561788416,17102733312,0,0,988676096,6442319872
615,6.7,5017772032,26256531456,0,216006656,1561788416,17102733312,0,0,988676096,6442319872
719,7.8,5017772032,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
822,8.6,5017772032,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
925,9.0,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1028,6.7,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1132,6.7,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1235,9.6,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1338,7.2,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1441,8.4,5017513984,26256531456,1,216006656,1561788416,17102733312,0,0,988676096,6442319872
1545,6.7,5017513984,26256531456,0,216006656,1561788416,17102733312,0,0,988676096,6442319872
1648,6.7,5018804224,26256531456,0,236978176,1582759936,17102733312,0,0,988676096,6442319872
1751,10.2,5018804224,26256531456,14,236978176,1582759936,17102733312,0,0,988676096,6442319872
1854,9.0,5019062272,26256531456,14,236978176,1582759936,17102733312,0,0,988676096,6442319872
1958,7.9,5018804224,26256531456,35,236978176,1582759936,17102733312,0,0,988676096,6442319872
2061,6.7,5018804224,26256531456,35,236978176,1582759936,17102733312,0,0,988676096,6442319872
2164,8.4,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2267,7.2,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2370,6.7,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2473,8.0,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2576,6.7,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2678,7.9,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2781,7.3,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2884,11.7,5018804224,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
2987,9.6,5018030080,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
3090,9.0,5018447872,26256531456,34,236978176,1582759936,17102733312,0,0,988676096,6442319872
3193,8.5,5018447872,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
3295,11.8,5018701824,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
3398,7.8,5018693632,26256531456,32,236978176,1582759936,17102733312,0,0,988676096,6442319872
3500,8.5,5018693632,26256531456,32,236978176,1582759936,17102733312,0,0,988676096,6442319872
3603,6.7,5018693632,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
3707,10.2,5018693632,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
3810,10.1,5018693632,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
3913,11.5,5018693632,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
4017,7.8,5018951680,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
4119,9.7,5016170496,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
4222,6.1,5016170496,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
4325,9.6,5016170496,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
4427,9.1,5016170496,26256531456,33,236978176,1582759936,17102733312,0,0,988676096,6442319872
