elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
103,8.4,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
206,9.8,4760416256,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
308,8.4,4760932352,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
410,9.6,4760674304,26256531456,1,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
513,8.4,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
619,10.9,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
721,9.6,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
823,7.9,4760674304,26256531456,0,226492416,1691811840,17102733312,0,157286400,1210974208,6442319872
972,8.5,4763287552,26256531456,1,226492416,1693908992,17102733312,0,157286400,1213071360,6442319872
1075,14.9,4804386816,26256531456,1,243269632,1723269120,17102733312,6,157286400,1227751424,6442319872
1178,11.9,4804378624,26256531456,11,243269632,1725366272,17102733312,6,157286400,1227751424,6442319872
1280,8.5,4804378624,26256531456,11,243269632,1725366272,17102733312,49,157286400,1227751424,6442319872
1383,8.6,4804005888,26256531456,44,243269632,1725366272,17102733312,49,157286400,1227751424,6442319872
1485,7.4,4803862528,26256531456,44,243269632,1725366272,17102733312,52,157286400,1227751424,6442319872
1587,9.1,4804378624,26256531456,46,243269632,1725366272,17102733312,50,157286400,1227751424,6442319872
1690,10.2,4804378624,26256531456,46,243269632,1725366272,17102733312,50,157286400,1227751424,6442319872
1792,8.6,4804378624,26256531456,44,243269632,1725366272,17102733312,48,157286400,1227751424,6442319872
1895,8.5,4804378624,26256531456,44,243269632,1725366272,17102733312,48,157286400,1227751424,6442319872
1997,8.5,4804378624,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2100,11.5,4804894720,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2203,13.1,4804894720,26256531456,38,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2305,12.0,4804894720,26256531456,38,243269632,1725366272,17102733312,45,157286400,1227751424,6442319872
2408,8.5,4804894720,26256531456,39,243269632,1725366272,17102733312,45,157286400,1227751424,6442319872
2510,9.8,4804894720,26256531456,39,243269632,1725366272,17102733312,43,157286400,1227751424,6442319872
2612,8.5,4804894720,26256531456,35,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
2714,9.9,4804894720,26256531456,39,243269632,1725366272,17102733312,40,157286400,1227751424,6442319872
2818,7.8,4804894720,26256531456,39,243269632,1725366272,17102733312,46,157286400,1227751424,6442319872
2921,9.8,4804894720,26256531456,46,243269632,1725366272,17102733312,50,157286400,1227751424,6442319872
3023,8.0,4804894720,26256531456,46,243269632,1725366272,17102733312,50,157286400,1227751424,6442319872
3125,9.4,4804894720,26256531456,46,243269632,1725366272,17102733312,51,157286400,1227751424,6442319872
3227,10.9,4804894720,26256531456,46,243269632,1725366272,17102733312,51,157286400,1227751424,6442319872
3330,8.0,4804894720,26256531456,47,243269632,1725366272,17102733312,50,157286400,1227751424,6442319872
3432,8.6,4804894720,26256531456,47,243269632,1725366272,17102733312,46,157286400,1227751424,6442319872
3534,9.8,4804894720,26256531456,41,243269632,1725366272,17102733312,46,157286400,1227751424,6442319872
3639,18.2,4809281536,26256531456,41,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
3741,11.8,4811063296,26256531456,36,243269632,1725366272,17102733312,42,157286400,1227751424,6442319872
3843,8.5,4811063296,26256531456,36,243269632,1725366272,17102733312,39,157286400,1227751424,6442319872
