elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5098389504,26256531456,0,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
103,8.6,5098389504,26256531456,0,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
205,9.1,5098389504,26256531456,1,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
307,17.6,5148192768,26256531456,1,249561088,1605828608,17102733312,13,216006656,1246625792,6442319872
549,12.2,5223542784,26256531456,8,260046848,1618411520,17102733312,8,224395264,1255014400,6442319872
650,17.8,5230768128,26256531456,58,260046848,1618411520,17102733312,84,224395264,1255014400,6442319872
753,18.9,5227929600,26256531456,58,260046848,1618411520,17102733312,84,224395264,1255014400,6442319872
856,15.7,5228445696,26256531456,67,260046848,1618411520,17102733312,88,224395264,1255014400,6442319872
958,15.9,5232832512,26256531456,67,260046848,1618411520,17102733312,88,224395264,1255014400,6442319872
1062,18.5,5233090560,26256531456,61,260046848,1618411520,17102733312,85,224395264,1255014400,6442319872
1167,15.1,5232832512,26256531456,61,260046848,1618411520,17102733312,91,224395264,1255014400,6442319872
1270,14.3,5232832512,26256531456,77,260046848,1618411520,17102733312,91,224395264,1255014400,6442319872
1372,14.3,5232832512,26256531456,81,260046848,1618411520,17102733312,90,224395264,1255014400,6442319872
1476,17.5,5237219328,26256531456,81,260046848,1618411520,17102733312,84,224395264,1255014400,6442319872
1578,17.0,5237477376,26256531456,72,281018368,1639383040,17102733312,84,226492416,1257111552,6442319872
1691,19.4,5237993472,26256531456,72,281018368,1639383040,17102733312,87,228589568,1259208704,6442319872
1794,20.1,5237993472,26256531456,72,281018368,1639383040,17102733312,87,230686720,1261305856,6442319872
1905,17.3,5237993472,26256531456,72,281018368,1639383040,17102733312,92,232783872,1261305856,6442319872
2009,18.1,5239799808,26256531456,76,281018368,1639383040,17102733312,92,232783872,1263403008,6442319872
2111,15.4,5238308864,26256531456,76,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
2213,15.3,5238308864,26256531456,68,260046848,1618411520,17102733312,85,243269632,1273888768,6442319872
2330,18.0,5238308864,26256531456,68,260046848,1618411520,17102733312,91,243269632,1273888768,6442319872
2446,15.1,5238566912,26256531456,77,260046848,1618411520,17102733312,91,243269632,1273888768,6442319872
2562,16.8,5239341056,26256531456,74,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
2669,16.5,5240631296,26256531456,74,260046848,1618411520,17102733312,87,243269632,1273888768,6442319872
2771,13.0,5240631296,26256531456,78,260046848,1618411520,17102733312,87,243269632,1273888768,6442319872
2883,16.8,5240889344,26256531456,78,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
2984,14.2,5240889344,26256531456,70,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3097,18.0,5241032704,26256531456,70,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3203,14.9,5240889344,26256531456,67,260046848,1618411520,17102733312,88,243269632,1273888768,6442319872
3305,16.4,5240889344,26256531456,67,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3417,14.1,5240889344,26256531456,79,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3534,16.3,5244502016,26256531456,79,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3636,17.4,5245534208,26256531456,78,260046848,1618411520,17102733312,88,243269632,1273888768,6442319872
3739,16.4,5245792256,26256531456,78,260046848,1618411520,17102733312,88,243269632,1273888768,6442319872
3853,14.4,5245792256,26256531456,74,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
3970,15.1,5245792256,26256531456,82,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
4073,19.5,5245792256,26256531456,82,260046848,1618411520,17102733312,92,243269632,1273888768,6442319872
4176,14.5,5241921536,26256531456,80,260046848,1618411520,17102733312,90,243269632,1273888768,6442319872
4294,13.4,5242179584,26256531456,80,260046848,1618411520,17102733312,90,243269632,1273888768,6442319872
4397,13.4,5242179584,26256531456,79,260046848,1618411520,17102733312,92,232783872,1263403008,6442319872
4515,15.2,5242179584,26256531456,79,260046848,1618411520,17102733312,91,232783872,1263403008,6442319872
4618,19.5,5242896384,26256531456,78,260046848,1618411520,17102733312,91,232783872,1263403008,6442319872
4721,15.2,5243412480,26256531456,78,260046848,1618411520,17102733312,89,232783872,1263403008,6442319872
4825,13.8,5243412480,26256531456,74,260046848,1618411520,17102733312,90,232783872,1263403008,6442319872
4944,14.7,5243412480,26256531456,74,260046848,1618411520,17102733312,90,232783872,1263403008,6442319872
5047,15.0,5243412480,26256531456,68,260046848,1618411520,17102733312,91,232783872,1263403008,6442319872
5150,18.6,5247799296,26256531456,68,260046848,1618411520,17102733312,84,232783872,1263403008,6442319872
5258,16.0,5243928576,26256531456,69,260046848,1618411520,17102733312,84,232783872,1263403008,6442319872
5361,16.2,5243928576,26256531456,69,260046848,1618411520,17102733312,91,232783872,1263403008,6442319872
5478,13.0,5243928576,26256531456,52,260046848,1618411520,17102733312,91,232783872,1263403008,6442319872
5582,15.2,5243928576,26256531456,58,260046848,1618411520,17102733312,90,232783872,1263403008,6442319872
5684,17.9,5247541248,26256531456,58,260046848,1618411520,17102733312,88,232783872,1263403008,6442319872
5788,16.4,5249339392,26256531456,66,260046848,1618411520,17102733312,88,232783872,1263403008,6442319872
5897,12.3,5245468672,26256531456,66,260046848,1618411520,17102733312,87,226492416,1257111552,6442319872
6000,15.7,5244350464,26256531456,53,115343360,1473708032,17102733312,90,220200960,1250820096,6442319872
6103,13.4,5244350464,26256531456,53,260046848,1618411520,17102733312,90,222298112,1252917248,6442319872
6206,8.4,5244350464,26256531456,27,260046848,1618411520,17102733312,89,222298112,1252917248,6442319872
6309,8.5,5244350464,26256531456,27,260046848,1618411520,17102733312,89,222298112,1252917248,6442319872
6421,11.4,5244350464,26256531456,1,260046848,1618411520,17102733312,93,222298112,1252917248,6442319872
6523,10.8,5244350464,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
6638,10.9,5244350464,26256531456,2,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
6740,8.6,5243977728,26256531456,2,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
6855,8.3,5243977728,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
6957,8.0,5243977728,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7071,9.9,5243977728,26256531456,0,260046848,1618411520,17102733312,93,222298112,1252917248,6442319872
7173,8.0,5243977728,26256531456,0,260046848,1618411520,17102733312,93,222298112,1252917248,6442319872
7276,8.6,5243977728,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7385,9.8,5243977728,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7487,9.2,5243977728,26256531456,1,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7603,8.7,5243977728,26256531456,3,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7705,10.9,5245009920,26256531456,3,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7820,9.3,5245009920,26256531456,2,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
7923,7.9,5245009920,26256531456,2,260046848,1618411520,17102733312,92,222298112,1252917248,6442319872
8035,8.4,5245009920,26256531456,1,260046848,1618411520,17102733312,93,222298112,1252917248,6442319872
8137,7.9,5245009920,26256531456,1,211812352,1570177024,17102733312,93,224395264,1238237184,6442319872
