elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5102247936,26256531456,1,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
101,8.1,5102247936,26256531456,1,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
204,10.6,5104766976,26256531456,1,153092096,1511456768,17102733312,0,150994944,1181614080,6442319872
306,14.6,5175640064,26256531456,7,249561088,1605828608,17102733312,13,216006656,1244528640,6442319872
500,15.6,5222604800,26256531456,33,260046848,1618411520,17102733312,51,224395264,1255014400,6442319872
603,14.7,5228539904,26256531456,33,260046848,1618411520,17102733312,51,224395264,1255014400,6442319872
711,17.0,5221244928,26256531456,74,260046848,1618411520,17102733312,83,224395264,1255014400,6442319872
814,14.2,5221244928,26256531456,74,260046848,1618411520,17102733312,83,224395264,1255014400,6442319872
916,14.2,5221244928,26256531456,73,260046848,1618411520,17102733312,88,232783872,1263403008,6442319872
1018,14.8,5221244928,26256531456,73,260046848,1618411520,17102733312,86,232783872,1263403008,6442319872
1122,14.6,5221244928,26256531456,72,260046848,1618411520,17102733312,86,232783872,1263403008,6442319872
1224,15.3,5221244928,26256531456,72,260046848,1618411520,17102733312,88,232783872,1263403008,6442319872
1328,20.0,5225312256,26256531456,80,260046848,1618411520,17102733312,88,232783872,1263403008,6442319872
1430,15.0,5225312256,26256531456,80,211812352,1570177024,17102733312,80,205520896,1236140032,6442319872
1533,15.2,5225312256,26256531456,73,276824064,1635188736,17102733312,82,226492416,1257111552,6442319872
1643,14.0,5228351488,26256531456,73,276824064,1635188736,17102733312,82,228589568,1259208704,6442319872
1745,20.0,5228924928,26256531456,73,276824064,1635188736,17102733312,87,230686720,1261305856,6442319872
1853,12.9,5221470208,26256531456,73,276824064,1635188736,17102733312,91,232783872,1263403008,6442319872
1955,19.0,5221470208,26256531456,78,276824064,1635188736,17102733312,91,232783872,1263403008,6442319872
2068,24.4,5222010880,26256531456,74,276824064,1635188736,17102733312,88,232783872,1263403008,6442319872
2177,13.2,5222010880,26256531456,74,276824064,1635188736,17102733312,89,232783872,1263403008,6442319872
2294,15.2,5221752832,26256531456,81,276824064,1635188736,17102733312,89,188743680,1263403008,6442319872
2414,14.1,5222785024,26256531456,81,260046848,1618411520,17102733312,90,241172480,1271791616,6442319872
2516,18.5,5219258368,26256531456,73,260046848,1618411520,17102733312,84,241172480,1271791616,6442319872
2627,15.3,5215158272,26256531456,73,260046848,1618411520,17102733312,84,241172480,1271791616,6442319872
2729,13.9,5214412800,26256531456,69,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
2842,12.9,5214412800,26256531456,69,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
2944,19.9,5222379520,26256531456,73,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
3046,15.7,5221634048,26256531456,73,260046848,1618411520,17102733312,85,241172480,1271791616,6442319872
3149,15.2,5221634048,26256531456,71,260046848,1618411520,17102733312,85,241172480,1271791616,6442319872
3251,13.9,5221634048,26256531456,71,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
3365,15.4,5222150144,26256531456,75,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
3467,20.0,5220253696,26256531456,76,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
3573,15.4,5220253696,26256531456,76,260046848,1618411520,17102733312,86,241172480,1271791616,6442319872
3690,17.2,5220253696,26256531456,76,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
3793,14.5,5220253696,26256531456,76,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
3905,17.4,5212078080,26256531456,71,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
4010,13.9,5212078080,26256531456,71,260046848,1618411520,17102733312,89,241172480,1271791616,6442319872
4127,13.4,5212078080,26256531456,69,260046848,1618411520,17102733312,89,241172480,1271791616,6442319872
4243,15.9,5212336128,26256531456,69,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
4360,17.3,5221109760,26256531456,73,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
4465,18.8,5219561472,26256531456,70,260046848,1618411520,17102733312,92,241172480,1271791616,6442319872
4582,14.0,5219348480,26256531456,70,260046848,1618411520,17102733312,88,241172480,1271791616,6442319872
4685,14.0,5219348480,26256531456,72,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
4797,14.7,5219348480,26256531456,72,260046848,1618411520,17102733312,91,241172480,1271791616,6442319872
4909,18.8,5218312192,26256531456,69,260046848,1618411520,17102733312,89,241172480,1271791616,6442319872
5021,12.4,5218312192,26256531456,69,260046848,1618411520,17102733312,90,230686720,1261305856,6442319872
5123,15.3,5218312192,26256531456,67,260046848,1618411520,17102733312,90,230686720,1261305856,6442319872
5238,14.7,5218312192,26256531456,67,260046848,1618411520,17102733312,92,230686720,1261305856,6442319872
5354,17.2,5219315712,26256531456,75,260046848,1618411520,17102733312,89,230686720,1261305856,6442319872
5459,16.0,5215703040,26256531456,69,260046848,1618411520,17102733312,89,230686720,1261305856,6442319872
5577,13.9,5215703040,26256531456,69,260046848,1618411520,17102733312,91,230686720,1261305856,6442319872
5693,13.6,5215703040,26256531456,69,260046848,1618411520,17102733312,92,230686720,1261305856,6442319872
5811,18.0,5219057664,26256531456,69,260046848,1618411520,17102733312,92,230686720,1261305856,6442319872
5915,15.0,5219315712,26256531456,69,260046848,1618411520,17102733312,89,230686720,1261305856,6442319872
6017,13.0,5219315712,26256531456,69,260046848,1618411520,17102733312,91,224395264,1255014400,6442319872
6133,14.3,5219315712,26256531456,62,260046848,1618411520,17102733312,91,224395264,1255014400,6442319872
6235,13.9,5219315712,26256531456,75,260046848,1618411520,17102733312,91,224395264,1255014400,6442319872
6346,15.5,5218328576,26256531456,75,260046848,1618411520,17102733312,89,220200960,1250820096,6442319872
6453,14.6,5218328576,26256531456,69,211812352,1570177024,17102733312,89,203423744,1234042880,6442319872
6556,9.8,5210898432,26256531456,69,260046848,1618411520,17102733312,88,228589568,1259208704,6442319872
6658,7.5,5210898432,26256531456,23,260046848,1618411520,17102733312,91,228589568,1259208704,6442319872
6773,7.7,5210898432,26256531456,23,260046848,1618411520,17102733312,91,228589568,1259208704,6442319872
6889,8.6,5210898432,26256531456,1,52428800,1584857088,17102733312,93,46137344,1259208704,6442319872
7003,12.6,5210898432,26256531456,1,260046848,1618411520,17102733312,89,226492416,1257111552,6442319872
7111,15.7,5210898432,26256531456,44,260046848,1618411520,17102733312,89,228589568,1259208704,6442319872
7227,16.9,5214396416,26256531456,71,260046848,1618411520,17102733312,92,230686720,1261305856,6442319872
7335,19.1,5212848128,26256531456,71,260046848,1618411520,17102733312,87,232783872,1263403008,6442319872
7437,19.5,5212848128,26256531456,59,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
7551,15.0,5212848128,26256531456,59,260046848,1618411520,17102733312,93,234881024,1265500160,6442319872
7668,16.9,5219495936,26256531456,78,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
7772,15.2,5219753984,26256531456,78,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
7874,14.6,5219753984,26256531456,77,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
7986,15.6,5219753984,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
8103,13.0,5219753984,26256531456,82,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
8216,16.6,5210546176,26256531456,82,260046848,1618411520,17102733312,90,234881024,1265500160,6442319872
8329,14.0,5210546176,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
8448,16.2,5210804224,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
8552,14.9,5210804224,26256531456,77,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
8668,18.2,5218283520,26256531456,76,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
8776,13.8,5218283520,26256531456,76,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
8879,16.1,5218283520,26256531456,81,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
8994,14.3,5218283520,26256531456,81,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9098,18.1,5218283520,26256531456,82,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9202,15.1,5218283520,26256531456,82,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
9305,13.3,5218283520,26256531456,79,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
9419,16.1,5218283520,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9538,13.2,5216477184,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9643,18.5,5219573760,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9751,12.9,5219573760,26256531456,77,260046848,1618411520,17102733312,85,234881024,1265500160,6442319872
9853,15.8,5219573760,26256531456,69,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
9969,15.0,5219573760,26256531456,69,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10072,17.0,5219885056,26256531456,70,260046848,1618411520,17102733312,90,234881024,1265500160,6442319872
10175,15.8,5219885056,26256531456,70,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10293,15.1,5219885056,26256531456,70,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10395,19.0,5219885056,26256531456,70,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10510,17.8,5217705984,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10617,14.6,5217705984,26256531456,73,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
10719,14.5,5213835264,26256531456,67,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10836,14.8,5213835264,26256531456,67,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
10939,17.2,5220802560,26256531456,66,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
11041,13.5,5219504128,26256531456,66,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
11146,15.5,5212073984,26256531456,64,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
11260,13.3,5212073984,26256531456,56,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
11362,14.6,5212073984,26256531456,56,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
11478,15.8,5211701248,26256531456,52,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
11585,14.7,5211353088,26256531456,52,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
11688,13.9,5211353088,26256531456,62,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
11802,15.5,5211353088,26256531456,62,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
11905,20.4,5219868672,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
12007,15.5,5212930048,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
12125,15.3,5212930048,26256531456,82,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
12227,14.5,5212930048,26256531456,82,260046848,1618411520,17102733312,93,234881024,1265500160,6442319872
12340,15.9,5212930048,26256531456,83,260046848,1618411520,17102733312,93,234881024,1265500160,6442319872
12453,18.0,5211922432,26256531456,83,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
12565,13.9,5211922432,26256531456,76,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
12668,18.0,5211922432,26256531456,79,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
12784,13.1,5211922432,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
12887,20.4,5218086912,26256531456,78,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
12990,10.7,5218344960,26256531456,78,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
13092,6.8,5218344960,26256531456,12,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
13205,9.3,5218344960,26256531456,12,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
13307,8.4,5218344960,26256531456,2,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
13421,12.0,5218344960,26256531456,2,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
13523,7.4,5218344960,26256531456,1,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
13636,9.4,5214474240,26256531456,1,260046848,1618411520,17102733312,92,226492416,1257111552,6442319872
13745,16.6,5214474240,26256531456,24,260046848,1618411520,17102733312,88,228589568,1259208704,6442319872
13863,16.0,5214474240,26256531456,24,260046848,1618411520,17102733312,88,230686720,1261305856,6442319872
13965,14.9,5214474240,26256531456,78,260046848,1618411520,17102733312,92,230686720,1261305856,6442319872
14067,19.2,5216538624,26256531456,78,260046848,1618411520,17102733312,89,232783872,1263403008,6442319872
14172,16.7,5212667904,26256531456,78,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
14284,12.9,5212667904,26256531456,78,260046848,1618411520,17102733312,93,234881024,1265500160,6442319872
14401,15.9,5212925952,26256531456,78,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
14503,19.6,5219377152,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
14606,16.3,5211947008,26256531456,80,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
14708,16.4,5212205056,26256531456,80,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
14822,16.8,5212205056,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
14925,19.6,5219946496,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
15027,15.2,5218398208,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
15145,15.3,5218398208,26256531456,79,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
15248,15.7,5218398208,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
15361,14.4,5218398208,26256531456,82,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
15473,20.3,5211226112,26256531456,81,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
15586,15.6,5211226112,26256531456,81,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
15703,15.5,5211226112,26256531456,80,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
15821,13.4,5211226112,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
15932,17.5,5209214976,26256531456,81,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
16045,14.8,5209214976,26256531456,81,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
16162,15.7,5209214976,26256531456,81,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
16264,17.9,5209214976,26256531456,81,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
16378,17.2,5217988608,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
16485,18.9,5218754560,26256531456,80,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
16587,13.0,5218754560,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
16700,13.6,5218754560,26256531456,81,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
16804,17.7,5220818944,26256531456,81,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
16907,16.1,5219270656,26256531456,75,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
17009,16.4,5215399936,26256531456,75,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
17123,16.8,5215399936,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
17240,17.0,5219528704,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
17345,18.9,5221593088,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
17448,26.1,5223112704,26256531456,79,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
17562,17.3,5223370752,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
17664,16.4,5223370752,26256531456,73,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
17778,19.1,5224460288,26256531456,73,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
17884,16.9,5217521664,26256531456,77,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
17986,14.2,5217521664,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18099,15.5,5217521664,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18216,17.9,5224198144,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18323,17.8,5222965248,26256531456,76,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
18425,18.7,5223997440,26256531456,76,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18539,15.0,5223997440,26256531456,75,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18641,15.9,5223997440,26256531456,75,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
18753,20.3,5222363136,26256531456,69,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
18863,15.4,5222363136,26256531456,69,260046848,1618411520,17102733312,87,234881024,1265500160,6442319872
18965,14.2,5222363136,26256531456,53,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
19079,16.8,5222363136,26256531456,64,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
19181,22.4,5223178240,26256531456,64,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
19283,13.0,5223178240,26256531456,70,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
19385,8.7,5223682048,26256531456,70,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
19498,13.7,5224456192,26256531456,1,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
19600,10.3,5224456192,26256531456,1,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
19714,10.3,5224714240,26256531456,1,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
19816,8.6,5224714240,26256531456,1,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
19928,8.4,5224714240,26256531456,1,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
20044,10.6,5224714240,26256531456,1,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
20147,9.8,5224714240,26256531456,0,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
20259,11.5,5217517568,26256531456,0,260046848,1618411520,17102733312,92,226492416,1257111552,6442319872
20361,16.0,5217517568,26256531456,11,260046848,1618411520,17102733312,92,228589568,1259208704,6442319872
20466,17.0,5218549760,26256531456,77,260046848,1618411520,17102733312,88,228589568,1259208704,6442319872
20583,16.4,5224194048,26256531456,77,260046848,1618411520,17102733312,93,230686720,1261305856,6442319872
20687,16.4,5223419904,26256531456,73,260046848,1618411520,17102733312,93,232783872,1263403008,6442319872
20789,15.3,5223419904,26256531456,73,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
20903,12.8,5223419904,26256531456,76,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21021,14.8,5223419904,26256531456,76,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21124,20.4,5222989824,26256531456,77,260046848,1618411520,17102733312,85,234881024,1265500160,6442319872
21232,14.9,5222989824,26256531456,77,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21349,15.0,5222989824,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21451,16.1,5224022016,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21564,15.9,5224194048,26256531456,82,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
21668,16.1,5224194048,26256531456,79,260046848,1618411520,17102733312,89,234881024,1265500160,6442319872
21785,15.1,5224194048,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
21888,14.8,5224194048,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
22001,19.0,5228580864,26256531456,80,260046848,1618411520,17102733312,91,234881024,1265500160,6442319872
22107,15.4,5224853504,26256531456,78,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
22224,15.7,5224845312,26256531456,78,260046848,1618411520,17102733312,88,234881024,1265500160,6442319872
22326,16.5,5224845312,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
22438,20.3,5227024384,26256531456,80,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
22545,13.5,5227282432,26256531456,79,260046848,1618411520,17102733312,92,234881024,1265500160,6442319872
