elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,6981062656,26256531456,1,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
102,10.3,6981062656,26256531456,2,23068672,1500971008,17102733312,0,23068672,1089339392,6442319872
204,12.8,6981062656,26256531456,2,33554432,1511456768,17102733312,0,23068672,1089339392,6442319872
305,8.3,6982094848,26256531456,3,33554432,1511456768,17102733312,0,23068672,1089339392,6442319872
419,8.4,6983806976,26256531456,3,33554432,1511456768,17102733312,0,23068672,1091436544,6442319872
528,13.7,7085625344,26256531456,7,249561088,1742143488,17102733312,14,218103808,1299054592,6442319872
704,12.6,7108333568,26256531456,33,260046848,1754726400,17102733312,14,224395264,1307443200,6442319872
813,16.2,7144144896,26256531456,33,260046848,1754726400,17102733312,71,224395264,1307443200,6442319872
914,15.5,7147159552,26256531456,60,260046848,1754726400,17102733312,74,224395264,1307443200,6442319872
1017,14.8,7147159552,26256531456,60,260046848,1754726400,17102733312,74,224395264,1307443200,6442319872
1121,14.6,7147675648,26256531456,78,260046848,1754726400,17102733312,90,232783872,1315831808,6442319872
1225,16.5,7147913216,26256531456,78,260046848,1754726400,17102733312,90,232783872,1315831808,6442319872
1327,15.0,7147913216,26256531456,61,260046848,1754726400,17102733312,90,232783872,1315831808,6442319872
1430,16.6,7147835392,26256531456,61,260046848,1754726400,17102733312,90,232783872,1315831808,6442319872
1532,16.4,7147835392,26256531456,66,260046848,1754726400,17102733312,90,232783872,1315831808,6442319872
1634,17.9,7147835392,26256531456,66,146800640,1641480192,17102733312,91,226492416,1309540352,6442319872
1736,15.3,7148093440,26256531456,61,276824064,1771503616,17102733312,88,228589568,1311637504,6442319872
1844,16.8,7148093440,26256531456,61,276824064,1771503616,17102733312,88,232783872,1315831808,6442319872
1946,17.3,7148093440,26256531456,59,276824064,1771503616,17102733312,92,232783872,1315831808,6442319872
2049,18.1,7148609536,26256531456,59,52428800,1607925760,17102733312,92,192937984,1320026112,6442319872
2159,16.5,7149125632,26256531456,59,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
2261,15.6,7149383680,26256531456,59,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
2377,15.2,7149383680,26256531456,52,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
2496,15.4,7149383680,26256531456,59,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
2600,14.4,7149383680,26256531456,59,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
2718,14.6,7149383680,26256531456,67,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
2821,15.7,7149383680,26256531456,67,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
2938,14.4,7149383680,26256531456,67,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
3042,14.5,7149383680,26256531456,67,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
3145,13.5,7149383680,26256531456,56,260046848,1754726400,17102733312,90,245366784,1328414720,6442319872
3263,16.7,7150800896,26256531456,56,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
3368,13.7,7150800896,26256531456,54,260046848,1754726400,17102733312,91,245366784,1328414720,6442319872
3483,14.4,7150800896,26256531456,54,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
3603,15.8,7150800896,26256531456,60,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
3706,16.0,7150800896,26256531456,52,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
3809,15.2,7150800896,26256531456,52,260046848,1754726400,17102733312,92,245366784,1328414720,6442319872
