elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5609422848,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
103,10.8,5609422848,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
204,9.8,5611487232,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
306,10.3,5611487232,26256531456,2,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
417,8.5,5663875072,26256531456,1,153092096,1628897280,17102733312,0,150994944,1219362816,6442319872
542,11.2,5749080064,26256531456,1,249561088,1742143488,17102733312,14,218103808,1299054592,6442319872
754,12.2,5786738688,26256531456,7,260046848,1754726400,17102733312,14,224395264,1307443200,6442319872
856,16.5,5817147392,26256531456,60,260046848,1754726400,17102733312,68,224395264,1307443200,6442319872
959,14.6,5823578112,26256531456,60,260046848,1754726400,17102733312,74,224395264,1307443200,6442319872
1061,12.4,5823578112,26256531456,52,260046848,1754726400,17102733312,74,224395264,1307443200,6442319872
1164,14.5,5824483328,26256531456,52,115343360,1610022912,17102733312,91,123731968,1185808384,6442319872
1268,14.4,5824483328,26256531456,65,260046848,1754726400,17102733312,91,232783872,1315831808,6442319872
1373,13.7,5824483328,26256531456,65,260046848,1754726400,17102733312,89,232783872,1315831808,6442319872
1475,14.2,5824483328,26256531456,73,260046848,1754726400,17102733312,91,232783872,1315831808,6442319872
1577,14.7,5824483328,26256531456,73,260046848,1754726400,17102733312,91,232783872,1315831808,6442319872
1679,18.1,5824741376,26256531456,75,260046848,1754726400,17102733312,91,226492416,1309540352,6442319872
1781,13.6,5824741376,26256531456,75,211812352,1706491904,17102733312,87,218103808,1301151744,6442319872
1896,14.8,5824741376,26256531456,71,260046848,1754726400,17102733312,87,236978176,1320026112,6442319872
1999,14.0,5824741376,26256531456,76,260046848,1754726400,17102733312,93,236978176,1320026112,6442319872
2113,14.0,5824741376,26256531456,76,260046848,1754726400,17102733312,93,239075328,1322123264,6442319872
2215,16.0,5824741376,26256531456,73,260046848,1754726400,17102733312,93,241172480,1324220416,6442319872
2319,12.9,5824741376,26256531456,73,260046848,1754726400,17102733312,93,241172480,1324220416,6442319872
2432,14.9,5824999424,26256531456,78,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
2535,14.2,5824999424,26256531456,78,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
2651,15.8,5825257472,26256531456,81,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
2770,13.2,5825257472,26256531456,81,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
2873,16.8,5825257472,26256531456,80,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
2987,12.8,5825257472,26256531456,80,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
3089,15.3,5825257472,26256531456,76,260046848,1754726400,17102733312,93,243269632,1326317568,6442319872
3205,13.5,5825257472,26256531456,76,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
3308,16.4,5825257472,26256531456,78,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
3425,12.9,5825257472,26256531456,79,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
3543,14.7,5825257472,26256531456,79,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
3647,16.2,5825257472,26256531456,79,260046848,1754726400,17102733312,90,243269632,1326317568,6442319872
3750,13.4,5825515520,26256531456,79,260046848,1754726400,17102733312,90,243269632,1326317568,6442319872
3854,15.5,5825515520,26256531456,80,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
3965,14.9,5825515520,26256531456,80,260046848,1754726400,17102733312,92,243269632,1326317568,6442319872
4068,13.4,5825515520,26256531456,82,260046848,1754726400,17102733312,93,234881024,1317928960,6442319872
4187,15.7,5825515520,26256531456,82,260046848,1754726400,17102733312,90,234881024,1317928960,6442319872
4291,13.8,5825515520,26256531456,70,260046848,1754726400,17102733312,90,234881024,1317928960,6442319872
4407,17.1,5825515520,26256531456,70,260046848,1754726400,17102733312,92,234881024,1317928960,6442319872
4510,14.5,5825515520,26256531456,81,260046848,1754726400,17102733312,92,234881024,1317928960,6442319872
4624,18.3,5826031616,26256531456,81,260046848,1754726400,17102733312,92,234881024,1317928960,6442319872
4727,16.5,5826031616,26256531456,82,260046848,1754726400,17102733312,91,234881024,1317928960,6442319872
4844,14.1,5826031616,26256531456,81,260046848,1754726400,17102733312,92,234881024,1317928960,6442319872
4948,20.3,5842526208,26256531456,81,260046848,1754726400,17102733312,92,234881024,1317928960,6442319872
5061,16.6,5842526208,26256531456,78,260046848,1754726400,17102733312,93,234881024,1317928960,6442319872
5164,16.2,5842526208,26256531456,78,260046848,1754726400,17102733312,93,234881024,1317928960,6442319872
5279,15.4,5841035264,26256531456,79,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
5381,14.7,5837938688,26256531456,79,260046848,1754726400,17102733312,91,228589568,1311637504,6442319872
5485,15.8,5837938688,26256531456,81,260046848,1754726400,17102733312,91,228589568,1311637504,6442319872
5598,15.6,5831229440,26256531456,81,94371840,1589051392,17102733312,93,222298112,1305346048,6442319872
5701,21.6,5833551872,26256531456,68,260046848,1754726400,17102733312,90,224395264,1307443200,6442319872
5804,12.8,5833539584,26256531456,68,260046848,1754726400,17102733312,90,228589568,1311637504,6442319872
5911,8.2,5833539584,26256531456,50,260046848,1754726400,17102733312,88,228589568,1311637504,6442319872
6014,8.5,5833539584,26256531456,50,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
6128,8.8,5833539584,26256531456,1,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
6230,6.8,5833539584,26256531456,1,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
6345,8.2,5833539584,26256531456,1,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
6447,6.7,5833539584,26256531456,1,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
6561,7.8,5833539584,26256531456,1,260046848,1754726400,17102733312,93,228589568,1311637504,6442319872
6663,6.9,5833797632,26256531456,1,260046848,1754726400,17102733312,93,228589568,1311637504,6442319872
6777,8.8,5833797632,26256531456,1,260046848,1754726400,17102733312,92,228589568,1311637504,6442319872
