elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,5636579328,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
102,9.6,5636579328,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
204,10.3,5639159808,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
306,8.7,5639675904,26256531456,1,153092096,1628897280,17102733312,0,150994944,1217265664,6442319872
409,6.2,5642219520,26256531456,1,153092096,1628897280,17102733312,0,150994944,1219362816,6442319872
516,15.1,5731287040,26256531456,7,247463936,1742143488,17102733312,14,216006656,1296957440,6442319872
722,14.0,5805666304,26256531456,7,260046848,1754726400,17102733312,14,224395264,1307443200,6442319872
830,12.9,5805666304,26256531456,7,260046848,1754726400,17102733312,44,224395264,1307443200,6442319872
933,17.3,5805666304,26256531456,82,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
1035,15.9,5805666304,26256531456,82,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
1137,15.2,5805662208,26256531456,91,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
1239,15.1,5805662208,26256531456,91,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
1342,16.9,5805662208,26256531456,91,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
1444,15.7,5805662208,26256531456,91,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
1546,18.5,5805547520,26256531456,89,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
1649,16.8,5805793280,26256531456,89,260046848,1754726400,17102733312,90,224395264,1307443200,6442319872
1753,16.5,5805793280,26256531456,84,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
1855,15.9,5805793280,26256531456,89,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
1957,14.5,5805793280,26256531456,89,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
2059,15.9,5805793280,26256531456,90,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
2162,16.0,5805793280,26256531456,90,260046848,1754726400,17102733312,93,224395264,1307443200,6442319872
2264,14.8,5805793280,26256531456,88,260046848,1754726400,17102733312,92,224395264,1307443200,6442319872
