elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,2626469888,26256531456,1,0,1299644416,17102733312,0,157286400,1175322624,6442319872
103,8.4,2689691648,26256531456,1,0,1299644416,17102733312,11,207618048,1225654272,6442319872
270,6.5,2736594944,26256531456,0,0,1299644416,17102733312,39,220200960,1238237184,6442319872
373,7.4,2736852992,26256531456,1,0,1299644416,17102733312,39,220200960,1238237184,6442319872
479,8.8,2737369088,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
582,16.4,2733039616,26256531456,1,0,1299644416,17102733312,90,220200960,1238237184,6442319872
685,7.8,2733240320,26256531456,1,0,1299644416,17102733312,90,220200960,1238237184,6442319872
787,9.1,2727763968,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
893,7.2,2716774400,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
997,6.6,2716774400,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1100,7.9,2717032448,26256531456,1,0,1299644416,17102733312,90,220200960,1238237184,6442319872
1203,8.5,2717032448,26256531456,1,0,1299644416,17102733312,90,220200960,1238237184,6442319872
1305,9.0,2717290496,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1408,7.9,2717290496,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1511,7.9,2718056448,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1613,8.0,2717798400,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1716,8.5,2717282304,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
1819,7.9,2717282304,26256531456,1,0,1299644416,17102733312,91,220200960,1238237184,6442319872
